; Candidate 14398
; ADRP+ADD at VM 0xfffffff009770540 (fileoff 0x276c540): page=0xc1b000 add_imm=0xea8

0xfffffff0097704c0: c00100b5  cbnz	x0, #0xfffffff0097704f8
0xfffffff0097704c4: 700240f9  ldr	x16, [x19]
0xfffffff0097704c8: f10313aa  mov	x17, x19
0xfffffff0097704cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097704d0: 301ac1da  autda	x16, x17
0xfffffff0097704d4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097704d8: 1002118b  add	x16, x16, x17
0xfffffff0097704dc: 080240f9  ldr	x8, [x16]
0xfffffff0097704e0: e90310aa  mov	x9, x16
0xfffffff0097704e4: e00313aa  mov	x0, x19
0xfffffff0097704e8: 010080d2  mov	x1, #0
0xfffffff0097704ec: f10309aa  mov	x17, x9
0xfffffff0097704f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097704f4: 11093fd7  blraa	x8, x17
0xfffffff0097704f8: e00313aa  mov	x0, x19
0xfffffff0097704fc: 58e1fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770500: e00313aa  mov	x0, x19
0xfffffff009770504: 56e1fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770508: c00100b5  cbnz	x0, #0xfffffff009770540
0xfffffff00977050c: 700240f9  ldr	x16, [x19]
0xfffffff009770510: f10313aa  mov	x17, x19
0xfffffff009770514: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009770518: 301ac1da  autda	x16, x17
0xfffffff00977051c: 114380d2  mov	x17, #0x218
0xfffffff009770520: 1002118b  add	x16, x16, x17
0xfffffff009770524: 080240f9  ldr	x8, [x16]
0xfffffff009770528: e90310aa  mov	x9, x16
0xfffffff00977052c: e00313aa  mov	x0, x19
0xfffffff009770530: 010080d2  mov	x1, #0
0xfffffff009770534: f10309aa  mov	x17, x9
0xfffffff009770538: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00977053c: 11093fd7  blraa	x8, x17
0xfffffff009770540: c06000f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009770544: 00a03a91  add	x0, x0, #0xea8
0xfffffff009770548: 04d1ad97  bl	#0xfffffff0082e4958
0xfffffff00977054c: f40300aa  mov	x20, x0
0xfffffff009770550: e00313aa  mov	x0, x19
0xfffffff009770554: 42e1fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770558: f50300aa  mov	x21, x0
0xfffffff00977055c: e00100b5  cbnz	x0, #0xfffffff009770598
0xfffffff009770560: 700240f9  ldr	x16, [x19]
0xfffffff009770564: f10313aa  mov	x17, x19
0xfffffff009770568: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00977056c: 301ac1da  autda	x16, x17
0xfffffff009770570: 113d80d2  mov	x17, #0x1e8
0xfffffff009770574: 1002118b  add	x16, x16, x17
0xfffffff009770578: 080240f9  ldr	x8, [x16]
0xfffffff00977057c: e90310aa  mov	x9, x16
0xfffffff009770580: e00313aa  mov	x0, x19
0xfffffff009770584: 010080d2  mov	x1, #0
0xfffffff009770588: f10309aa  mov	x17, x9
0xfffffff00977058c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009770590: 11093fd7  blraa	x8, x17
0xfffffff009770594: f50300aa  mov	x21, x0
0xfffffff009770598: e00313aa  mov	x0, x19
0xfffffff00977059c: 30e1fc97  bl	#0xfffffff0096a8a5c
0xfffffff0097705a0: f6f0feb0  adrp	x22, #0xfffffff00758d000
0xfffffff0097705a4: d6c63491  add	x22, x22, #0xd31
0xfffffff0097705a8: e8f0feb0  adrp	x8, #0xfffffff00758d000
0xfffffff0097705ac: 08c93491  add	x8, x8, #0xd32
0xfffffff0097705b0: 1f0000f1  cmp	x0, #0
0xfffffff0097705b4: 1701969a  csel	x23, x8, x22, eq
0xfffffff0097705b8: e00313aa  mov	x0, x19
0xfffffff0097705bc: 28e1fc97  bl	#0xfffffff0096a8a5c
