; Candidate 8208
; ADRP+ADD at VM 0xfffffff00889c658 (fileoff 0x1898658): page=0x1fe94d000 add_imm=0xe80

0xfffffff00889c5d8: 79000014  b	#0xfffffff00889c7bc
0xfffffff00889c5dc: 16c11291  add	x22, x8, #0x4b0
0xfffffff00889c5e0: 08b78752  mov	w8, #0x3db8
0xfffffff00889c5e4: 6002088b  add	x0, x19, x8
0xfffffff00889c5e8: e10316aa  mov	x1, x22
0xfffffff00889c5ec: 514dfe97  bl	#0xfffffff00882fb30
0xfffffff00889c5f0: 15008052  mov	w21, #0
0xfffffff00889c5f4: b9835af8  ldur	x25, [x29, #-0x58]
0xfffffff00889c5f8: 360300f9  str	x22, [x25]
0xfffffff00889c5fc: 73000014  b	#0xfffffff00889c7c8
0xfffffff00889c600: 08b78752  mov	w8, #0x3db8
0xfffffff00889c604: 7502088b  add	x21, x19, x8
0xfffffff00889c608: e00315aa  mov	x0, x21
0xfffffff00889c60c: 094cfe97  bl	#0xfffffff00882f630
0xfffffff00889c610: e75e0094  bl	#0xfffffff0088b41ac
0xfffffff00889c614: f60300aa  mov	x22, x0
0xfffffff00889c618: e0008052  mov	w0, #7
0xfffffff00889c61c: 8d7cff97  bl	#0xfffffff00887b850
0xfffffff00889c620: f70300aa  mov	x23, x0
0xfffffff00889c624: 740240b9  ldr	w20, [x19]
0xfffffff00889c628: e00315aa  mov	x0, x21
0xfffffff00889c62c: 014cfe97  bl	#0xfffffff00882f630
0xfffffff00889c630: f98303a9  stp	x25, x0, [sp, #0x38]
0xfffffff00889c634: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff00889c638: a84cff90  adrp	x8, #0xfffffff007230000
0xfffffff00889c63c: 099d1691  add	x9, x8, #0x5a7
0xfffffff00889c640: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889c644: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889c648: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889c64c: a80f8052  mov	w8, #0x7d
0xfffffff00889c650: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff00889c654: f60300f9  str	x22, [sp]
0xfffffff00889c658: 604affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889c65c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889c660: 618bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00889c664: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889c668: 234eff90  adrp	x3, #0xfffffff007260000
0xfffffff00889c66c: 63c41791  add	x3, x3, #0x5f1
0xfffffff00889c670: 02008052  mov	w2, #0
0xfffffff00889c674: af5aea97  bl	#0xfffffff008333130
0xfffffff00889c678: d9eeffb5  cbnz	x25, #0xfffffff00889c450
0xfffffff00889c67c: a00f8052  mov	w0, #0x7d
0xfffffff00889c680: 81008052  mov	w1, #4
0xfffffff00889c684: 537cff97  bl	#0xfffffff00887b7d0
0xfffffff00889c688: a0060034  cbz	w0, #0xfffffff00889c75c
0xfffffff00889c68c: a00f8052  mov	w0, #0x7d
0xfffffff00889c690: 627cff97  bl	#0xfffffff00887b818
0xfffffff00889c694: f60300aa  mov	x22, x0
0xfffffff00889c698: c55e0094  bl	#0xfffffff0088b41ac
0xfffffff00889c69c: f50300aa  mov	x21, x0
0xfffffff00889c6a0: 80008052  mov	w0, #4
0xfffffff00889c6a4: 6b7cff97  bl	#0xfffffff00887b850
0xfffffff00889c6a8: 76020034  cbz	w22, #0xfffffff00889c6f4
0xfffffff00889c6ac: 680240b9  ldr	w8, [x19]
0xfffffff00889c6b0: a94cff90  adrp	x9, #0xfffffff007230000
0xfffffff00889c6b4: 29d11691  add	x9, x9, #0x5b4
0xfffffff00889c6b8: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00889c6bc: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00889c6c0: 48258052  mov	w8, #0x12a
0xfffffff00889c6c4: a94cff90  adrp	x9, #0xfffffff007230000
0xfffffff00889c6c8: 299d1691  add	x9, x9, #0x5a7
0xfffffff00889c6cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889c6d0: a84cffb0  adrp	x8, #0xfffffff007231000
0xfffffff00889c6d4: 08e93191  add	x8, x8, #0xc7a
