; Candidate 11445
; ADRP+ADD at VM 0xfffffff008f4c150 (fileoff 0x1f48150): page=0x1fe4d0000 add_imm=0xe06

0xfffffff008f4c0d0: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f4c0d4: 11093fd7  blraa	x8, x17
0xfffffff008f4c0d8: 2062ce97  bl	#0xfffffff0082e4958
0xfffffff008f4c0dc: 8826ff90  adrp	x8, #0xfffffff00741c000
0xfffffff008f4c0e0: 08212891  add	x8, x8, #0xa08
0xfffffff008f4c0e4: 540300b4  cbz	x20, #0xfffffff008f4c14c
0xfffffff008f4c0e8: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4c0ec: 8226ff90  adrp	x2, #0xfffffff00741c000
0xfffffff008f4c0f0: 42183891  add	x2, x2, #0xe06
0xfffffff008f4c0f4: e00314aa  mov	x0, x20
0xfffffff008f4c0f8: 21008052  mov	w1, #1
0xfffffff008f4c0fc: 52e14094  bl	#0xfffffff009f84644
0xfffffff008f4c100: 17000014  b	#0xfffffff008f4c15c
0xfffffff008f4c104: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4c108: 8026ffb0  adrp	x0, #0xfffffff00741d000
0xfffffff008f4c10c: 00b00991  add	x0, x0, #0x26c
0xfffffff008f4c110: 0bffff17  b	#0xfffffff008f4bd3c
0xfffffff008f4c114: 8926ff90  adrp	x9, #0xfffffff00741c000
0xfffffff008f4c118: 29212891  add	x9, x9, #0xa08
0xfffffff008f4c11c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008f4c120: e00300f9  str	x0, [sp]
0xfffffff008f4c124: 8026ff90  adrp	x0, #0xfffffff00741c000
0xfffffff008f4c128: 00b03791  add	x0, x0, #0xdec
0xfffffff008f4c12c: bd2bd097  bl	#0xfffffff008357020
0xfffffff008f4c130: 68424339  ldrb	w8, [x19, #0xd0]
0xfffffff008f4c134: 1f090071  cmp	w8, #2
0xfffffff008f4c138: 8156ff54  b.ne	#0xfffffff008f4ac08
0xfffffff008f4c13c: 88008052  mov	w8, #4
0xfffffff008f4c140: 68420339  strb	w8, [x19, #0xd0]
0xfffffff008f4c144: 9f0200b9  str	wzr, [x20]
0xfffffff008f4c148: b0faff17  b	#0xfffffff008f4ac08
0xfffffff008f4c14c: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4c150: 8026ff90  adrp	x0, #0xfffffff00741c000
0xfffffff008f4c154: 00183891  add	x0, x0, #0xe06
0xfffffff008f4c158: b22bd097  bl	#0xfffffff008357020
0xfffffff008f4c15c: 700240f9  ldr	x16, [x19]
0xfffffff008f4c160: f10313aa  mov	x17, x19
0xfffffff008f4c164: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f4c168: 301ac1da  autda	x16, x17
0xfffffff008f4c16c: 112d80d2  mov	x17, #0x168
0xfffffff008f4c170: 1002118b  add	x16, x16, x17
0xfffffff008f4c174: 080240f9  ldr	x8, [x16]
0xfffffff008f4c178: e90310aa  mov	x9, x16
0xfffffff008f4c17c: e00313aa  mov	x0, x19
0xfffffff008f4c180: f10309aa  mov	x17, x9
0xfffffff008f4c184: d12dfdf2  movk	x17, #0xe96e, lsl #48
0xfffffff008f4c188: 11093fd7  blraa	x8, x17
0xfffffff008f4c18c: e053ff34  cbz	w0, #0xfffffff008f4ac08
0xfffffff008f4c190: b4540094  bl	#0xfffffff008f61460
0xfffffff008f4c194: 2e47b897  bl	#0xfffffff007d5de4c
0xfffffff008f4c198: bc550094  bl	#0xfffffff008f61888
0xfffffff008f4c19c: 75550094  bl	#0xfffffff008f61770
0xfffffff008f4c1a0: f6540094  bl	#0xfffffff008f61578
0xfffffff008f4c1a4: 57550094  bl	#0xfffffff008f61700
0xfffffff008f4c1a8: 64550094  bl	#0xfffffff008f61738
0xfffffff008f4c1ac: 2b550094  bl	#0xfffffff008f61658
0xfffffff008f4c1b0: 9a550094  bl	#0xfffffff008f61818
0xfffffff008f4c1b4: 7d550094  bl	#0xfffffff008f617a8
0xfffffff008f4c1b8: 64540094  bl	#0xfffffff008f61348
0xfffffff008f4c1bc: d3540094  bl	#0xfffffff008f61508
0xfffffff008f4c1c0: 88550094  bl	#0xfffffff008f617e0
0xfffffff008f4c1c4: 33550094  bl	#0xfffffff008f61690
0xfffffff008f4c1c8: 6e540094  bl	#0xfffffff008f61380
0xfffffff008f4c1cc: 15550094  bl	#0xfffffff008f61620
