; Candidate 3640
; ADRP+ADD at VM 0xfffffff0087494ac (fileoff 0x17454ac): page=0x1fe9e8000 add_imm=0xd90

0xfffffff00874942c: 297d0553  lsr	w9, w9, #5
0xfffffff008749430: 691400b9  str	w9, [x3, #0x14]
0xfffffff008749434: 09044039  ldrb	w9, [x0, #1]
0xfffffff008749438: 29110353  ubfx	w9, w9, #3, #2
0xfffffff00874943c: 691800b9  str	w9, [x3, #0x18]
0xfffffff008749440: 290800d1  sub	x9, x1, #2
0xfffffff008749444: 64000034  cbz	w4, #0xfffffff008749450
0xfffffff008749448: 00008052  mov	w0, #0
0xfffffff00874944c: eaffff17  b	#0xfffffff0087493f4
0xfffffff008749450: 490400b4  cbz	x9, #0xfffffff0087494d8
0xfffffff008749454: 0c0080d2  mov	x12, #0
0xfffffff008749458: 0a0080d2  mov	x10, #0
0xfffffff00874945c: 0b0080d2  mov	x11, #0
0xfffffff008749460: 2d0500d1  sub	x13, x9, #1
0xfffffff008749464: bf1d00f1  cmp	x13, #7
0xfffffff008749468: ee008052  mov	w14, #7
0xfffffff00874946c: ae318e9a  csel	x14, x13, x14, lo
0xfffffff008749470: 0d00088b  add	x13, x0, x8
0xfffffff008749474: ce050091  add	x14, x14, #1
0xfffffff008749478: af696b38  ldrb	w15, [x13, x11]
0xfffffff00874947c: f0194092  and	x16, x15, #0x7f
0xfffffff008749480: 1022cc9a  lsl	x16, x16, x12
0xfffffff008749484: 0a020aaa  orr	x10, x16, x10
0xfffffff008749488: 4f023836  tbz	w15, #7, #0xfffffff0087494d0
0xfffffff00874948c: 6b050091  add	x11, x11, #1
0xfffffff008749490: 8c1d0091  add	x12, x12, #7
0xfffffff008749494: df010beb  cmp	x14, x11
0xfffffff008749498: 01ffff54  b.ne	#0xfffffff008749478
0xfffffff00874949c: 0f000014  b	#0xfffffff0087494d8
0xfffffff0087494a0: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff0087494a4: 08250d91  add	x8, x8, #0x349
0xfffffff0087494a8: e80300f9  str	x8, [sp]
0xfffffff0087494ac: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff0087494b0: 00403691  add	x0, x0, #0xd90
0xfffffff0087494b4: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087494b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087494bc: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff0087494c0: 63943591  add	x3, x3, #0xd65
0xfffffff0087494c4: 02008052  mov	w2, #0
0xfffffff0087494c8: 1aa7ef97  bl	#0xfffffff008333130
0xfffffff0087494cc: c9ffff17  b	#0xfffffff0087493f0
0xfffffff0087494d0: 4cfd60d3  lsr	x12, x10, #0x20
0xfffffff0087494d4: ac0100b4  cbz	x12, #0xfffffff008749508
0xfffffff0087494d8: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff0087494dc: 08250d91  add	x8, x8, #0x349
0xfffffff0087494e0: e80300f9  str	x8, [sp]
0xfffffff0087494e4: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff0087494e8: 00403691  add	x0, x0, #0xd90
0xfffffff0087494ec: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087494f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087494f4: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff0087494f8: 63843691  add	x3, x3, #0xda1
0xfffffff0087494fc: 02008052  mov	w2, #0
0xfffffff008749500: 0ca7ef97  bl	#0xfffffff008333130
0xfffffff008749504: bbffff17  b	#0xfffffff0087493f0
0xfffffff008749508: 6c050091  add	x12, x11, #1
0xfffffff00874950c: 4c0000f9  str	x12, [x2]
0xfffffff008749510: 8c010a8b  add	x12, x12, x10
0xfffffff008749514: 3f010ceb  cmp	x9, x12
0xfffffff008749518: a2010054  b.hs	#0xfffffff00874954c
0xfffffff00874951c: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff008749520: 08250d91  add	x8, x8, #0x349
0xfffffff008749524: e80300f9  str	x8, [sp]
0xfffffff008749528: 404fff90  adrp	x0, #0xfffffff007131000
