; Candidate 9723
; ADRP+ADD at VM 0xfffffff008ae740c (fileoff 0x1ae340c): page=0x1fe801000 add_imm=0xdbc

0xfffffff008ae738c: 082946f9  ldr	x8, [x8, #0xc50]
0xfffffff008ae7390: 050140f9  ldr	x5, [x8]
0xfffffff008ae7394: e1030091  mov	x1, sp
0xfffffff008ae7398: 821f8052  mov	w2, #0xfc
0xfffffff008ae739c: 03008052  mov	w3, #0
0xfffffff008ae73a0: 04008012  mov	w4, #-1
0xfffffff008ae73a4: 06008052  mov	w6, #0
0xfffffff008ae73a8: feec0094  bl	#0xfffffff008b227a0
0xfffffff008ae73ac: f40300aa  mov	x20, x0
0xfffffff008ae73b0: a0000035  cbnz	w0, #0xfffffff008ae73c4
0xfffffff008ae73b4: e1030091  mov	x1, sp
0xfffffff008ae73b8: e00313aa  mov	x0, x19
0xfffffff008ae73bc: 821f8052  mov	w2, #0xfc
0xfffffff008ae73c0: 7495c997  bl	#0xfffffff007d4c990
0xfffffff008ae73c4: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff008ae73c8: a97cfff0  adrp	x9, #0xfffffff007a7e000
0xfffffff008ae73cc: 290d46f9  ldr	x9, [x9, #0xc18]
0xfffffff008ae73d0: 290140f9  ldr	x9, [x9]
0xfffffff008ae73d4: 3f0108eb  cmp	x9, x8
0xfffffff008ae73d8: e1000054  b.ne	#0xfffffff008ae73f4
0xfffffff008ae73dc: e00314aa  mov	x0, x20
0xfffffff008ae73e0: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff008ae73e4: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff008ae73e8: fc6f51a9  ldp	x28, x27, [sp, #0x110]
0xfffffff008ae73ec: ff030591  add	sp, sp, #0x140
0xfffffff008ae73f0: ff0f5fd6  retab	
0xfffffff008ae73f4: 96dac997  bl	#0xfffffff007d5de4c
0xfffffff008ae73f8: 5f2403d5  bti	c
0xfffffff008ae73fc: bef4df17  b	#0xfffffff0082e46f4
0xfffffff008ae7400: 7f2303d5  pacibsp	
0xfffffff008ae7404: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ae7408: fd030091  mov	x29, sp
0xfffffff008ae740c: 0040ffb0  adrp	x0, #0xfffffff0072e8000
0xfffffff008ae7410: 00f03691  add	x0, x0, #0xdbc
0xfffffff008ae7414: 8907e197  bl	#0xfffffff008329238
0xfffffff008ae7418: c8bf00d0  adrp	x8, #0xfffffff00a2e1000
0xfffffff008ae741c: 003d06f9  str	x0, [x8, #0xc78]
0xfffffff008ae7420: 0040ffb0  adrp	x0, #0xfffffff0072e8000
0xfffffff008ae7424: 008c3791  add	x0, x0, #0xde3
0xfffffff008ae7428: 8407e197  bl	#0xfffffff008329238
0xfffffff008ae742c: c8bf00d0  adrp	x8, #0xfffffff00a2e1000
0xfffffff008ae7430: 004106f9  str	x0, [x8, #0xc80]
0xfffffff008ae7434: c0bf00d0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008ae7438: 00c02991  add	x0, x0, #0xa70
0xfffffff008ae743c: 0140ffd0  adrp	x1, #0xfffffff0072e9000
0xfffffff008ae7440: 21800b91  add	x1, x1, #0x2e0
0xfffffff008ae7444: a27cfff0  adrp	x2, #0xfffffff007a7e000
0xfffffff008ae7448: 42dc45f9  ldr	x2, [x2, #0xbb8]
0xfffffff008ae744c: 03128052  mov	w3, #0x90
0xfffffff008ae7450: baf1df97  bl	#0xfffffff0082e3b38
0xfffffff008ae7454: d07cff90  adrp	x16, #0xfffffff007a7f000
0xfffffff008ae7458: 10220191  add	x16, x16, #0x48
0xfffffff008ae745c: 10420091  add	x16, x16, #0x10
0xfffffff008ae7460: f10300aa  mov	x17, x0
0xfffffff008ae7464: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ae7468: 300ac1da  pacda	x16, x17
0xfffffff008ae746c: 100000f9  str	x16, [x0]
0xfffffff008ae7470: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ae7474: ff0f5fd6  retab	
0xfffffff008ae7478: 5f2403d5  bti	c
0xfffffff008ae747c: c0bf00d0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008ae7480: 00c02991  add	x0, x0, #0xa70
0xfffffff008ae7484: 9cf4df17  b	#0xfffffff0082e46f4
0xfffffff008ae7488: 7f2303d5  pacibsp	
