; Candidate 16530
; ADRP+ADD at VM 0xfffffff009ed5560 (fileoff 0x2ed1560): page=0x1fd971000 add_imm=0xdd0

0xfffffff009ed54e0: f65758a9  ldp	x22, x21, [sp, #0x180]
0xfffffff009ed54e4: f85f57a9  ldp	x24, x23, [sp, #0x170]
0xfffffff009ed54e8: fa6756a9  ldp	x26, x25, [sp, #0x160]
0xfffffff009ed54ec: fc6f55a9  ldp	x28, x27, [sp, #0x150]
0xfffffff009ed54f0: ffc30691  add	sp, sp, #0x1b0
0xfffffff009ed54f4: ff0f5fd6  retab	
0xfffffff009ed54f8: e0230191  add	x0, sp, #0x48
0xfffffff009ed54fc: ce51ff97  bl	#0xfffffff009ea9c34
0xfffffff009ed5500: c00c0034  cbz	w0, #0xfffffff009ed5698
0xfffffff009ed5504: f40300aa  mov	x20, x0
0xfffffff009ed5508: 083e8452  mov	w8, #0x21f0
0xfffffff009ed550c: 6802088b  add	x8, x19, x8
0xfffffff009ed5510: 09ec8552  mov	w9, #0x2f60
0xfffffff009ed5514: 8acbfeb0  adrp	x10, #0xfffffff007846000
0xfffffff009ed5518: 4ae93691  add	x10, x10, #0xdba
0xfffffff009ed551c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed5520: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009ed5524: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed5528: 00403791  add	x0, x0, #0xdd0
0xfffffff009ed552c: e6a8fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed5530: bdfeff17  b	#0xfffffff009ed5024
0xfffffff009ed5534: e0030191  add	x0, sp, #0x40
0xfffffff009ed5538: bf51ff97  bl	#0xfffffff009ea9c34
0xfffffff009ed553c: 400d0034  cbz	w0, #0xfffffff009ed56e4
0xfffffff009ed5540: f40300aa  mov	x20, x0
0xfffffff009ed5544: 083e8452  mov	w8, #0x21f0
0xfffffff009ed5548: 6802088b  add	x8, x19, x8
0xfffffff009ed554c: 29008652  mov	w9, #0x3001
0xfffffff009ed5550: 8acbfeb0  adrp	x10, #0xfffffff007846000
0xfffffff009ed5554: 4a453a91  add	x10, x10, #0xe91
0xfffffff009ed5558: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed555c: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009ed5560: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed5564: 00403791  add	x0, x0, #0xdd0
0xfffffff009ed5568: d7a8fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed556c: e00313aa  mov	x0, x19
0xfffffff009ed5570: e065ff97  bl	#0xfffffff009eaecf0
0xfffffff009ed5574: e7fdff17  b	#0xfffffff009ed4d10
0xfffffff009ed5578: e80314aa  mov	x8, x20
0xfffffff009ed557c: e9430191  add	x9, sp, #0x50
0xfffffff009ed5580: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009ed5584: 88cbfeb0  adrp	x8, #0xfffffff007846000
0xfffffff009ed5588: 08853a91  add	x8, x8, #0xea1
0xfffffff009ed558c: 291f8652  mov	w9, #0x30f9
0xfffffff009ed5590: e82700a9  stp	x8, x9, [sp]
0xfffffff009ed5594: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed5598: 00e83a91  add	x0, x0, #0xeba
0xfffffff009ed559c: caa8fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed55a0: 7a000014  b	#0xfffffff009ed5788
0xfffffff009ed55a4: 14008052  mov	w20, #0
0xfffffff009ed55a8: 28008052  mov	w8, #1
0xfffffff009ed55ac: e84f00f9  str	x8, [sp, #0x98]
0xfffffff009ed55b0: 76000014  b	#0xfffffff009ed5788
0xfffffff009ed55b4: e1c30291  add	x1, sp, #0xb0
0xfffffff009ed55b8: e00313aa  mov	x0, x19
0xfffffff009ed55bc: 3167ff97  bl	#0xfffffff009eaf280
0xfffffff009ed55c0: f40300aa  mov	x20, x0
0xfffffff009ed55c4: e1c30291  add	x1, sp, #0xb0
0xfffffff009ed55c8: e00313aa  mov	x0, x19
0xfffffff009ed55cc: a654ff97  bl	#0xfffffff009eaa864
0xfffffff009ed55d0: 8cfeff17  b	#0xfffffff009ed5000
0xfffffff009ed55d4: e1430291  add	x1, sp, #0x90
0xfffffff009ed55d8: e00313aa  mov	x0, x19
0xfffffff009ed55dc: 020080d2  mov	x2, #0
