; Candidate 2938
; ADRP+ADD at VM 0xfffffff0086f73d0 (fileoff 0x16f33d0): page=0x1fea3a000 add_imm=0xd90

0xfffffff0086f7350: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff0086f7354: e01f803d  str	q0, [sp, #0x70]
0xfffffff0086f7358: ff3700f9  str	xzr, [sp, #0x68]
0xfffffff0086f735c: ff6300b9  str	wzr, [sp, #0x60]
0xfffffff0086f7360: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff0086f7364: e00f803d  str	q0, [sp, #0x30]
0xfffffff0086f7368: 08f059f9  ldr	x8, [x0, #0x33e0]
0xfffffff0086f736c: 01810091  add	x1, x8, #0x20
0xfffffff0086f7370: e2b30191  add	x2, sp, #0x6c
0xfffffff0086f7374: c5feff97  bl	#0xfffffff0086f6e88
0xfffffff0086f7378: a0010034  cbz	w0, #0xfffffff0086f73ac
0xfffffff0086f737c: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f7380: 08c90f91  add	x8, x8, #0x3f2
0xfffffff0086f7384: e80300f9  str	x8, [sp]
0xfffffff0086f7388: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f738c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7390: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f7394: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7398: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f739c: 63701a91  add	x3, x3, #0x69c
0xfffffff0086f73a0: 02008052  mov	w2, #0
0xfffffff0086f73a4: 63eff097  bl	#0xfffffff008333130
0xfffffff0086f73a8: 22000014  b	#0xfffffff0086f7430
0xfffffff0086f73ac: f86f40b9  ldr	w24, [sp, #0x6c]
0xfffffff0086f73b0: 68d259f9  ldr	x8, [x19, #0x33a0]
0xfffffff0086f73b4: 191d40b9  ldr	w25, [x8, #0x1c]
0xfffffff0086f73b8: 1f03196b  cmp	w24, w25
0xfffffff0086f73bc: a0010054  b.eq	#0xfffffff0086f73f0
0xfffffff0086f73c0: f8e700a9  stp	x24, x25, [sp, #8]
0xfffffff0086f73c4: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f73c8: 08711091  add	x8, x8, #0x41c
0xfffffff0086f73cc: e80300f9  str	x8, [sp]
0xfffffff0086f73d0: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f73d4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f73d8: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f73dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f73e0: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f73e4: 63781b91  add	x3, x3, #0x6de
0xfffffff0086f73e8: 02008052  mov	w2, #0
0xfffffff0086f73ec: 51eff097  bl	#0xfffffff008333130
0xfffffff0086f73f0: 68f259f9  ldr	x8, [x19, #0x33e0]
0xfffffff0086f73f4: 01810091  add	x1, x8, #0x20
0xfffffff0086f73f8: e2a30191  add	x2, sp, #0x68
0xfffffff0086f73fc: cbfeff97  bl	#0xfffffff0086f6f28
0xfffffff0086f7400: 60030034  cbz	w0, #0xfffffff0086f746c
0xfffffff0086f7404: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f7408: 08c90f91  add	x8, x8, #0x3f2
0xfffffff0086f740c: e80300f9  str	x8, [sp]
0xfffffff0086f7410: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f7414: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7418: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f741c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7420: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f7424: 631c1c91  add	x3, x3, #0x707
0xfffffff0086f7428: 02008052  mov	w2, #0
0xfffffff0086f742c: 41eff097  bl	#0xfffffff008333130
0xfffffff0086f7430: 00008012  mov	w0, #-1
0xfffffff0086f7434: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0086f7438: 2998ffd0  adrp	x9, #0xfffffff0079fd000
0xfffffff0086f743c: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff0086f7440: 290140f9  ldr	x9, [x9]
0xfffffff0086f7444: 3f0108eb  cmp	x9, x8
0xfffffff0086f7448: 01510054  b.ne	#0xfffffff0086f7e68
0xfffffff0086f744c: fd7b54a9  ldp	x29, x30, [sp, #0x140]
