; Candidate 14874
; ADRP+ADD at VM 0xfffffff0099d9024 (fileoff 0x29d5024): page=0x1fdc16000 add_imm=0xcea

0xfffffff0099d8fa4: a8a18152  mov	w8, #0xd0d
0xfffffff0099d8fa8: a9e0feb0  adrp	x9, #0xfffffff0075ed000
0xfffffff0099d8fac: 29c93991  add	x9, x9, #0xe72
0xfffffff0099d8fb0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0099d8fb4: f30300f9  str	x19, [sp]
0xfffffff0099d8fb8: a0e0fef0  adrp	x0, #0xfffffff0075ef000
0xfffffff0099d8fbc: 00c43491  add	x0, x0, #0xd31
0xfffffff0099d8fc0: 53edaa97  bl	#0xfffffff00849450c
0xfffffff0099d8fc4: 7f2303d5  pacibsp	
0xfffffff0099d8fc8: ff0301d1  sub	sp, sp, #0x40
0xfffffff0099d8fcc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0099d8fd0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0099d8fd4: fdc30091  add	x29, sp, #0x30
0xfffffff0099d8fd8: 17dcfe97  bl	#0xfffffff009990034
0xfffffff0099d8fdc: e89d8152  mov	w8, #0xcef
0xfffffff0099d8fe0: a9e0feb0  adrp	x9, #0xfffffff0075ed000
0xfffffff0099d8fe4: 29c93991  add	x9, x9, #0xe72
0xfffffff0099d8fe8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0099d8fec: f30300f9  str	x19, [sp]
0xfffffff0099d8ff0: a0e0fef0  adrp	x0, #0xfffffff0075ef000
0xfffffff0099d8ff4: 00c43491  add	x0, x0, #0xd31
0xfffffff0099d8ff8: 45edaa97  bl	#0xfffffff00849450c
0xfffffff0099d8ffc: 7f2303d5  pacibsp	
0xfffffff0099d9000: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9004: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d9008: fd430091  add	x29, sp, #0x10
0xfffffff0099d900c: 21008052  mov	w1, #1
0xfffffff0099d9010: 2b8fff97  bl	#0xfffffff0099bccbc
0xfffffff0099d9014: a8e0fe90  adrp	x8, #0xfffffff0075ed000
0xfffffff0099d9018: 08c93991  add	x8, x8, #0xe72
0xfffffff0099d901c: 699b8152  mov	w9, #0xcdb
0xfffffff0099d9020: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d9024: a0e0fed0  adrp	x0, #0xfffffff0075ef000
0xfffffff0099d9028: 00a83391  add	x0, x0, #0xcea
0xfffffff0099d902c: 38edaa97  bl	#0xfffffff00849450c
0xfffffff0099d9030: 5f2403d5  bti	c
0xfffffff0099d9034: a0e0fe90  adrp	x0, #0xfffffff0075ed000
0xfffffff0099d9038: 00781291  add	x0, x0, #0x49e
0xfffffff0099d903c: a1e0fed0  adrp	x1, #0xfffffff0075ef000
0xfffffff0099d9040: 21503f91  add	x1, x1, #0xfd4
0xfffffff0099d9044: a2e0fe90  adrp	x2, #0xfffffff0075ed000
0xfffffff0099d9048: 42d81291  add	x2, x2, #0x4b6
0xfffffff0099d904c: a4e0fe90  adrp	x4, #0xfffffff0075ed000
0xfffffff0099d9050: 84143091  add	x4, x4, #0xc05
0xfffffff0099d9054: 030080d2  mov	x3, #0
0xfffffff0099d9058: 85e38152  mov	w5, #0xf1c
0xfffffff0099d905c: f1dbfe17  b	#0xfffffff009990020
0xfffffff0099d9060: 7f2303d5  pacibsp	
0xfffffff0099d9064: ff4301d1  sub	sp, sp, #0x50
0xfffffff0099d9068: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0099d906c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0099d9070: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0099d9074: fd030191  add	x29, sp, #0x40
0xfffffff0099d9078: f30300aa  mov	x19, x0
0xfffffff0099d907c: a0e0fe90  adrp	x0, #0xfffffff0075ed000
0xfffffff0099d9080: 00781291  add	x0, x0, #0x49e
0xfffffff0099d9084: a1e0fe90  adrp	x1, #0xfffffff0075ed000
0xfffffff0099d9088: 21801491  add	x1, x1, #0x520
0xfffffff0099d908c: a2e0fe90  adrp	x2, #0xfffffff0075ed000
0xfffffff0099d9090: 42d81291  add	x2, x2, #0x4b6
0xfffffff0099d9094: a4e0fe90  adrp	x4, #0xfffffff0075ed000
0xfffffff0099d9098: 84143091  add	x4, x4, #0xc05
0xfffffff0099d909c: d5e48152  mov	w21, #0xf26
0xfffffff0099d90a0: 030080d2  mov	x3, #0
