; Candidate 3814
; ADRP+ADD at VM 0xfffffff0087642b0 (fileoff 0x17602b0): page=0x1fe9cd000 add_imm=0xd90

0xfffffff008764230: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008764234: e00300f9  str	x0, [sp]
0xfffffff008764238: 404ffff0  adrp	x0, #0xfffffff00714f000
0xfffffff00876423c: 00601391  add	x0, x0, #0x4d8
0xfffffff008764240: b3c0f497  bl	#0xfffffff00849450c
0xfffffff008764244: 7f2303d5  pacibsp	
0xfffffff008764248: ffc300d1  sub	sp, sp, #0x30
0xfffffff00876424c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008764250: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008764254: fd830091  add	x29, sp, #0x20
0xfffffff008764258: f40302aa  mov	x20, x2
0xfffffff00876425c: f30300aa  mov	x19, x0
0xfffffff008764260: c24bff97  bl	#0xfffffff008737168
0xfffffff008764264: f094ff90  adrp	x16, #0xfffffff007a00000
0xfffffff008764268: 10221091  add	x16, x16, #0x408
0xfffffff00876426c: 10420091  add	x16, x16, #0x10
0xfffffff008764270: f10300aa  mov	x17, x0
0xfffffff008764274: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff008764278: 300ac1da  pacda	x16, x17
0xfffffff00876427c: 100000f9  str	x16, [x0]
0xfffffff008764280: 0095ff90  adrp	x0, #0xfffffff007a04000
0xfffffff008764284: 00a03c91  add	x0, x0, #0xf28
0xfffffff008764288: 9bc8ef97  bl	#0xfffffff0083564f4
0xfffffff00876428c: 01008052  mov	w1, #0
0xfffffff008764290: e20314aa  mov	x2, x20
0xfffffff008764294: eddd0094  bl	#0xfffffff00879ba48
0xfffffff008764298: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff00876429c: a00100b5  cbnz	x0, #0xfffffff0087642d0
0xfffffff0087642a0: c8068052  mov	w8, #0x36
0xfffffff0087642a4: a94fffb0  adrp	x9, #0xfffffff007159000
0xfffffff0087642a8: 29313691  add	x9, x9, #0xd8c
0xfffffff0087642ac: e92300a9  stp	x9, x8, [sp]
0xfffffff0087642b0: 604effb0  adrp	x0, #0xfffffff007131000
0xfffffff0087642b4: 00403691  add	x0, x0, #0xd90
0xfffffff0087642b8: c194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087642bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087642c0: e34effd0  adrp	x3, #0xfffffff007142000
0xfffffff0087642c4: 63781491  add	x3, x3, #0x51e
0xfffffff0087642c8: 02008052  mov	w2, #0
0xfffffff0087642cc: 993bef97  bl	#0xfffffff008333130
0xfffffff0087642d0: 08008652  mov	w8, #0x3000
0xfffffff0087642d4: 689600f9  str	x8, [x19, #0x128]
0xfffffff0087642d8: 0095fff0  adrp	x0, #0xfffffff007a07000
0xfffffff0087642dc: 00a01591  add	x0, x0, #0x568
0xfffffff0087642e0: 01009852  mov	w1, #0xc000
0xfffffff0087642e4: bbcaef97  bl	#0xfffffff008356dd0
0xfffffff0087642e8: 609200f9  str	x0, [x19, #0x120]
0xfffffff0087642ec: a00100b5  cbnz	x0, #0xfffffff008764320
0xfffffff0087642f0: 88078052  mov	w8, #0x3c
0xfffffff0087642f4: a94fffb0  adrp	x9, #0xfffffff007159000
0xfffffff0087642f8: 29313691  add	x9, x9, #0xd8c
0xfffffff0087642fc: e92300a9  stp	x9, x8, [sp]
0xfffffff008764300: 604effb0  adrp	x0, #0xfffffff007131000
0xfffffff008764304: 00403691  add	x0, x0, #0xd90
0xfffffff008764308: c194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876430c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008764310: e34effd0  adrp	x3, #0xfffffff007142000
0xfffffff008764314: 63441591  add	x3, x3, #0x551
0xfffffff008764318: 02008052  mov	w2, #0
0xfffffff00876431c: 853bef97  bl	#0xfffffff008333130
0xfffffff008764320: 60d242f9  ldr	x0, [x19, #0x5a0]
0xfffffff008764324: 63822191  add	x3, x19, #0x860
0xfffffff008764328: 01208052  mov	w1, #0x100
0xfffffff00876432c: 22008052  mov	w2, #1
