; Candidate 6942
; ADRP+ADD at VM 0xfffffff00884b72c (fileoff 0x184772c): page=0x1fe99e000 add_imm=0xe80

0xfffffff00884b6ac: c1008052  mov	w1, #6
0xfffffff00884b6b0: 48c00094  bl	#0xfffffff00887b7d0
0xfffffff00884b6b4: c0040034  cbz	w0, #0xfffffff00884b74c
0xfffffff00884b6b8: a0098052  mov	w0, #0x4d
0xfffffff00884b6bc: 57c00094  bl	#0xfffffff00887b818
0xfffffff00884b6c0: f60300aa  mov	x22, x0
0xfffffff00884b6c4: baa20194  bl	#0xfffffff0088b41ac
0xfffffff00884b6c8: f50300aa  mov	x21, x0
0xfffffff00884b6cc: c0008052  mov	w0, #6
0xfffffff00884b6d0: 60c00094  bl	#0xfffffff00887b850
0xfffffff00884b6d4: 76010034  cbz	w22, #0xfffffff00884b700
0xfffffff00884b6d8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00884b6dc: 284effd0  adrp	x8, #0xfffffff007211000
0xfffffff00884b6e0: 08892c91  add	x8, x8, #0xb22
0xfffffff00884b6e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b6e8: a8098052  mov	w8, #0x4d
0xfffffff00884b6ec: f52300a9  stp	x21, x8, [sp]
0xfffffff00884b6f0: a04efff0  adrp	x0, #0xfffffff007222000
0xfffffff00884b6f4: 00a83d91  add	x0, x0, #0xf6a
0xfffffff00884b6f8: 5aafd597  bl	#0xfffffff007db7460
0xfffffff00884b6fc: 14000014  b	#0xfffffff00884b74c
0xfffffff00884b700: aba20194  bl	#0xfffffff0088b41ac
0xfffffff00884b704: f50300aa  mov	x21, x0
0xfffffff00884b708: c0008052  mov	w0, #6
0xfffffff00884b70c: 51c00094  bl	#0xfffffff00887b850
0xfffffff00884b710: e80314aa  mov	x8, x20
0xfffffff00884b714: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff00884b718: 284effd0  adrp	x8, #0xfffffff007211000
0xfffffff00884b71c: 08892c91  add	x8, x8, #0xb22
0xfffffff00884b720: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b724: a8098052  mov	w8, #0x4d
0xfffffff00884b728: f52300a9  stp	x21, x8, [sp]
0xfffffff00884b72c: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b730: 00003a91  add	x0, x0, #0xe80
0xfffffff00884b734: e18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884b738: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884b73c: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b740: 636c2891  add	x3, x3, #0xa1b
0xfffffff00884b744: 02008052  mov	w2, #0
0xfffffff00884b748: 7a9eeb97  bl	#0xfffffff008333130
0xfffffff00884b74c: 9f020071  cmp	w20, #0
0xfffffff00884b750: 0d020054  b.le	#0xfffffff00884b790
0xfffffff00884b754: 08038052  mov	w8, #0x18
0xfffffff00884b758: 957ea89b  umull	x21, w20, w8
0xfffffff00884b75c: 008efff0  adrp	x0, #0xfffffff007a0e000
0xfffffff00884b760: 00601d91  add	x0, x0, #0x758
0xfffffff00884b764: e10315aa  mov	x1, x21
0xfffffff00884b768: 9a2dec97  bl	#0xfffffff008356dd0
0xfffffff00884b76c: e00400b4  cbz	x0, #0xfffffff00884b808
0xfffffff00884b770: f60300aa  mov	x22, x0
0xfffffff00884b774: 01008052  mov	w1, #0
0xfffffff00884b778: e20315aa  mov	x2, x21
0xfffffff00884b77c: 1105d497  bl	#0xfffffff007d4cbc0
0xfffffff00884b780: 15008052  mov	w21, #0
0xfffffff00884b784: 760600f9  str	x22, [x19, #8]
0xfffffff00884b788: 740200b9  str	w20, [x19]
0xfffffff00884b78c: 74000014  b	#0xfffffff00884b95c
0xfffffff00884b790: a0098052  mov	w0, #0x4d
0xfffffff00884b794: 81008052  mov	w1, #4
0xfffffff00884b798: 0ec00094  bl	#0xfffffff00887b7d0
0xfffffff00884b79c: 600a0034  cbz	w0, #0xfffffff00884b8e8
0xfffffff00884b7a0: a0098052  mov	w0, #0x4d
0xfffffff00884b7a4: 1dc00094  bl	#0xfffffff00887b818
0xfffffff00884b7a8: f60300aa  mov	x22, x0
