; Candidate 2332
; ADRP+ADD at VM 0xfffffff008617854 (fileoff 0x1613854): page=0x1feae4000 add_imm=0xd2a

0xfffffff0086177d4: 086d1891  add	x8, x8, #0x61b
0xfffffff0086177d8: 2957ffd0  adrp	x9, #0xfffffff0070fd000
0xfffffff0086177dc: 29d51991  add	x9, x9, #0x675
0xfffffff0086177e0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0086177e4: e9cf00a9  stp	x9, x19, [sp, #8]
0xfffffff0086177e8: e00300f9  str	x0, [sp]
0xfffffff0086177ec: 2057ffd0  adrp	x0, #0xfffffff0070fd000
0xfffffff0086177f0: 00e41d91  add	x0, x0, #0x779
0xfffffff0086177f4: 46f3f997  bl	#0xfffffff00849450c
0xfffffff0086177f8: 7f2303d5  pacibsp	
0xfffffff0086177fc: ff0301d1  sub	sp, sp, #0x40
0xfffffff008617800: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008617804: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008617808: fdc30091  add	x29, sp, #0x30
0xfffffff00861780c: f30301aa  mov	x19, x1
0xfffffff008617810: 100040f9  ldr	x16, [x0]
0xfffffff008617814: f10300aa  mov	x17, x0
0xfffffff008617818: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00861781c: 301ac1da  autda	x16, x17
0xfffffff008617820: 113d80d2  mov	x17, #0x1e8
0xfffffff008617824: 1002118b  add	x16, x16, x17
0xfffffff008617828: 080240f9  ldr	x8, [x16]
0xfffffff00861782c: e90310aa  mov	x9, x16
0xfffffff008617830: 010080d2  mov	x1, #0
0xfffffff008617834: f10309aa  mov	x17, x9
0xfffffff008617838: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00861783c: 11093fd7  blraa	x8, x17
0xfffffff008617840: 288a8152  mov	w8, #0xc51
0xfffffff008617844: 2957ffb0  adrp	x9, #0xfffffff0070fc000
0xfffffff008617848: 296d1891  add	x9, x9, #0x61b
0xfffffff00861784c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008617850: e04f00a9  stp	x0, x19, [sp]
0xfffffff008617854: 2057ff90  adrp	x0, #0xfffffff0070fb000
0xfffffff008617858: 00a83491  add	x0, x0, #0xd2a
0xfffffff00861785c: 2cf3f997  bl	#0xfffffff00849450c
0xfffffff008617860: 7f2303d5  pacibsp	
0xfffffff008617864: ff0301d1  sub	sp, sp, #0x40
0xfffffff008617868: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00861786c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008617870: fdc30091  add	x29, sp, #0x30
0xfffffff008617874: f30301aa  mov	x19, x1
0xfffffff008617878: 100040f9  ldr	x16, [x0]
0xfffffff00861787c: f10300aa  mov	x17, x0
0xfffffff008617880: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008617884: 301ac1da  autda	x16, x17
0xfffffff008617888: 113d80d2  mov	x17, #0x1e8
0xfffffff00861788c: 1002118b  add	x16, x16, x17
0xfffffff008617890: 080240f9  ldr	x8, [x16]
0xfffffff008617894: e90310aa  mov	x9, x16
0xfffffff008617898: 010080d2  mov	x1, #0
0xfffffff00861789c: f10309aa  mov	x17, x9
0xfffffff0086178a0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086178a4: 11093fd7  blraa	x8, x17
0xfffffff0086178a8: 888f8152  mov	w8, #0xc7c
0xfffffff0086178ac: 2957ffb0  adrp	x9, #0xfffffff0070fc000
0xfffffff0086178b0: 296d1891  add	x9, x9, #0x61b
0xfffffff0086178b4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086178b8: e04f00a9  stp	x0, x19, [sp]
0xfffffff0086178bc: 2057ff90  adrp	x0, #0xfffffff0070fb000
0xfffffff0086178c0: 00a03691  add	x0, x0, #0xda8
0xfffffff0086178c4: 12f3f997  bl	#0xfffffff00849450c
0xfffffff0086178c8: 7f2303d5  pacibsp	
0xfffffff0086178cc: ffc301d1  sub	sp, sp, #0x70
0xfffffff0086178d0: f65704a9  stp	x22, x21, [sp, #0x40]
