; Candidate 10589
; ADRP+ADD at VM 0xfffffff008ddef38 (fileoff 0x1ddaf38): page=0x1fe5e6000 add_imm=0xd21

0xfffffff008ddeeb8: 8068fff0  adrp	x0, #0xfffffff007af1000
0xfffffff008ddeebc: 00002a91  add	x0, x0, #0xa80
0xfffffff008ddeec0: e10313aa  mov	x1, x19
0xfffffff008ddeec4: 12ded597  bl	#0xfffffff00835670c
0xfffffff008ddeec8: c8088052  mov	w8, #0x46
0xfffffff008ddeecc: b1ffff17  b	#0xfffffff008dded90
0xfffffff008ddeed0: dffbbd97  bl	#0xfffffff007d5de4c
0xfffffff008ddeed4: 7f2303d5  pacibsp	
0xfffffff008ddeed8: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008ddeedc: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff008ddeee0: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff008ddeee4: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008ddeee8: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008ddeeec: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008ddeef0: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008ddeef4: fd430291  add	x29, sp, #0x90
0xfffffff008ddeef8: f70305aa  mov	x23, x5
0xfffffff008ddeefc: f30304aa  mov	x19, x4
0xfffffff008ddef00: f80303aa  mov	x24, x3
0xfffffff008ddef04: f40302aa  mov	x20, x2
0xfffffff008ddef08: f60301aa  mov	x22, x1
0xfffffff008ddef0c: f50300aa  mov	x21, x0
0xfffffff008ddef10: 1ba900b0  adrp	x27, #0xfffffff00a2ff000
0xfffffff008ddef14: 7b432c91  add	x27, x27, #0xb10
0xfffffff008ddef18: 68034039  ldrb	w8, [x27]
0xfffffff008ddef1c: 192ffff0  adrp	x25, #0xfffffff0073c1000
0xfffffff008ddef20: 39bb1791  add	x25, x25, #0x5ee
0xfffffff008ddef24: 1a2ffff0  adrp	x26, #0xfffffff0073c1000
0xfffffff008ddef28: 5a9f0c91  add	x26, x26, #0x327
0xfffffff008ddef2c: 1f290071  cmp	w8, #0xa
0xfffffff008ddef30: a8000054  b.hi	#0xfffffff008ddef44
0xfffffff008ddef34: fa6700a9  stp	x26, x25, [sp]
0xfffffff008ddef38: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddef3c: 00843491  add	x0, x0, #0xd21
0xfffffff008ddef40: 38e0d597  bl	#0xfffffff008357020
0xfffffff008ddef44: f50400b4  cbz	x21, #0xfffffff008ddefe0
0xfffffff008ddef48: 940600b4  cbz	x20, #0xfffffff008ddf018
0xfffffff008ddef4c: 1f4300f1  cmp	x24, #0x10
0xfffffff008ddef50: 61070054  b.ne	#0xfffffff008ddf03c
0xfffffff008ddef54: ffe30039  strb	wzr, [sp, #0x38]
0xfffffff008ddef58: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff008ddef5c: 370b0034  cbz	w23, #0xfffffff008ddf0c0
0xfffffff008ddef60: 28018052  mov	w8, #9
0xfffffff008ddef64: e81700f9  str	x8, [sp, #0x28]
0xfffffff008ddef68: e5c30091  add	x5, sp, #0x30
0xfffffff008ddef6c: e6a30091  add	x6, sp, #0x28
0xfffffff008ddef70: e00316aa  mov	x0, x22
0xfffffff008ddef74: a1048052  mov	w1, #0x25
0xfffffff008ddef78: 02008052  mov	w2, #0
0xfffffff008ddef7c: e30314aa  mov	x3, x20
0xfffffff008ddef80: 04028052  mov	w4, #0x10
0xfffffff008ddef84: 519081d2  mov	x17, #0xc82
0xfffffff008ddef88: b10a3fd7  blraa	x21, x17
0xfffffff008ddef8c: a0070035  cbnz	w0, #0xfffffff008ddf080
0xfffffff008ddef90: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008ddef94: 1f2500f1  cmp	x8, #9
0xfffffff008ddef98: 200b0054  b.eq	#0xfffffff008ddf0fc
0xfffffff008ddef9c: 280e8052  mov	w8, #0x71
0xfffffff008ddefa0: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddefa4: 29490d91  add	x9, x9, #0x352
0xfffffff008ddefa8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ddefac: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddefb0: 08493991  add	x8, x8, #0xe52
0xfffffff008ddefb4: 0a2ffff0  adrp	x10, #0xfffffff0073c1000
