; Candidate 13384
; ADRP+ADD at VM 0xfffffff0092c9080 (fileoff 0x22c5080): page=0x10b5000 add_imm=0xd88

0xfffffff0092c9000: 00f84339  ldrb	w0, [x0, #0xfe]
0xfffffff0092c9004: c0035fd6  ret	
0xfffffff0092c9008: 5f2403d5  bti	c
0xfffffff0092c900c: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff0092c9010: 100040f9  ldr	x16, [x0]
0xfffffff0092c9014: f10300aa  mov	x17, x0
0xfffffff0092c9018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092c901c: 301ac1da  autda	x16, x17
0xfffffff0092c9020: 11ec80d2  mov	x17, #0x760
0xfffffff0092c9024: 1002118b  add	x16, x16, x17
0xfffffff0092c9028: 080240f9  ldr	x8, [x16]
0xfffffff0092c902c: e20310aa  mov	x2, x16
0xfffffff0092c9030: f00308aa  mov	x16, x8
0xfffffff0092c9034: f10302aa  mov	x17, x2
0xfffffff0092c9038: 917aedf2  movk	x17, #0x6bd4, lsl #48
0xfffffff0092c903c: 110a1fd7  braa	x16, x17
0xfffffff0092c9040: 5f2403d5  bti	c
0xfffffff0092c9044: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff0092c9048: c0035fd6  ret	
0xfffffff0092c904c: 5f2403d5  bti	c
0xfffffff0092c9050: a96dc017  b	#0xfffffff0082e46f4
0xfffffff0092c9054: 5f2403d5  bti	c
0xfffffff0092c9058: a76dc017  b	#0xfffffff0082e46f4
0xfffffff0092c905c: 7f2303d5  pacibsp	
0xfffffff0092c9060: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0092c9064: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0092c9068: fd430091  add	x29, sp, #0x10
0xfffffff0092c906c: a010ffb0  adrp	x0, #0xfffffff0074de000
0xfffffff0092c9070: 00101691  add	x0, x0, #0x584
0xfffffff0092c9074: c780c197  bl	#0xfffffff008329390
0xfffffff0092c9078: a88500b0  adrp	x8, #0xfffffff00a37e000
0xfffffff0092c907c: 00c106f9  str	x0, [x8, #0xd80]
0xfffffff0092c9080: a08500b0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092c9084: 00203691  add	x0, x0, #0xd88
0xfffffff0092c9088: a110ffb0  adrp	x1, #0xfffffff0074de000
0xfffffff0092c908c: 21501691  add	x1, x1, #0x594
0xfffffff0092c9090: 0247ffb0  adrp	x2, #0xfffffff007baa000
0xfffffff0092c9094: 42b443f9  ldr	x2, [x2, #0x768]
0xfffffff0092c9098: 030e8252  mov	w3, #0x1070
0xfffffff0092c909c: a76ac097  bl	#0xfffffff0082e3b38
0xfffffff0092c90a0: 1047ffd0  adrp	x16, #0xfffffff007bab000
0xfffffff0092c90a4: 10e20791  add	x16, x16, #0x1f8
0xfffffff0092c90a8: 10420091  add	x16, x16, #0x10
0xfffffff0092c90ac: f10300aa  mov	x17, x0
0xfffffff0092c90b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092c90b4: 300ac1da  pacda	x16, x17
0xfffffff0092c90b8: 100000f9  str	x16, [x0]
0xfffffff0092c90bc: a010ffb0  adrp	x0, #0xfffffff0074de000
0xfffffff0092c90c0: 00281f91  add	x0, x0, #0x7ca
0xfffffff0092c90c4: b380c197  bl	#0xfffffff008329390
0xfffffff0092c90c8: b38500b0  adrp	x19, #0xfffffff00a37e000
0xfffffff0092c90cc: 73c23691  add	x19, x19, #0xdb0
0xfffffff0092c90d0: 600200f9  str	x0, [x19]
0xfffffff0092c90d4: a010ffb0  adrp	x0, #0xfffffff0074de000
0xfffffff0092c90d8: 00881f91  add	x0, x0, #0x7e2
0xfffffff0092c90dc: ad80c197  bl	#0xfffffff008329390
0xfffffff0092c90e0: 600600f9  str	x0, [x19, #8]
0xfffffff0092c90e4: a010ffb0  adrp	x0, #0xfffffff0074de000
0xfffffff0092c90e8: 00f01f91  add	x0, x0, #0x7fc
0xfffffff0092c90ec: a980c197  bl	#0xfffffff008329390
0xfffffff0092c90f0: 600a00f9  str	x0, [x19, #0x10]
0xfffffff0092c90f4: a010ffb0  adrp	x0, #0xfffffff0074de000
0xfffffff0092c90f8: 00342091  add	x0, x0, #0x80d
0xfffffff0092c90fc: a580c197  bl	#0xfffffff008329390
