; Candidate 768
; ADRP+ADD at VM 0xfffffff008076b6c (fileoff 0x1072b6c): page=0x1feffa000 add_imm=0xd6f

0xfffffff008076aec: 00502c91  add	x0, x0, #0xb14
0xfffffff008076af0: 87761094  bl	#0xfffffff00849450c
0xfffffff008076af4: 400e01d0  adrp	x0, #0xfffffff00a240000
0xfffffff008076af8: 00e00e91  add	x0, x0, #0x3b8
0xfffffff008076afc: e10314aa  mov	x1, x20
0xfffffff008076b00: 19d7f497  bl	#0xfffffff007dac764
0xfffffff008076b04: d5ffff17  b	#0xfffffff008076a58
0xfffffff008076b08: a8ac8152  mov	w8, #0xd65
0xfffffff008076b0c: c97fffd0  adrp	x9, #0xfffffff007070000
0xfffffff008076b10: 29112b91  add	x9, x9, #0xac4
0xfffffff008076b14: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008076b18: f32300a9  stp	x19, x8, [sp]
0xfffffff008076b1c: 0081ff90  adrp	x0, #0xfffffff007096000
0xfffffff008076b20: 00982b91  add	x0, x0, #0xae6
0xfffffff008076b24: 7a761094  bl	#0xfffffff00849450c
0xfffffff008076b28: e8a98152  mov	w8, #0xd4f
0xfffffff008076b2c: c97fffd0  adrp	x9, #0xfffffff007070000
0xfffffff008076b30: 29112b91  add	x9, x9, #0xac4
0xfffffff008076b34: ca7fffd0  adrp	x10, #0xfffffff007070000
0xfffffff008076b38: 4a7d3591  add	x10, x10, #0xd5f
0xfffffff008076b3c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008076b40: ea4f00a9  stp	x10, x19, [sp]
0xfffffff008076b44: c07fffd0  adrp	x0, #0xfffffff007070000
0xfffffff008076b48: 009c3491  add	x0, x0, #0xd27
0xfffffff008076b4c: 70761094  bl	#0xfffffff00849450c
0xfffffff008076b50: 68aa8152  mov	w8, #0xd53
0xfffffff008076b54: c97fffd0  adrp	x9, #0xfffffff007070000
0xfffffff008076b58: 29112b91  add	x9, x9, #0xac4
0xfffffff008076b5c: ca7fffd0  adrp	x10, #0xfffffff007070000
0xfffffff008076b60: 4a7d3591  add	x10, x10, #0xd5f
0xfffffff008076b64: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008076b68: ea4f00a9  stp	x10, x19, [sp]
0xfffffff008076b6c: c07fffd0  adrp	x0, #0xfffffff007070000
0xfffffff008076b70: 00bc3591  add	x0, x0, #0xd6f
0xfffffff008076b74: 66761094  bl	#0xfffffff00849450c
0xfffffff008076b78: 68b48152  mov	w8, #0xda3
0xfffffff008076b7c: c97fffd0  adrp	x9, #0xfffffff007070000
0xfffffff008076b80: 29112b91  add	x9, x9, #0xac4
0xfffffff008076b84: ca7fffd0  adrp	x10, #0xfffffff007070000
0xfffffff008076b88: 4a5d2d91  add	x10, x10, #0xb57
0xfffffff008076b8c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008076b90: ea4f00a9  stp	x10, x19, [sp]
0xfffffff008076b94: c07fffd0  adrp	x0, #0xfffffff007070000
0xfffffff008076b98: 00cc2c91  add	x0, x0, #0xb33
0xfffffff008076b9c: 5c761094  bl	#0xfffffff00849450c
0xfffffff008076ba0: 7f2303d5  pacibsp	
0xfffffff008076ba4: ff0302d1  sub	sp, sp, #0x80
0xfffffff008076ba8: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff008076bac: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008076bb0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008076bb4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008076bb8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008076bbc: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008076bc0: fdc30191  add	x29, sp, #0x70
0xfffffff008076bc4: f40301aa  mov	x20, x1
0xfffffff008076bc8: f30300aa  mov	x19, x0
0xfffffff008076bcc: 880a01b0  adrp	x8, #0xfffffff00a1c7000
0xfffffff008076bd0: 08010091  add	x8, x8, #0
0xfffffff008076bd4: 080140f9  ldr	x8, [x8]
0xfffffff008076bd8: e80f00f9  str	x8, [sp, #0x18]
0xfffffff008076bdc: 290040f9  ldr	x9, [x1]
0xfffffff008076be0: 890e00b4  cbz	x9, #0xfffffff008076db0
0xfffffff008076be4: e80309aa  mov	x8, x9
0xfffffff008076be8: 290140f9  ldr	x9, [x9]
