; Candidate 16308
; ADRP+ADD at VM 0xfffffff009e516ac (fileoff 0x2e4d6ac): page=0x1fd9da000 add_imm=0xce3

0xfffffff009e5162c: 9fa28397  bl	#0xfffffff007f3a0a8
0xfffffff009e51630: e07b00f9  str	x0, [sp, #0xf0]
0xfffffff009e51634: 28008052  mov	w8, #1
0xfffffff009e51638: a9d0fe90  adrp	x9, #0xfffffff007865000
0xfffffff009e5163c: 29a53291  add	x9, x9, #0xca9
0xfffffff009e51640: e8fb00b9  str	w8, [sp, #0xf8]
0xfffffff009e51644: e97f10a9  stp	x9, xzr, [sp, #0x100]
0xfffffff009e51648: 082c00f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e5164c: 089542f9  ldr	x8, [x8, #0x528]
0xfffffff009e51650: fc2311a9  stp	x28, x8, [sp, #0x110]
0xfffffff009e51654: a8c302d1  sub	x8, x29, #0xb0
0xfffffff009e51658: e89f00f9  str	x8, [sp, #0x138]
0xfffffff009e5165c: c8008052  mov	w8, #6
0xfffffff009e51660: e84301b9  str	w8, [sp, #0x140]
0xfffffff009e51664: 9b830291  add	x27, x28, #0xa0
0xfffffff009e51668: e0031baa  mov	x0, x27
0xfffffff009e5166c: d1707d97  bl	#0xfffffff007dad9b0
0xfffffff009e51670: e2c30391  add	x2, sp, #0xf0
0xfffffff009e51674: e3830291  add	x3, sp, #0xa0
0xfffffff009e51678: 00008052  mov	w0, #0
0xfffffff009e5167c: 010b8052  mov	w1, #0x58
0xfffffff009e51680: 90fe8297  bl	#0xfffffff007f110c0
0xfffffff009e51684: 600f0034  cbz	w0, #0xfffffff009e51870
0xfffffff009e51688: f70300aa  mov	x23, x0
0xfffffff009e5168c: 083e8452  mov	w8, #0x21f0
0xfffffff009e51690: 8802088b  add	x8, x20, x8
0xfffffff009e51694: f3df01a9  stp	x19, x23, [sp, #0x18]
0xfffffff009e51698: 09308152  mov	w9, #0x980
0xfffffff009e5169c: cacefed0  adrp	x10, #0xfffffff00782b000
0xfffffff009e516a0: 4af53191  add	x10, x10, #0xc7d
0xfffffff009e516a4: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e516a8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e516ac: c0cefed0  adrp	x0, #0xfffffff00782b000
0xfffffff009e516b0: 008c3391  add	x0, x0, #0xce3
0xfffffff009e516b4: 84b80094  bl	#0xfffffff009e7f8c4
0xfffffff009e516b8: ff5300f9  str	xzr, [sp, #0xa0]
0xfffffff009e516bc: df0200f9  str	xzr, [x22]
0xfffffff009e516c0: f8031aaa  mov	x24, x26
0xfffffff009e516c4: fa3740f9  ldr	x26, [sp, #0x68]
0xfffffff009e516c8: 400340f9  ldr	x0, [x26]
0xfffffff009e516cc: 000500b4  cbz	x0, #0xfffffff009e5176c
0xfffffff009e516d0: cfa28397  bl	#0xfffffff007f3a20c
0xfffffff009e516d4: f30300aa  mov	x19, x0
0xfffffff009e516d8: e85f40f9  ldr	x8, [sp, #0xb8]
0xfffffff009e516dc: 080100b4  cbz	x8, #0xfffffff009e516fc
0xfffffff009e516e0: e1c30291  add	x1, sp, #0xb0
0xfffffff009e516e4: e00314aa  mov	x0, x20
0xfffffff009e516e8: f5270494  bl	#0xfffffff009f5b6bc
0xfffffff009e516ec: e0c30291  add	x0, sp, #0xb0
0xfffffff009e516f0: 01008052  mov	w1, #0
0xfffffff009e516f4: 02028052  mov	w2, #0x10
0xfffffff009e516f8: 32ed7b97  bl	#0xfffffff007d4cbc0
0xfffffff009e516fc: fb3b40f9  ldr	x27, [sp, #0x70]
0xfffffff009e51700: e86740b9  ldr	w8, [sp, #0x64]
0xfffffff009e51704: e8000037  tbnz	w8, #0, #0xfffffff009e51720
0xfffffff009e51708: 201340f9  ldr	x0, [x25, #0x20]
0xfffffff009e5170c: 410340f9  ldr	x1, [x26]
0xfffffff009e51710: 48938397  bl	#0xfffffff007f36430
0xfffffff009e51714: 60000035  cbnz	w0, #0xfffffff009e51720
0xfffffff009e51718: 281340f9  ldr	x8, [x25, #0x20]
0xfffffff009e5171c: 688200f9  str	x8, [x19, #0x100]
0xfffffff009e51720: e8f6fed0  adrp	x8, #0xfffffff007d2f000
0xfffffff009e51724: 081d40f9  ldr	x8, [x8, #0x38]
0xfffffff009e51728: 080140b9  ldr	w8, [x8]
