; Candidate 7362
; ADRP+ADD at VM 0xfffffff008869fc8 (fileoff 0x1865fc8): page=0x1fe980000 add_imm=0xe80

0xfffffff008869f48: 17020034  cbz	w23, #0xfffffff008869f88
0xfffffff008869f4c: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869f50: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008869f54: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008869f58: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869f5c: 09592791  add	x9, x8, #0x9d6
0xfffffff008869f60: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869f64: 08811191  add	x8, x8, #0x460
0xfffffff008869f68: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008869f6c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008869f70: 680c8052  mov	w8, #0x63
0xfffffff008869f74: 404dffb0  adrp	x0, #0xfffffff007212000
0xfffffff008869f78: 00701b91  add	x0, x0, #0x6dc
0xfffffff008869f7c: f62300a9  stp	x22, x8, [sp]
0xfffffff008869f80: 3835d597  bl	#0xfffffff007db7460
0xfffffff008869f84: 19000014  b	#0xfffffff008869fe8
0xfffffff008869f88: 89280194  bl	#0xfffffff0088b41ac
0xfffffff008869f8c: f60300aa  mov	x22, x0
0xfffffff008869f90: c0008052  mov	w0, #6
0xfffffff008869f94: 2f460094  bl	#0xfffffff00887b850
0xfffffff008869f98: e80315aa  mov	x8, x21
0xfffffff008869f9c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008869fa0: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008869fa4: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008869fa8: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869fac: 0a592791  add	x10, x8, #0x9d6
0xfffffff008869fb0: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869fb4: 08811191  add	x8, x8, #0x460
0xfffffff008869fb8: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008869fbc: 680c8052  mov	w8, #0x63
0xfffffff008869fc0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008869fc4: f60300f9  str	x22, [sp]
0xfffffff008869fc8: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008869fcc: 00003a91  add	x0, x0, #0xe80
0xfffffff008869fd0: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008869fd4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008869fd8: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff008869fdc: 634c2591  add	x3, x3, #0x953
0xfffffff008869fe0: 02008052  mov	w2, #0
0xfffffff008869fe4: 5324eb97  bl	#0xfffffff008333130
0xfffffff008869fe8: e00315aa  mov	x0, x21
0xfffffff008869fec: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff008869ff0: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff008869ff4: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff008869ff8: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff008869ffc: fa674ea9  ldp	x26, x25, [sp, #0xe0]
0xfffffff00886a000: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff00886a004: ffc30491  add	sp, sp, #0x130
0xfffffff00886a008: ff0f5fd6  retab	
0xfffffff00886a00c: 7f2303d5  pacibsp	
0xfffffff00886a010: ff4303d1  sub	sp, sp, #0xd0
0xfffffff00886a014: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff00886a018: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff00886a01c: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff00886a020: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff00886a024: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff00886a028: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff00886a02c: fd030391  add	x29, sp, #0xc0
0xfffffff00886a030: f40301aa  mov	x20, x1
0xfffffff00886a034: f30300aa  mov	x19, x0
0xfffffff00886a038: 600c8052  mov	w0, #0x63
0xfffffff00886a03c: 01018052  mov	w1, #8
0xfffffff00886a040: e4450094  bl	#0xfffffff00887b7d0
0xfffffff00886a044: c0020034  cbz	w0, #0xfffffff00886a09c
