; Candidate 8831
; ADRP+ADD at VM 0xfffffff0088c9d84 (fileoff 0x18c5d84): page=0x1fe99e000 add_imm=0xd1d

0xfffffff0088c9d04: f64cffd0  adrp	x22, #0xfffffff007267000
0xfffffff0088c9d08: d6463491  add	x22, x22, #0xd11
0xfffffff0088c9d0c: e05b01a9  stp	x0, x22, [sp, #0x10]
0xfffffff0088c9d10: f45700a9  stp	x20, x21, [sp]
0xfffffff0088c9d14: e24cffd0  adrp	x2, #0xfffffff007267000
0xfffffff0088c9d18: 428c2c91  add	x2, x2, #0xb23
0xfffffff0088c9d1c: e00313aa  mov	x0, x19
0xfffffff0088c9d20: e10313aa  mov	x1, x19
0xfffffff0088c9d24: f10308aa  mov	x17, x8
0xfffffff0088c9d28: f10aedf2  movk	x17, #0x6857, lsl #48
0xfffffff0088c9d2c: 31093fd7  blraa	x9, x17
0xfffffff0088c9d30: 685240f9  ldr	x8, [x19, #0xa0]
0xfffffff0088c9d34: 090145a9  ldp	x9, x0, [x8, #0x50]
0xfffffff0088c9d38: 510f86d2  mov	x17, #0x307a
0xfffffff0088c9d3c: 31093fd7  blraa	x9, x17
0xfffffff0088c9d40: f40300aa  mov	x20, x0
0xfffffff0088c9d44: c0020034  cbz	w0, #0xfffffff0088c9d9c
0xfffffff0088c9d48: 700240f9  ldr	x16, [x19]
0xfffffff0088c9d4c: f10313aa  mov	x17, x19
0xfffffff0088c9d50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088c9d54: 301ac1da  autda	x16, x17
0xfffffff0088c9d58: 113d80d2  mov	x17, #0x1e8
0xfffffff0088c9d5c: 1002118b  add	x16, x16, x17
0xfffffff0088c9d60: 080240f9  ldr	x8, [x16]
0xfffffff0088c9d64: e90310aa  mov	x9, x16
0xfffffff0088c9d68: e00313aa  mov	x0, x19
0xfffffff0088c9d6c: 010080d2  mov	x1, #0
0xfffffff0088c9d70: f10309aa  mov	x17, x9
0xfffffff0088c9d74: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088c9d78: 11093fd7  blraa	x8, x17
0xfffffff0088c9d7c: f6d300a9  stp	x22, x20, [sp, #8]
0xfffffff0088c9d80: e00300f9  str	x0, [sp]
0xfffffff0088c9d84: e04cffd0  adrp	x0, #0xfffffff007267000
0xfffffff0088c9d88: 00743491  add	x0, x0, #0xd1d
0xfffffff0088c9d8c: a534ea97  bl	#0xfffffff008357020
0xfffffff0088c9d90: 03000014  b	#0xfffffff0088c9d9c
0xfffffff0088c9d94: f4588052  mov	w20, #0x2c7
0xfffffff0088c9d98: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0088c9d9c: e00314aa  mov	x0, x20
0xfffffff0088c9da0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0088c9da4: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0088c9da8: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0088c9dac: ff430191  add	sp, sp, #0x50
0xfffffff0088c9db0: ff0f5fd6  retab	
0xfffffff0088c9db4: 7f2303d5  pacibsp	
0xfffffff0088c9db8: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088c9dbc: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088c9dc0: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088c9dc4: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088c9dc8: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088c9dcc: fdc30191  add	x29, sp, #0x70
0xfffffff0088c9dd0: f30301aa  mov	x19, x1
0xfffffff0088c9dd4: f40300aa  mov	x20, x0
0xfffffff0088c9dd8: 1c7bea97  bl	#0xfffffff008368a48
0xfffffff0088c9ddc: f50300aa  mov	x21, x0
0xfffffff0088c9de0: 8210d897  bl	#0xfffffff007ecdfe8
0xfffffff0088c9de4: 9384d497  bl	#0xfffffff007deb030
0xfffffff0088c9de8: f60300aa  mov	x22, x0
0xfffffff0088c9dec: 900240f9  ldr	x16, [x20]
0xfffffff0088c9df0: f10314aa  mov	x17, x20
0xfffffff0088c9df4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088c9df8: 301ac1da  autda	x16, x17
0xfffffff0088c9dfc: f10310aa  mov	x17, x16
0xfffffff0088c9e00: f147c1da  xpacd	x17
