; Candidate 16666
; ADRP+ADD at VM 0xfffffff009f193dc (fileoff 0x2f153dc): page=0x1fd93e000 add_imm=0xd7d

0xfffffff009f1935c: e00f803d  str	q0, [sp, #0x30]
0xfffffff009f19360: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff009f19364: 637e40f9  ldr	x3, [x19, #0xf8]
0xfffffff009f19368: f80300b9  str	w24, [sp]
0xfffffff009f1936c: 10000090  adrp	x16, #0xfffffff009f19000
0xfffffff009f19370: 10621391  add	x16, x16, #0x4d8
0xfffffff009f19374: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009f19378: 3002c1da  pacia	x16, x17
0xfffffff009f1937c: e50310aa  mov	x5, x16
0xfffffff009f19380: e4830091  add	x4, sp, #0x20
0xfffffff009f19384: a60301d1  sub	x6, x29, #0x40
0xfffffff009f19388: e00313aa  mov	x0, x19
0xfffffff009f1938c: 21008052  mov	w1, #1
0xfffffff009f19390: 020080d2  mov	x2, #0
0xfffffff009f19394: 070080d2  mov	x7, #0
0xfffffff009f19398: 5a36ff97  bl	#0xfffffff009ee6d00
0xfffffff009f1939c: f70300aa  mov	x23, x0
0xfffffff009f193a0: c12240f9  ldr	x1, [x22, #0x40]
0xfffffff009f193a4: e00313aa  mov	x0, x19
0xfffffff009f193a8: 0730ff97  bl	#0xfffffff009ee53c4
0xfffffff009f193ac: 17020034  cbz	w23, #0xfffffff009f193ec
0xfffffff009f193b0: e00314aa  mov	x0, x20
0xfffffff009f193b4: 10000094  bl	#0xfffffff009f193f4
0xfffffff009f193b8: 60f8ff34  cbz	w0, #0xfffffff009f192c4
0xfffffff009f193bc: 083e8452  mov	w8, #0x21f0
0xfffffff009f193c0: 6802088b  add	x8, x19, x8
0xfffffff009f193c4: e90317aa  mov	x9, x23
0xfffffff009f193c8: eaa78052  mov	w10, #0x53f
0xfffffff009f193cc: ebc9fed0  adrp	x11, #0xfffffff007857000
0xfffffff009f193d0: 6b453391  add	x11, x11, #0xcd1
0xfffffff009f193d4: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009f193d8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f193dc: e0c9fed0  adrp	x0, #0xfffffff007857000
0xfffffff009f193e0: 00f43591  add	x0, x0, #0xd7d
0xfffffff009f193e4: 3899fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f193e8: b7ffff17  b	#0xfffffff009f192c4
0xfffffff009f193ec: b40200f9  str	x20, [x21]
0xfffffff009f193f0: b5ffff17  b	#0xfffffff009f192c4
0xfffffff009f193f4: 7f2303d5  pacibsp	
0xfffffff009f193f8: ff4301d1  sub	sp, sp, #0x50
0xfffffff009f193fc: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009f19400: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009f19404: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009f19408: fd030191  add	x29, sp, #0x40
0xfffffff009f1940c: 08800091  add	x8, x0, #0x20
0xfffffff009f19410: 09008092  mov	x9, #-1
0xfffffff009f19414: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009f19418: 1f0500f1  cmp	x8, #1
0xfffffff009f1941c: 41030054  b.ne	#0xfffffff009f19484
0xfffffff009f19420: f30300aa  mov	x19, x0
0xfffffff009f19424: f5c9fed0  adrp	x21, #0xfffffff007857000
0xfffffff009f19428: b5c23791  add	x21, x21, #0xdf0
0xfffffff009f1942c: c8bc8052  mov	w8, #0x5e6
0xfffffff009f19430: f52300a9  stp	x21, x8, [sp]
0xfffffff009f19434: e0c9fed0  adrp	x0, #0xfffffff007857000
0xfffffff009f19438: 00e03691  add	x0, x0, #0xdb8
0xfffffff009f1943c: 0199fd97  bl	#0xfffffff009e7f840
0xfffffff009f19440: 600240f9  ldr	x0, [x19]
0xfffffff009f19444: 400200b4  cbz	x0, #0xfffffff009f1948c
0xfffffff009f19448: 010080d2  mov	x1, #0
0xfffffff009f1944c: 020080d2  mov	x2, #0
0xfffffff009f19450: 07360094  bl	#0xfffffff009f26c6c
0xfffffff009f19454: f40300aa  mov	x20, x0
0xfffffff009f19458: e0000034  cbz	w0, #0xfffffff009f19474
