; Candidate 8718
; ADRP+ADD at VM 0xfffffff0088bfc6c (fileoff 0x18bbc6c): page=0x1fe92a000 add_imm=0xe80

0xfffffff0088bfbec: 63082591  add	x3, x3, #0x942
0xfffffff0088bfbf0: 02008052  mov	w2, #0
0xfffffff0088bfbf4: 4fcde997  bl	#0xfffffff008333130
0xfffffff0088bfbf8: 786203b9  str	w24, [x19, #0x360]
0xfffffff0088bfbfc: e0088052  mov	w0, #0x47
0xfffffff0088bfc00: e1008052  mov	w1, #7
0xfffffff0088bfc04: f3eefe97  bl	#0xfffffff00887b7d0
0xfffffff0088bfc08: 20040034  cbz	w0, #0xfffffff0088bfc8c
0xfffffff0088bfc0c: e0088052  mov	w0, #0x47
0xfffffff0088bfc10: 02effe97  bl	#0xfffffff00887b818
0xfffffff0088bfc14: f60300aa  mov	x22, x0
0xfffffff0088bfc18: 65d1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bfc1c: f50300aa  mov	x21, x0
0xfffffff0088bfc20: e0008052  mov	w0, #7
0xfffffff0088bfc24: 0beffe97  bl	#0xfffffff00887b850
0xfffffff0088bfc28: 36010034  cbz	w22, #0xfffffff0088bfc4c
0xfffffff0088bfc2c: 686243b9  ldr	w8, [x19, #0x360]
0xfffffff0088bfc30: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bfc34: e8088052  mov	w8, #0x47
0xfffffff0088bfc38: f52300a9  stp	x21, x8, [sp]
0xfffffff0088bfc3c: a04bfff0  adrp	x0, #0xfffffff007236000
0xfffffff0088bfc40: 00981c91  add	x0, x0, #0x726
0xfffffff0088bfc44: 07ded397  bl	#0xfffffff007db7460
0xfffffff0088bfc48: 11000014  b	#0xfffffff0088bfc8c
0xfffffff0088bfc4c: 58d1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bfc50: f50300aa  mov	x21, x0
0xfffffff0088bfc54: e0008052  mov	w0, #7
0xfffffff0088bfc58: feeefe97  bl	#0xfffffff00887b850
0xfffffff0088bfc5c: 686243b9  ldr	w8, [x19, #0x360]
0xfffffff0088bfc60: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bfc64: e8088052  mov	w8, #0x47
0xfffffff0088bfc68: f52300a9  stp	x21, x8, [sp]
0xfffffff0088bfc6c: 4049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bfc70: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bfc74: 418affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088bfc78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bfc7c: 234dfff0  adrp	x3, #0xfffffff007266000
0xfffffff0088bfc80: 63cc2591  add	x3, x3, #0x973
0xfffffff0088bfc84: 02008052  mov	w2, #0
0xfffffff0088bfc88: 2acde997  bl	#0xfffffff008333130
0xfffffff0088bfc8c: 811a40b9  ldr	w1, [x20, #0x18]
0xfffffff0088bfc90: e2230191  add	x2, sp, #0x48
0xfffffff0088bfc94: e00313aa  mov	x0, x19
0xfffffff0088bfc98: 9e000094  bl	#0xfffffff0088bff10
0xfffffff0088bfc9c: 73000014  b	#0xfffffff0088bfe68
0xfffffff0088bfca0: 43d1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bfca4: f40300aa  mov	x20, x0
0xfffffff0088bfca8: 80008052  mov	w0, #4
0xfffffff0088bfcac: e9eefe97  bl	#0xfffffff00887b850
0xfffffff0088bfcb0: a84bffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088bfcb4: 08e53291  add	x8, x8, #0xcb9
0xfffffff0088bfcb8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088bfcbc: 88008152  mov	w8, #0x804
0xfffffff0088bfcc0: a94bffd0  adrp	x9, #0xfffffff007235000
0xfffffff0088bfcc4: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088bfcc8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bfccc: a84bfff0  adrp	x8, #0xfffffff007236000
0xfffffff0088bfcd0: 08113791  add	x8, x8, #0xdc4
0xfffffff0088bfcd4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bfcd8: e8088052  mov	w8, #0x47
0xfffffff0088bfcdc: f42300a9  stp	x20, x8, [sp]
0xfffffff0088bfce0: 4049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bfce4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bfce8: 418affb0  adrp	x1, #0xfffffff007a08000
