; Candidate 9333
; ADRP+ADD at VM 0xfffffff008a26bfc (fileoff 0x1a22bfc): page=0x1fe876000 add_imm=0xe2f

0xfffffff008a26b7c: 78508052  mov	w24, #0x283
0xfffffff008a26b80: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008a26b84: bb43ffd0  adrp	x27, #0xfffffff00729c000
0xfffffff008a26b88: 7b273a91  add	x27, x27, #0xe89
0xfffffff008a26b8c: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a26b90: 8043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a26b94: 00003991  add	x0, x0, #0xe40
0xfffffff008a26b98: 2181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a26b9c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a26ba0: c343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a26ba4: 63001891  add	x3, x3, #0x600
0xfffffff008a26ba8: 02028052  mov	w2, #0x10
0xfffffff008a26bac: 6131e497  bl	#0xfffffff008333130
0xfffffff008a26bb0: 900240f9  ldr	x16, [x20]
0xfffffff008a26bb4: f10314aa  mov	x17, x20
0xfffffff008a26bb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a26bbc: 301ac1da  autda	x16, x17
0xfffffff008a26bc0: f10310aa  mov	x17, x16
0xfffffff008a26bc4: f147c1da  xpacd	x17
0xfffffff008a26bc8: 1f0211eb  cmp	x16, x17
0xfffffff008a26bcc: 40000054  b.eq	#0xfffffff008a26bd4
0xfffffff008a26bd0: 408e38d4  brk	#0xc472
0xfffffff008a26bd4: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a26bd8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a26bdc: e00314aa  mov	x0, x20
0xfffffff008a26be0: 010080d2  mov	x1, #0
0xfffffff008a26be4: f10308aa  mov	x17, x8
0xfffffff008a26be8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a26bec: 31093fd7  blraa	x9, x17
0xfffffff008a26bf0: f35b02a9  stp	x19, x22, [sp, #0x20]
0xfffffff008a26bf4: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008a26bf8: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a26bfc: a043ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a26c00: 00bc3891  add	x0, x0, #0xe2f
0xfffffff008a26c04: 07c1e497  bl	#0xfffffff008357020
0xfffffff008a26c08: 480340b9  ldr	w8, [x26]
0xfffffff008a26c0c: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a26c10: 20010054  b.eq	#0xfffffff008a26c34
0xfffffff008a26c14: e80316aa  mov	x8, x22
0xfffffff008a26c18: 047d4093  sxtw	x4, w8
0xfffffff008a26c1c: 20070011  add	w0, w25, #1
0xfffffff008a26c20: e10314aa  mov	x1, x20
0xfffffff008a26c24: e20315aa  mov	x2, x21
0xfffffff008a26c28: e30313aa  mov	x3, x19
0xfffffff008a26c2c: 050080d2  mov	x5, #0
0xfffffff008a26c30: b55cdd97  bl	#0xfffffff00817df04
0xfffffff008a26c34: e00316aa  mov	x0, x22
0xfffffff008a26c38: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008a26c3c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008a26c40: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008a26c44: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008a26c48: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008a26c4c: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008a26c50: ff430291  add	sp, sp, #0x90
0xfffffff008a26c54: ff0f5fd6  retab	
0xfffffff008a26c58: 900240f9  ldr	x16, [x20]
0xfffffff008a26c5c: f10314aa  mov	x17, x20
0xfffffff008a26c60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a26c64: 301ac1da  autda	x16, x17
0xfffffff008a26c68: 113d80d2  mov	x17, #0x1e8
0xfffffff008a26c6c: 1002118b  add	x16, x16, x17
0xfffffff008a26c70: 080240f9  ldr	x8, [x16]
0xfffffff008a26c74: e90310aa  mov	x9, x16
0xfffffff008a26c78: e00314aa  mov	x0, x20
