; Candidate 1792
; ADRP+ADD at VM 0xfffffff008513730 (fileoff 0x150f730): page=0x1febce000 add_imm=0xdd8

0xfffffff0085136b0: 7f0e0839  strb	wzr, [x19, #0x203]
0xfffffff0085136b4: 01a4ffd0  adrp	x1, #0xfffffff007995000
0xfffffff0085136b8: 21a845f9  ldr	x1, [x1, #0xb50]
0xfffffff0085136bc: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff0085136c0: e00313aa  mov	x0, x19
0xfffffff0085136c4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085136c8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085136cc: ff2303d5  autibsp	
0xfffffff0085136d0: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0085136d4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0085136dc
0xfffffff0085136d8: 208e38d4  brk	#0xc471
0xfffffff0085136dc: f10301aa  mov	x17, x1
0xfffffff0085136e0: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff0085136e4: 110a1fd7  braa	x16, x17
0xfffffff0085136e8: 5f2403d5  bti	c
0xfffffff0085136ec: 00ee00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff0085136f0: 00a01591  add	x0, x0, #0x568
0xfffffff0085136f4: c0035fd6  ret	
0xfffffff0085136f8: 5f2403d5  bti	c
0xfffffff0085136fc: 200020d4  brk	#1
0xfffffff008513700: 5f2403d5  bti	c
0xfffffff008513704: 200020d4  brk	#1
0xfffffff008513708: 5f2403d5  bti	c
0xfffffff00851370c: 000080d2  mov	x0, #0
0xfffffff008513710: c0035fd6  ret	
0xfffffff008513714: 5f2403d5  bti	c
0xfffffff008513718: f743f717  b	#0xfffffff0082e46f4
0xfffffff00851371c: 5f2403d5  bti	c
0xfffffff008513720: f543f717  b	#0xfffffff0082e46f4
0xfffffff008513724: 7f2303d5  pacibsp	
0xfffffff008513728: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00851372c: fd030091  mov	x29, sp
0xfffffff008513730: 605effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008513734: 00603791  add	x0, x0, #0xdd8
0xfffffff008513738: c056f897  bl	#0xfffffff008329238
0xfffffff00851373c: 08ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008513740: 005902f9  str	x0, [x8, #0x4b0]
0xfffffff008513744: 605effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008513748: 00083891  add	x0, x0, #0xe02
0xfffffff00851374c: bb56f897  bl	#0xfffffff008329238
0xfffffff008513750: 08ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008513754: 005d02f9  str	x0, [x8, #0x4b8]
0xfffffff008513758: 605effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00851375c: 00883891  add	x0, x0, #0xe22
0xfffffff008513760: b656f897  bl	#0xfffffff008329238
0xfffffff008513764: 08ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008513768: 006102f9  str	x0, [x8, #0x4c0]
0xfffffff00851376c: 605effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008513770: 00e43891  add	x0, x0, #0xe39
0xfffffff008513774: b156f897  bl	#0xfffffff008329238
0xfffffff008513778: 08ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00851377c: 006502f9  str	x0, [x8, #0x4c8]
0xfffffff008513780: 605effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008513784: 004c3991  add	x0, x0, #0xe53
0xfffffff008513788: ac56f897  bl	#0xfffffff008329238
0xfffffff00851378c: 08ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008513790: 006902f9  str	x0, [x8, #0x4d0]
0xfffffff008513794: 605effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008513798: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00851379c: a756f897  bl	#0xfffffff008329238
0xfffffff0085137a0: 08ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085137a4: 006d02f9  str	x0, [x8, #0x4d8]
0xfffffff0085137a8: 00ee00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff0085137ac: 00801391  add	x0, x0, #0x4e0
