; Candidate 13745
; ADRP+ADD at VM 0xfffffff00956ab4c (fileoff 0x2566b4c): page=0xe1e000 add_imm=0xebc

0xfffffff00956aacc: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff00956aad0: 14a01e91  add	x20, x0, #0x7a8
0xfffffff00956aad4: 97fffeb0  adrp	x23, #0xfffffff00755b000
0xfffffff00956aad8: f7021591  add	x23, x23, #0x540
0xfffffff00956aadc: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00956aae0: e00314aa  mov	x0, x20
0xfffffff00956aae4: fa03a197  bl	#0xfffffff007dabacc
0xfffffff00956aae8: 680240b9  ldr	w8, [x19]
0xfffffff00956aaec: 68016836  tbz	w8, #0xd, #0xfffffff00956ab18
0xfffffff00956aaf0: e00315aa  mov	x0, x21
0xfffffff00956aaf4: e10314aa  mov	x1, x20
0xfffffff00956aaf8: 02818052  mov	w2, #0x408
0xfffffff00956aafc: e30317aa  mov	x3, x23
0xfffffff00956ab00: 040080d2  mov	x4, #0
0xfffffff00956ab04: 36afb197  bl	#0xfffffff0081d67dc
0xfffffff00956ab08: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff00956ab0c: a8feffb4  cbz	x8, #0xfffffff00956aae0
0xfffffff00956ab10: 18008052  mov	w24, #0
0xfffffff00956ab14: 9f000014  b	#0xfffffff00956ad90
0xfffffff00956ab18: 08011332  orr	w8, w8, #0x2000
0xfffffff00956ab1c: 680200b9  str	w8, [x19]
0xfffffff00956ab20: e00314aa  mov	x0, x20
0xfffffff00956ab24: 0607a197  bl	#0xfffffff007dac73c
0xfffffff00956ab28: 37008052  mov	w23, #1
0xfffffff00956ab2c: e00313aa  mov	x0, x19
0xfffffff00956ab30: 21008052  mov	w1, #1
0xfffffff00956ab34: b4f60094  bl	#0xfffffff0095a8604
0xfffffff00956ab38: 80050034  cbz	w0, #0xfffffff00956abe8
0xfffffff00956ab3c: 5f7f08a9  stp	xzr, xzr, [x26, #0x80]
0xfffffff00956ab40: b74318b8  stur	w23, [x29, #-0x7c]
0xfffffff00956ab44: 08088052  mov	w8, #0x40
0xfffffff00956ab48: a8031838  sturb	w8, [x29, #-0x80]
0xfffffff00956ab4c: e07000d0  adrp	x0, #0xfffffff00a388000
0xfffffff00956ab50: 00f03a91  add	x0, x0, #0xebc
0xfffffff00956ab54: 404b00f9  str	x0, [x26, #0x90]
0xfffffff00956ab58: aaca9f97  bl	#0xfffffff007d5d600
0xfffffff00956ab5c: a0231878  sturh	w0, [x29, #-0x7e]
0xfffffff00956ab60: 08018052  mov	w8, #8
0xfffffff00956ab64: a8c318b8  stur	w8, [x29, #-0x74]
0xfffffff00956ab68: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00956ab6c: 400300ad  stp	q0, q0, [x26]
0xfffffff00956ab70: 400301ad  stp	q0, q0, [x26, #0x20]
0xfffffff00956ab74: 400302ad  stp	q0, q0, [x26, #0x40]
0xfffffff00956ab78: 401b803d  str	q0, [x26, #0x60]
0xfffffff00956ab7c: 5f3b00f9  str	xzr, [x26, #0x70]
0xfffffff00956ab80: f7ab00b9  str	w23, [sp, #0xa8]
0xfffffff00956ab84: 09009052  mov	w9, #0x8000
0xfffffff00956ab88: e94b0179  strh	w9, [sp, #0xa4]
0xfffffff00956ab8c: e8a300b9  str	w8, [sp, #0xa0]
0xfffffff00956ab90: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff00956ab94: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff00956ab98: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff00956ab9c: c84a1353  lsl	w8, w22, #0xd
0xfffffff00956aba0: e85300b9  str	w8, [sp, #0x50]
0xfffffff00956aba4: e8730091  add	x8, sp, #0x1c
0xfffffff00956aba8: e80300f9  str	x8, [sp]
0xfffffff00956abac: a30302d1  sub	x3, x29, #0x80
0xfffffff00956abb0: e5830291  add	x5, sp, #0xa0
0xfffffff00956abb4: e6030191  add	x6, sp, #0x40
0xfffffff00956abb8: a7a301d1  sub	x7, x29, #0x68
0xfffffff00956abbc: e00313aa  mov	x0, x19
0xfffffff00956abc0: 010080d2  mov	x1, #0
0xfffffff00956abc4: 020080d2  mov	x2, #0
0xfffffff00956abc8: 04008052  mov	w4, #0
