; Candidate 11362
; ADRP+ADD at VM 0xfffffff008ef5bec (fileoff 0x1ef1bec): page=0x1fe515000 add_imm=0xd07

0xfffffff008ef5b6c: f10300aa  mov	x17, x0
0xfffffff008ef5b70: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef5b74: 301ac1da  autda	x16, x17
0xfffffff008ef5b78: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008ef5b7c: e90310aa  mov	x9, x16
0xfffffff008ef5b80: f10309aa  mov	x17, x9
0xfffffff008ef5b84: 1199e4f2  movk	x17, #0x24c8, lsl #48
0xfffffff008ef5b88: 11093fd7  blraa	x8, x17
0xfffffff008ef5b8c: ecffff17  b	#0xfffffff008ef5b3c
0xfffffff008ef5b90: 0061ffb0  adrp	x0, #0xfffffff007b16000
0xfffffff008ef5b94: 00003d91  add	x0, x0, #0xf40
0xfffffff008ef5b98: e10314aa  mov	x1, x20
0xfffffff008ef5b9c: e20315aa  mov	x2, x21
0xfffffff008ef5ba0: 9284d197  bl	#0xfffffff008356de8
0xfffffff008ef5ba4: f060fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef5ba8: 10022e91  add	x16, x16, #0xb80
0xfffffff008ef5bac: 10420091  add	x16, x16, #0x10
0xfffffff008ef5bb0: f10313aa  mov	x17, x19
0xfffffff008ef5bb4: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef5bb8: 300ac1da  pacda	x16, x17
0xfffffff008ef5bbc: 700200f9  str	x16, [x19]
0xfffffff008ef5bc0: 680640f9  ldr	x8, [x19, #8]
0xfffffff008ef5bc4: 480100b5  cbnz	x8, #0xfffffff008ef5bec
0xfffffff008ef5bc8: e00313aa  mov	x0, x19
0xfffffff008ef5bcc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008ef5bd0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008ef5bd4: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008ef5bd8: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008ef5bdc: ff0f5fd6  retab	
0xfffffff008ef5be0: 6028fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ef5be4: 00000891  add	x0, x0, #0x200
0xfffffff008ef5be8: 3fffff97  bl	#0xfffffff008ef58e4
0xfffffff008ef5bec: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef5bf0: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef5bf4: 3cffff97  bl	#0xfffffff008ef58e4
0xfffffff008ef5bf8: 7f2303d5  pacibsp	
0xfffffff008ef5bfc: ff0302d1  sub	sp, sp, #0x80
0xfffffff008ef5c00: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff008ef5c04: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008ef5c08: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008ef5c0c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008ef5c10: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008ef5c14: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008ef5c18: fdc30191  add	x29, sp, #0x70
0xfffffff008ef5c1c: f40301aa  mov	x20, x1
0xfffffff008ef5c20: f30308aa  mov	x19, x8
0xfffffff008ef5c24: 151040f9  ldr	x21, [x0, #0x20]
0xfffffff008ef5c28: 350200b4  cbz	x21, #0xfffffff008ef5c6c
0xfffffff008ef5c2c: 082840b9  ldr	w8, [x0, #0x28]
0xfffffff008ef5c30: a90e088b  add	x9, x21, x8, lsl #3
0xfffffff008ef5c34: 280115eb  subs	x8, x9, x21
0xfffffff008ef5c38: 630d0054  b.lo	#0xfffffff008ef5de4
0xfffffff008ef5c3c: 0afd60d3  lsr	x10, x8, #0x20
0xfffffff008ef5c40: 2a0d00b5  cbnz	x10, #0xfffffff008ef5de4
0xfffffff008ef5c44: 290115eb  subs	x9, x9, x21
0xfffffff008ef5c48: ea031fda  ngc	x10, xzr
0xfffffff008ef5c4c: 4a014092  and	x10, x10, #1
0xfffffff008ef5c50: 2b7d4093  sxtw	x11, w9
0xfffffff008ef5c54: 2c010bca  eor	x12, x9, x11
0xfffffff008ef5c58: 4afd4bca  eor	x10, x10, x11, lsr #63
0xfffffff008ef5c5c: 8a010aaa  orr	x10, x12, x10
0xfffffff008ef5c60: 8a0c00b5  cbnz	x10, #0xfffffff008ef5df0
0xfffffff008ef5c64: 167d4092  and	x22, x8, #0xffffffff
0xfffffff008ef5c68: 04000014  b	#0xfffffff008ef5c78
