; Candidate 9496
; ADRP+ADD at VM 0xfffffff008a61574 (fileoff 0x1a5d574): page=0x1fe84c000 add_imm=0xded

0xfffffff008a614f4: f0fffff0  adrp	x16, #0xfffffff008a60000
0xfffffff008a614f8: 10e23c91  add	x16, x16, #0xf38
0xfffffff008a614fc: d13b8cd2  mov	x17, #0x61de
0xfffffff008a61500: 3002c1da  pacia	x16, x17
0xfffffff008a61504: f50310aa  mov	x21, x16
0xfffffff008a61508: e10313aa  mov	x1, x19
0xfffffff008a6150c: e20310aa  mov	x2, x16
0xfffffff008a61510: e30314aa  mov	x3, x20
0xfffffff008a61514: e40300aa  mov	x4, x0
0xfffffff008a61518: 05008052  mov	w5, #0
0xfffffff008a6151c: 8ea1e497  bl	#0xfffffff008389b54
0xfffffff008a61520: 80a200f9  str	x0, [x20, #0x140]
0xfffffff008a61524: f87fffb0  adrp	x24, #0xfffffff007a5e000
0xfffffff008a61528: 18df40f9  ldr	x24, [x24, #0x1b8]
0xfffffff008a6152c: 000340f9  ldr	x0, [x24]
0xfffffff008a61530: e10313aa  mov	x1, x19
0xfffffff008a61534: e20315aa  mov	x2, x21
0xfffffff008a61538: e30314aa  mov	x3, x20
0xfffffff008a6153c: e40300aa  mov	x4, x0
0xfffffff008a61540: 05008052  mov	w5, #0
0xfffffff008a61544: 84a1e497  bl	#0xfffffff008389b54
0xfffffff008a61548: 80a600f9  str	x0, [x20, #0x148]
0xfffffff008a6154c: 700240f9  ldr	x16, [x19]
0xfffffff008a61550: f10313aa  mov	x17, x19
0xfffffff008a61554: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a61558: 301ac1da  autda	x16, x17
0xfffffff008a6155c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a61560: e90310aa  mov	x9, x16
0xfffffff008a61564: e00313aa  mov	x0, x19
0xfffffff008a61568: f10309aa  mov	x17, x9
0xfffffff008a6156c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a61570: 11093fd7  blraa	x8, x17
0xfffffff008a61574: 6042ff90  adrp	x0, #0xfffffff0072ad000
0xfffffff008a61578: 00b43791  add	x0, x0, #0xded
0xfffffff008a6157c: 010080d2  mov	x1, #0
0xfffffff008a61580: c4a2e497  bl	#0xfffffff00838a090
0xfffffff008a61584: 001400b4  cbz	x0, #0xfffffff008a61804
0xfffffff008a61588: f30300aa  mov	x19, x0
0xfffffff008a6158c: 40008052  mov	w0, #2
0xfffffff008a61590: e83ee297  bl	#0xfffffff0082f1130
0xfffffff008a61594: 400e00b4  cbz	x0, #0xfffffff008a6175c
0xfffffff008a61598: f50300aa  mov	x21, x0
0xfffffff008a6159c: 00e09f52  mov	w0, #0xff00
0xfffffff008a615a0: 01048052  mov	w1, #0x20
0xfffffff008a615a4: 52f7e297  bl	#0xfffffff00831f2ec
0xfffffff008a615a8: 401000b4  cbz	x0, #0xfffffff008a617b0
0xfffffff008a615ac: f60300aa  mov	x22, x0
0xfffffff008a615b0: b00240f9  ldr	x16, [x21]
0xfffffff008a615b4: f10315aa  mov	x17, x21
0xfffffff008a615b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a615bc: 301ac1da  autda	x16, x17
0xfffffff008a615c0: 112080d2  mov	x17, #0x100
0xfffffff008a615c4: 1002118b  add	x16, x16, x17
0xfffffff008a615c8: 080240f9  ldr	x8, [x16]
0xfffffff008a615cc: e90310aa  mov	x9, x16
0xfffffff008a615d0: 6142ff90  adrp	x1, #0xfffffff0072ad000
0xfffffff008a615d4: 21fc3791  add	x1, x1, #0xdff
0xfffffff008a615d8: e00315aa  mov	x0, x21
0xfffffff008a615dc: e20316aa  mov	x2, x22
0xfffffff008a615e0: f10309aa  mov	x17, x9
0xfffffff008a615e4: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff008a615e8: 11093fd7  blraa	x8, x17
0xfffffff008a615ec: d00240f9  ldr	x16, [x22]
0xfffffff008a615f0: f10316aa  mov	x17, x22
