; Candidate 15260
; ADRP+ADD at VM 0xfffffff009b45488 (fileoff 0x2b41488): page=0x1fdae3000 add_imm=0xed0

0xfffffff009b45408: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4540c: e00313aa  mov	x0, x19
0xfffffff009b45410: 010080d2  mov	x1, #0
0xfffffff009b45414: f10308aa  mov	x17, x8
0xfffffff009b45418: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4541c: 31093fd7  blraa	x9, x17
0xfffffff009b45420: fc0300aa  mov	x28, x0
0xfffffff009b45424: 700240f9  ldr	x16, [x19]
0xfffffff009b45428: f10313aa  mov	x17, x19
0xfffffff009b4542c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b45430: 301ac1da  autda	x16, x17
0xfffffff009b45434: f10310aa  mov	x17, x16
0xfffffff009b45438: f147c1da  xpacd	x17
0xfffffff009b4543c: 1f0211eb  cmp	x16, x17
0xfffffff009b45440: 40000054  b.eq	#0xfffffff009b45448
0xfffffff009b45444: 408e38d4  brk	#0xc472
0xfffffff009b45448: 08620891  add	x8, x16, #0x218
0xfffffff009b4544c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b45450: e00313aa  mov	x0, x19
0xfffffff009b45454: 010080d2  mov	x1, #0
0xfffffff009b45458: f10308aa  mov	x17, x8
0xfffffff009b4545c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b45460: 31093fd7  blraa	x9, x17
0xfffffff009b45464: e80319aa  mov	x8, x25
0xfffffff009b45468: e81300f9  str	x8, [sp, #0x20]
0xfffffff009b4546c: 28d7feb0  adrp	x8, #0xfffffff00762a000
0xfffffff009b45470: 09692591  add	x9, x8, #0x95a
0xfffffff009b45474: 28d7fe90  adrp	x8, #0xfffffff007629000
0xfffffff009b45478: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b4547c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009b45480: fc0300a9  stp	x28, x0, [sp]
0xfffffff009b45484: fc2740f9  ldr	x28, [sp, #0x48]
0xfffffff009b45488: 00d7fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b4548c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b45490: e10316aa  mov	x1, x22
0xfffffff009b45494: e2031baa  mov	x2, x27
0xfffffff009b45498: 23d7fef0  adrp	x3, #0xfffffff00762c000
0xfffffff009b4549c: 63cc1d91  add	x3, x3, #0x773
0xfffffff009b454a0: 24b79f97  bl	#0xfffffff008333130
0xfffffff009b454a4: f4031aaa  mov	x20, x26
0xfffffff009b454a8: aa000014  b	#0xfffffff009b45750
0xfffffff009b454ac: c8027d92  and	x8, x22, #8
0xfffffff009b454b0: 08fd42d3  lsr	x8, x8, #2
0xfffffff009b454b4: 1b011f52  eor	w27, w8, #2
0xfffffff009b454b8: 700240f9  ldr	x16, [x19]
0xfffffff009b454bc: f10313aa  mov	x17, x19
0xfffffff009b454c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b454c4: 301ac1da  autda	x16, x17
0xfffffff009b454c8: 113d80d2  mov	x17, #0x1e8
0xfffffff009b454cc: 1002118b  add	x16, x16, x17
0xfffffff009b454d0: 080240f9  ldr	x8, [x16]
0xfffffff009b454d4: e90310aa  mov	x9, x16
0xfffffff009b454d8: e00313aa  mov	x0, x19
0xfffffff009b454dc: 010080d2  mov	x1, #0
0xfffffff009b454e0: f10309aa  mov	x17, x9
0xfffffff009b454e4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b454e8: 11093fd7  blraa	x8, x17
0xfffffff009b454ec: 700240f9  ldr	x16, [x19]
0xfffffff009b454f0: f10313aa  mov	x17, x19
0xfffffff009b454f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b454f8: 301ac1da  autda	x16, x17
0xfffffff009b454fc: f10310aa  mov	x17, x16
0xfffffff009b45500: f147c1da  xpacd	x17
0xfffffff009b45504: 1f0211eb  cmp	x16, x17
