; Candidate 16664
; ADRP+ADD at VM 0xfffffff009f19288 (fileoff 0x2f15288): page=0x1fd93e000 add_imm=0xd45

0xfffffff009f19208: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff009f1920c: f40b00f9  str	x20, [sp, #0x10]
0xfffffff009f19210: 10000090  adrp	x16, #0xfffffff009f19000
0xfffffff009f19214: 10821791  add	x16, x16, #0x5e0
0xfffffff009f19218: 51d09fd2  mov	x17, #0xfe82
0xfffffff009f1921c: 3002c1da  pacia	x16, x17
0xfffffff009f19220: e70310aa  mov	x7, x16
0xfffffff009f19224: 98008052  mov	w24, #4
0xfffffff009f19228: e00313aa  mov	x0, x19
0xfffffff009f1922c: 0100b152  mov	w1, #-0x78000000
0xfffffff009f19230: 42088052  mov	w2, #0x42
0xfffffff009f19234: 63048052  mov	w3, #0x23
0xfffffff009f19238: 85008052  mov	w5, #4
0xfffffff009f1923c: 46018052  mov	w6, #0xa
0xfffffff009f19240: 31330094  bl	#0xfffffff009f25f04
0xfffffff009f19244: 40070034  cbz	w0, #0xfffffff009f1932c
0xfffffff009f19248: f70300aa  mov	x23, x0
0xfffffff009f1924c: 083e8452  mov	w8, #0x21f0
0xfffffff009f19250: 7502088b  add	x21, x19, x8
0xfffffff009f19254: 08618052  mov	w8, #0x308
0xfffffff009f19258: e9c9fef0  adrp	x9, #0xfffffff007858000
0xfffffff009f1925c: 29891a91  add	x9, x9, #0x6a2
0xfffffff009f19260: e92300a9  stp	x9, x8, [sp]
0xfffffff009f19264: f55f01a9  stp	x21, x23, [sp, #0x10]
0xfffffff009f19268: e0c9fef0  adrp	x0, #0xfffffff007858000
0xfffffff009f1926c: 00001a91  add	x0, x0, #0x680
0xfffffff009f19270: 9599fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f19274: f55f01a9  stp	x21, x23, [sp, #0x10]
0xfffffff009f19278: e8c9fed0  adrp	x8, #0xfffffff007857000
0xfffffff009f1927c: 08453391  add	x8, x8, #0xcd1
0xfffffff009f19280: e9a38052  mov	w9, #0x51f
0xfffffff009f19284: e82700a9  stp	x8, x9, [sp]
0xfffffff009f19288: e0c9fed0  adrp	x0, #0xfffffff007857000
0xfffffff009f1928c: 00143591  add	x0, x0, #0xd45
0xfffffff009f19290: 8d99fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f19294: 47000014  b	#0xfffffff009f193b0
0xfffffff009f19298: 083e8452  mov	w8, #0x21f0
0xfffffff009f1929c: 6802088b  add	x8, x19, x8
0xfffffff009f192a0: 89a18052  mov	w9, #0x50c
0xfffffff009f192a4: eac9fed0  adrp	x10, #0xfffffff007857000
0xfffffff009f192a8: 4a453391  add	x10, x10, #0xcd1
0xfffffff009f192ac: ea2700a9  stp	x10, x9, [sp]
0xfffffff009f192b0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f192b4: e0c9fed0  adrp	x0, #0xfffffff007857000
0xfffffff009f192b8: 00c43291  add	x0, x0, #0xcb1
0xfffffff009f192bc: 8299fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f192c0: d7028052  mov	w23, #0x16
0xfffffff009f192c4: e00317aa  mov	x0, x23
0xfffffff009f192c8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff009f192cc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff009f192d0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff009f192d4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff009f192d8: ffc30291  add	sp, sp, #0xb0
0xfffffff009f192dc: ff0f5fd6  retab	
0xfffffff009f192e0: c82500f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f192e4: 08e12791  add	x8, x8, #0x9f8
0xfffffff009f192e8: 29008052  mov	w9, #1
0xfffffff009f192ec: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009f192f0: c82500f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f192f4: 09058052  mov	w9, #0x28
0xfffffff009f192f8: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009f192fc: 083e8452  mov	w8, #0x21f0
0xfffffff009f19300: 6802088b  add	x8, x19, x8
0xfffffff009f19304: e80b00f9  str	x8, [sp, #0x10]
