; Candidate 2753
; ADRP+ADD at VM 0xfffffff0086e6890 (fileoff 0x16e2890): page=0x1fea4b000 add_imm=0xd90

0xfffffff0086e6810: eb030caa  mov	x11, x12
0xfffffff0086e6814: 29050071  subs	w9, w9, #1
0xfffffff0086e6818: a1feff54  b.ne	#0xfffffff0086e67ec
0xfffffff0086e681c: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6820: 290140b9  ldr	w9, [x9]
0xfffffff0086e6824: 3f011a6a  tst	w9, w26
0xfffffff0086e6828: 80010054  b.eq	#0xfffffff0086e6858
0xfffffff0086e682c: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e6830: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6834: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6838: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e683c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6840: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e6844: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e6848: 02008052  mov	w2, #0
0xfffffff0086e684c: 3932f197  bl	#0xfffffff008333130
0xfffffff0086e6850: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6854: 080240b9  ldr	w8, [x16]
0xfffffff0086e6858: 957e1f53  lsr	w21, w20, #0x1f
0xfffffff0086e685c: 897a1f53  lsl	w9, w20, #1
0xfffffff0086e6860: 290200b9  str	w9, [x17]
0xfffffff0086e6864: 08050051  sub	w8, w8, #1
0xfffffff0086e6868: 080200b9  str	w8, [x16]
0xfffffff0086e686c: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6870: 290140b9  ldr	w9, [x9]
0xfffffff0086e6874: 3f011a6a  tst	w9, w26
0xfffffff0086e6878: e0010054  b.eq	#0xfffffff0086e68b4
0xfffffff0086e687c: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e6880: 4853ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086e6884: 08711491  add	x8, x8, #0x51c
0xfffffff0086e6888: 29008052  mov	w9, #1
0xfffffff0086e688c: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e6890: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6894: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6898: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e689c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e68a0: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e68a4: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e68a8: 02008052  mov	w2, #0
0xfffffff0086e68ac: 2132f197  bl	#0xfffffff008333130
0xfffffff0086e68b0: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e68b4: 080340f9  ldr	x8, [x24]
0xfffffff0086e68b8: 15bd0039  strb	w21, [x8, #0x2f]
0xfffffff0086e68bc: 350c0034  cbz	w21, #0xfffffff0086e6a40
0xfffffff0086e68c0: 140080d2  mov	x20, #0
0xfffffff0086e68c4: e00313aa  mov	x0, x19
0xfffffff0086e68c8: b1130094  bl	#0xfffffff0086eb78c
0xfffffff0086e68cc: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0086e68d0: 00693438  strb	w0, [x8, x20]
0xfffffff0086e68d4: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086e68d8: 0801148b  add	x8, x8, x20
0xfffffff0086e68dc: 00c10039  strb	w0, [x8, #0x30]
0xfffffff0086e68e0: 94060091  add	x20, x20, #1
0xfffffff0086e68e4: 9f1e00f1  cmp	x20, #7
0xfffffff0086e68e8: e1feff54  b.ne	#0xfffffff0086e68c4
0xfffffff0086e68ec: f01b40f9  ldr	x16, [sp, #0x30]
0xfffffff0086e68f0: 080240b9  ldr	w8, [x16]
0xfffffff0086e68f4: 08010034  cbz	w8, #0xfffffff0086e6914
0xfffffff0086e68f8: f11740f9  ldr	x17, [sp, #0x28]
0xfffffff0086e68fc: 340240b9  ldr	w20, [x17]
0xfffffff0086e6900: 25000014  b	#0xfffffff0086e6994
0xfffffff0086e6904: 01654039  ldrb	w1, [x8, #0x19]
0xfffffff0086e6908: e00313aa  mov	x0, x19
0xfffffff0086e690c: 68070094  bl	#0xfffffff0086e86ac
