; Candidate 14103
; ADRP+ADD at VM 0xfffffff0097072e0 (fileoff 0x27032e0): page=0x1fde8a000 add_imm=0xd5f

0xfffffff009707260: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009707264: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009707268: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00970726c: ff830191  add	sp, sp, #0x60
0xfffffff009707270: ff0f5fd6  retab	
0xfffffff009707274: 7f2303d5  pacibsp	
0xfffffff009707278: ff4301d1  sub	sp, sp, #0x50
0xfffffff00970727c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009707280: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009707284: fd030191  add	x29, sp, #0x40
0xfffffff009707288: f30301aa  mov	x19, x1
0xfffffff00970728c: f40300aa  mov	x20, x0
0xfffffff009707290: 001040f9  ldr	x0, [x0, #0x20]
0xfffffff009707294: 100040f9  ldr	x16, [x0]
0xfffffff009707298: f10300aa  mov	x17, x0
0xfffffff00970729c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097072a0: 301ac1da  autda	x16, x17
0xfffffff0097072a4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097072a8: 1002118b  add	x16, x16, x17
0xfffffff0097072ac: 080240f9  ldr	x8, [x16]
0xfffffff0097072b0: e90310aa  mov	x9, x16
0xfffffff0097072b4: 010080d2  mov	x1, #0
0xfffffff0097072b8: f10309aa  mov	x17, x9
0xfffffff0097072bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097072c0: 11093fd7  blraa	x8, x17
0xfffffff0097072c4: 88c24039  ldrb	w8, [x20, #0x30]
0xfffffff0097072c8: 891640f9  ldr	x9, [x20, #0x28]
0xfffffff0097072cc: e9cf01a9  stp	x9, x19, [sp, #0x18]
0xfffffff0097072d0: 2af4feb0  adrp	x10, #0xfffffff00758c000
0xfffffff0097072d4: 4a692191  add	x10, x10, #0x85a
0xfffffff0097072d8: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0097072dc: e00300f9  str	x0, [sp]
0xfffffff0097072e0: 40f4fed0  adrp	x0, #0xfffffff007591000
0xfffffff0097072e4: 007c3591  add	x0, x0, #0xd5f
0xfffffff0097072e8: 4e3fb197  bl	#0xfffffff008357020
0xfffffff0097072ec: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0097072f0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0097072f4: ff430191  add	sp, sp, #0x50
0xfffffff0097072f8: ff0f5fd6  retab	
0xfffffff0097072fc: 5f2403d5  bti	c
0xfffffff009707300: 00108052  mov	w0, #0x80
0xfffffff009707304: c0035fd6  ret	
0xfffffff009707308: 5f2403d5  bti	c
0xfffffff00970730c: fa74af17  b	#0xfffffff0082e46f4
0xfffffff009707310: 7f2303d5  pacibsp	
0xfffffff009707314: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009707318: fd030091  mov	x29, sp
0xfffffff00970731c: 20640090  adrp	x0, #0xfffffff00a38b000
0xfffffff009707320: 00c01691  add	x0, x0, #0x5b0
0xfffffff009707324: 41f4fed0  adrp	x1, #0xfffffff007591000
0xfffffff009707328: 21100d91  add	x1, x1, #0x344
0xfffffff00970732c: 6228fff0  adrp	x2, #0xfffffff007c16000
0xfffffff009707330: 428442f9  ldr	x2, [x2, #0x508]
0xfffffff009707334: 031e8052  mov	w3, #0xf0
0xfffffff009707338: 0072af97  bl	#0xfffffff0082e3b38
0xfffffff00970733c: f028ff90  adrp	x16, #0xfffffff007c23000
0xfffffff009707340: 10821291  add	x16, x16, #0x4a0
0xfffffff009707344: 10420091  add	x16, x16, #0x10
0xfffffff009707348: f10300aa  mov	x17, x0
0xfffffff00970734c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009707350: 300ac1da  pacda	x16, x17
0xfffffff009707354: 100000f9  str	x16, [x0]
0xfffffff009707358: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00970735c: ff0f5fd6  retab	
