; Candidate 12277
; ADRP+ADD at VM 0xfffffff009082018 (fileoff 0x207e018): page=0x1fe3d7000 add_imm=0xe24

0xfffffff009081f98: 95940090  adrp	x21, #0xfffffff00a311000
0xfffffff009081f9c: b5a20391  add	x21, x21, #0xe8
0xfffffff009081fa0: a8024039  ldrb	w8, [x21]
0xfffffff009081fa4: d31effb0  adrp	x19, #0xfffffff00745a000
0xfffffff009081fa8: 73ea3891  add	x19, x19, #0xe3a
0xfffffff009081fac: d41eff90  adrp	x20, #0xfffffff007459000
0xfffffff009081fb0: 942e3f91  add	x20, x20, #0xfcb
0xfffffff009081fb4: 1f290071  cmp	w8, #0xa
0xfffffff009081fb8: a8000054  b.hi	#0xfffffff009081fcc
0xfffffff009081fbc: f44f00a9  stp	x20, x19, [sp]
0xfffffff009081fc0: c01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009081fc4: 00583191  add	x0, x0, #0xc56
0xfffffff009081fc8: 1654cb97  bl	#0xfffffff008357020
0xfffffff009081fcc: 08bc8052  mov	w8, #0x5e0
0xfffffff009081fd0: c91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009081fd4: 29493f91  add	x9, x9, #0xfd2
0xfffffff009081fd8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009081fdc: c81eff90  adrp	x8, #0xfffffff007459000
0xfffffff009081fe0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009081fe4: ca1effb0  adrp	x10, #0xfffffff00745a000
0xfffffff009081fe8: 4a713791  add	x10, x10, #0xddc
0xfffffff009081fec: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff009081ff0: ea0300f9  str	x10, [sp]
0xfffffff009081ff4: c01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009081ff8: 00d42c91  add	x0, x0, #0xb35
0xfffffff009081ffc: 0954cb97  bl	#0xfffffff008357020
0xfffffff009082000: a8024039  ldrb	w8, [x21]
0xfffffff009082004: 1f190171  cmp	w8, #0x46
0xfffffff009082008: e8000054  b.hi	#0xfffffff009082024
0xfffffff00908200c: 08008092  mov	x8, #-1
0xfffffff009082010: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff009082014: f40300f9  str	x20, [sp]
0xfffffff009082018: a01efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908201c: 00903891  add	x0, x0, #0xe24
0xfffffff009082020: 0054cb97  bl	#0xfffffff008357020
0xfffffff009082024: 00008012  mov	w0, #-1
0xfffffff009082028: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00908202c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009082030: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009082034: ff830191  add	sp, sp, #0x60
0xfffffff009082038: ff0f5fd6  retab	
0xfffffff00908203c: 7f2303d5  pacibsp	
0xfffffff009082040: ffc301d1  sub	sp, sp, #0x70
0xfffffff009082044: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009082048: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00908204c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009082050: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009082054: fd830191  add	x29, sp, #0x60
0xfffffff009082058: f40303aa  mov	x20, x3
0xfffffff00908205c: f50301aa  mov	x21, x1
0xfffffff009082060: f30300aa  mov	x19, x0
0xfffffff009082064: 789400f0  adrp	x24, #0xfffffff00a311000
0xfffffff009082068: 18a30391  add	x24, x24, #0xe8
0xfffffff00908206c: 08034039  ldrb	w8, [x24]
0xfffffff009082070: d61eff90  adrp	x22, #0xfffffff00745a000
0xfffffff009082074: d6ca3991  add	x22, x22, #0xe72
0xfffffff009082078: b71efff0  adrp	x23, #0xfffffff007459000
0xfffffff00908207c: f72e3f91  add	x23, x23, #0xfcb
0xfffffff009082080: 1f290071  cmp	w8, #0xa
0xfffffff009082084: a8000054  b.hi	#0xfffffff009082098
0xfffffff009082088: f75b00a9  stp	x23, x22, [sp]
0xfffffff00908208c: a01efff0  adrp	x0, #0xfffffff007459000
0xfffffff009082090: 00583191  add	x0, x0, #0xc56
0xfffffff009082094: e353cb97  bl	#0xfffffff008357020
