; Candidate 13414
; ADRP+ADD at VM 0xfffffff0092cf2e0 (fileoff 0x22cb2e0): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf260: 400300b4  cbz	x0, #0xfffffff0092cf2c8
0xfffffff0092cf264: 700240f9  ldr	x16, [x19]
0xfffffff0092cf268: f10313aa  mov	x17, x19
0xfffffff0092cf26c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf270: 301ac1da  autda	x16, x17
0xfffffff0092cf274: 116e80d2  mov	x17, #0x370
0xfffffff0092cf278: 1002118b  add	x16, x16, x17
0xfffffff0092cf27c: 080240f9  ldr	x8, [x16]
0xfffffff0092cf280: e90310aa  mov	x9, x16
0xfffffff0092cf284: e00313aa  mov	x0, x19
0xfffffff0092cf288: f10309aa  mov	x17, x9
0xfffffff0092cf28c: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf290: 11093fd7  blraa	x8, x17
0xfffffff0092cf294: 100040f9  ldr	x16, [x0]
0xfffffff0092cf298: f10300aa  mov	x17, x0
0xfffffff0092cf29c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf2a0: 301ac1da  autda	x16, x17
0xfffffff0092cf2a4: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf2a8: 1002118b  add	x16, x16, x17
0xfffffff0092cf2ac: 080240f9  ldr	x8, [x16]
0xfffffff0092cf2b0: e90310aa  mov	x9, x16
0xfffffff0092cf2b4: 010080d2  mov	x1, #0
0xfffffff0092cf2b8: f10309aa  mov	x17, x9
0xfffffff0092cf2bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf2c0: 11093fd7  blraa	x8, x17
0xfffffff0092cf2c4: 03000014  b	#0xfffffff0092cf2d0
0xfffffff0092cf2c8: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf2cc: 00102191  add	x0, x0, #0x844
0xfffffff0092cf2d0: a8024079  ldrh	w8, [x21]
0xfffffff0092cf2d4: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf2d8: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf2dc: f60300f9  str	x22, [sp]
0xfffffff0092cf2e0: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf2e4: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf2e8: 4e1fc297  bl	#0xfffffff008357020
0xfffffff0092cf2ec: 75923991  add	x21, x19, #0xe64
0xfffffff0092cf2f0: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf2f4: 94662c91  add	x20, x20, #0xb19
0xfffffff0092cf2f8: e00314aa  mov	x0, x20
0xfffffff0092cf2fc: e10315aa  mov	x1, x21
0xfffffff0092cf300: 42008052  mov	w2, #2
0xfffffff0092cf304: 2d77c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf308: c0070034  cbz	w0, #0xfffffff0092cf400
0xfffffff0092cf30c: 700240f9  ldr	x16, [x19]
0xfffffff0092cf310: f10313aa  mov	x17, x19
0xfffffff0092cf314: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf318: 301ac1da  autda	x16, x17
0xfffffff0092cf31c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf320: 1002118b  add	x16, x16, x17
0xfffffff0092cf324: 080240f9  ldr	x8, [x16]
0xfffffff0092cf328: e90310aa  mov	x9, x16
0xfffffff0092cf32c: e00313aa  mov	x0, x19
0xfffffff0092cf330: 010080d2  mov	x1, #0
0xfffffff0092cf334: f10309aa  mov	x17, x9
0xfffffff0092cf338: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf33c: 11093fd7  blraa	x8, x17
0xfffffff0092cf340: f60300aa  mov	x22, x0
0xfffffff0092cf344: 700240f9  ldr	x16, [x19]
0xfffffff0092cf348: f10313aa  mov	x17, x19
0xfffffff0092cf34c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf350: 301ac1da  autda	x16, x17
0xfffffff0092cf354: 116e80d2  mov	x17, #0x370
0xfffffff0092cf358: 1002118b  add	x16, x16, x17
0xfffffff0092cf35c: 080240f9  ldr	x8, [x16]
