; Candidate 4335
; ADRP+ADD at VM 0xfffffff00879f4b0 (fileoff 0x179b4b0): page=0x1fe992000 add_imm=0xd90

0xfffffff00879f430: 1002118b  add	x16, x16, x17
0xfffffff00879f434: 080240f9  ldr	x8, [x16]
0xfffffff00879f438: e90310aa  mov	x9, x16
0xfffffff00879f43c: eadf40b9  ldr	w10, [sp, #0xdc]
0xfffffff00879f440: 43010012  and	w3, w10, #1
0xfffffff00879f444: e00313aa  mov	x0, x19
0xfffffff00879f448: e10316aa  mov	x1, x22
0xfffffff00879f44c: e20319aa  mov	x2, x25
0xfffffff00879f450: f10309aa  mov	x17, x9
0xfffffff00879f454: 711bf8f2  movk	x17, #0xc0db, lsl #48
0xfffffff00879f458: 11093fd7  blraa	x8, x17
0xfffffff00879f45c: f40300aa  mov	x20, x0
0xfffffff00879f460: 700240f9  ldr	x16, [x19]
0xfffffff00879f464: b01ac1da  autda	x16, x21
0xfffffff00879f468: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00879f46c: e90310aa  mov	x9, x16
0xfffffff00879f470: e00313aa  mov	x0, x19
0xfffffff00879f474: 01008052  mov	w1, #0
0xfffffff00879f478: f10309aa  mov	x17, x9
0xfffffff00879f47c: d192edf2  movk	x17, #0x6c96, lsl #48
0xfffffff00879f480: 11093fd7  blraa	x8, x17
0xfffffff00879f484: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff00879f488: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff00879f48c: 08494a39  ldrb	w8, [x8, #0x292]
0xfffffff00879f490: 88000034  cbz	w8, #0xfffffff00879f4a0
0xfffffff00879f494: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff00879f498: 0c68fe97  bl	#0xfffffff0087394c8
0xfffffff00879f49c: 60f60ab9  str	w0, [x19, #0xaf4]
0xfffffff00879f4a0: b4010034  cbz	w20, #0xfffffff00879f4d4
0xfffffff00879f4a4: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f4a8: 08491591  add	x8, x8, #0x552
0xfffffff00879f4ac: e80300f9  str	x8, [sp]
0xfffffff00879f4b0: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f4b4: 00403691  add	x0, x0, #0xd90
0xfffffff00879f4b8: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f4bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f4c0: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f4c4: 63f41691  add	x3, x3, #0x5bd
0xfffffff00879f4c8: 02008052  mov	w2, #0
0xfffffff00879f4cc: 194fee97  bl	#0xfffffff008333130
0xfffffff00879f4d0: 3e000014  b	#0xfffffff00879f5c8
0xfffffff00879f4d4: 00008052  mov	w0, #0
0xfffffff00879f4d8: 68faff17  b	#0xfffffff00879de78
0xfffffff00879f4dc: fb7740f9  ldr	x27, [sp, #0xe8]
0xfffffff00879f4e0: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f4e4: 08491591  add	x8, x8, #0x552
0xfffffff00879f4e8: e86f00a9  stp	x8, x27, [sp]
0xfffffff00879f4ec: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f4f0: 00403691  add	x0, x0, #0xd90
0xfffffff00879f4f4: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f4f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f4fc: 434dffd0  adrp	x3, #0xfffffff007149000
0xfffffff00879f500: 63683891  add	x3, x3, #0xe1a
0xfffffff00879f504: 02008052  mov	w2, #0
0xfffffff00879f508: 0a4fee97  bl	#0xfffffff008333130
0xfffffff00879f50c: 08008052  mov	w8, #0
0xfffffff00879f510: 1c000014  b	#0xfffffff00879f580
0xfffffff00879f514: fb7740f9  ldr	x27, [sp, #0xe8]
0xfffffff00879f518: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f51c: 08491591  add	x8, x8, #0x552
0xfffffff00879f520: e86f00a9  stp	x8, x27, [sp]
0xfffffff00879f524: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f528: 00403691  add	x0, x0, #0xd90
0xfffffff00879f52c: e192ffd0  adrp	x1, #0xfffffff0079fd000
