; Candidate 4836
; ADRP+ADD at VM 0xfffffff0087c8d04 (fileoff 0x17c4d04): page=0x1fea21000 add_imm=0xe80

0xfffffff0087c8c84: a9478052  mov	w9, #0x23d
0xfffffff0087c8c88: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c8c8c: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c8c90: 08d11791  add	x8, x8, #0x5f4
0xfffffff0087c8c94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c8c98: 68008052  mov	w8, #3
0xfffffff0087c8c9c: f42300a9  stp	x20, x8, [sp]
0xfffffff0087c8ca0: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c8ca4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c8ca8: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c8cac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c8cb0: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c8cb4: 639c3791  add	x3, x3, #0xde7
0xfffffff0087c8cb8: 02008052  mov	w2, #0
0xfffffff0087c8cbc: 1da9ed97  bl	#0xfffffff008333130
0xfffffff0087c8cc0: 19000014  b	#0xfffffff0087c8d24
0xfffffff0087c8cc4: 3aad0394  bl	#0xfffffff0088b41ac
0xfffffff0087c8cc8: f50300aa  mov	x21, x0
0xfffffff0087c8ccc: 80008052  mov	w0, #4
0xfffffff0087c8cd0: e0ca0294  bl	#0xfffffff00887b850
0xfffffff0087c8cd4: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff0087c8cd8: 896a4bb9  ldr	w9, [x20, #0xb68]
0xfffffff0087c8cdc: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0087c8ce0: 2852ffb0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c8ce4: 08cd1991  add	x8, x8, #0x673
0xfffffff0087c8ce8: c9478052  mov	w9, #0x23e
0xfffffff0087c8cec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c8cf0: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c8cf4: 08d11791  add	x8, x8, #0x5f4
0xfffffff0087c8cf8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c8cfc: 68008052  mov	w8, #3
0xfffffff0087c8d00: f52300a9  stp	x21, x8, [sp]
0xfffffff0087c8d04: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c8d08: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c8d0c: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c8d10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c8d14: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c8d18: 63b03891  add	x3, x3, #0xe2c
0xfffffff0087c8d1c: 02008052  mov	w2, #0
0xfffffff0087c8d20: 04a9ed97  bl	#0xfffffff008333130
0xfffffff0087c8d24: e00313aa  mov	x0, x19
0xfffffff0087c8d28: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087c8d2c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087c8d30: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087c8d34: ffc30191  add	sp, sp, #0x70
0xfffffff0087c8d38: ff0f5fd6  retab	
0xfffffff0087c8d3c: 7f2303d5  pacibsp	
0xfffffff0087c8d40: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0087c8d44: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff0087c8d48: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff0087c8d4c: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0087c8d50: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0087c8d54: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0087c8d58: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0087c8d5c: fd030391  add	x29, sp, #0xc0
0xfffffff0087c8d60: f30300aa  mov	x19, x0
0xfffffff0087c8d64: 166c4bb9  ldr	w22, [x0, #0xb6c]
0xfffffff0087c8d68: a00f8052  mov	w0, #0x7d
0xfffffff0087c8d6c: e1008052  mov	w1, #7
0xfffffff0087c8d70: 98ca0294  bl	#0xfffffff00887b7d0
0xfffffff0087c8d74: a0040034  cbz	w0, #0xfffffff0087c8e08
0xfffffff0087c8d78: a00f8052  mov	w0, #0x7d
0xfffffff0087c8d7c: a7ca0294  bl	#0xfffffff00887b818
0xfffffff0087c8d80: f50300aa  mov	x21, x0
