; Candidate 11121
; ADRP+ADD at VM 0xfffffff008e74a24 (fileoff 0x1e70a24): page=0x1496000 add_imm=0xcf0

0xfffffff008e749a4: d5f7ff97  bl	#0xfffffff008e728f8
0xfffffff008e749a8: 00008052  mov	w0, #0
0xfffffff008e749ac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e749b0: ff0f5fd6  retab	
0xfffffff008e749b4: 7f2303d5  pacibsp	
0xfffffff008e749b8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e749bc: fd030091  mov	x29, sp
0xfffffff008e749c0: e00301aa  mov	x0, x1
0xfffffff008e749c4: 43f8ff97  bl	#0xfffffff008e72ad0
0xfffffff008e749c8: 00008052  mov	w0, #0
0xfffffff008e749cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e749d0: ff0f5fd6  retab	
0xfffffff008e749d4: 5f2403d5  bti	c
0xfffffff008e749d8: 28008052  mov	w8, #1
0xfffffff008e749dc: 280000b9  str	w8, [x1]
0xfffffff008e749e0: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff008e749e4: 007940f9  ldr	x0, [x8, #0xf0]
0xfffffff008e749e8: 02008052  mov	w2, #0
0xfffffff008e749ec: 95612b14  b	#0xfffffff00994d040
0xfffffff008e749f0: 7f2303d5  pacibsp	
0xfffffff008e749f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e749f8: fd030091  mov	x29, sp
0xfffffff008e749fc: e00301aa  mov	x0, x1
0xfffffff008e74a00: e10302aa  mov	x1, x2
0xfffffff008e74a04: 9ef8ff97  bl	#0xfffffff008e72c7c
0xfffffff008e74a08: 00008052  mov	w0, #0
0xfffffff008e74a0c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e74a10: ff0f5fd6  retab	
0xfffffff008e74a14: 7f2303d5  pacibsp	
0xfffffff008e74a18: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e74a1c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e74a20: fd430091  add	x29, sp, #0x10
0xfffffff008e74a24: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74a28: 00c03391  add	x0, x0, #0xcf0
0xfffffff008e74a2c: 212bffb0  adrp	x1, #0xfffffff0073d9000
0xfffffff008e74a30: 21340391  add	x1, x1, #0xcd
0xfffffff008e74a34: 5364ffb0  adrp	x19, #0xfffffff007afd000
0xfffffff008e74a38: 739e46f9  ldr	x19, [x19, #0xd38]
0xfffffff008e74a3c: e20313aa  mov	x2, x19
0xfffffff008e74a40: 03238052  mov	w3, #0x118
0xfffffff008e74a44: 3dbcd197  bl	#0xfffffff0082e3b38
0xfffffff008e74a48: 7064ffd0  adrp	x16, #0xfffffff007b02000
0xfffffff008e74a4c: 10420291  add	x16, x16, #0x90
0xfffffff008e74a50: 10420091  add	x16, x16, #0x10
0xfffffff008e74a54: f10300aa  mov	x17, x0
0xfffffff008e74a58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74a5c: 300ac1da  pacda	x16, x17
0xfffffff008e74a60: 100000f9  str	x16, [x0]
0xfffffff008e74a64: b4a400d0  adrp	x20, #0xfffffff00a30a000
0xfffffff008e74a68: 94623491  add	x20, x20, #0xd18
0xfffffff008e74a6c: 212bffb0  adrp	x1, #0xfffffff0073d9000
0xfffffff008e74a70: 21941691  add	x1, x1, #0x5a5
0xfffffff008e74a74: e00314aa  mov	x0, x20
0xfffffff008e74a78: e20313aa  mov	x2, x19
0xfffffff008e74a7c: 032f8052  mov	w3, #0x178
0xfffffff008e74a80: 2ebcd197  bl	#0xfffffff0082e3b38
0xfffffff008e74a84: 7064ffd0  adrp	x16, #0xfffffff007b02000
0xfffffff008e74a88: 10620791  add	x16, x16, #0x1d8
0xfffffff008e74a8c: 10420091  add	x16, x16, #0x10
0xfffffff008e74a90: f10314aa  mov	x17, x20
0xfffffff008e74a94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74a98: 300ac1da  pacda	x16, x17
0xfffffff008e74a9c: 900200f9  str	x16, [x20]
0xfffffff008e74aa0: a0a400d0  adrp	x0, #0xfffffff00a30a000
