; Candidate 1624
; ADRP+ADD at VM 0xfffffff0084c1fec (fileoff 0x14bdfec): page=0x1feb99000 add_imm=0xeb4

0xfffffff0084c1f6c: 08615fb9  ldr	w8, [x8, #0x1f60]
0xfffffff0084c1f70: 290340f9  ldr	x9, [x25]
0xfffffff0084c1f74: 282110b9  str	w8, [x9, #0x1020]
0xfffffff0084c1f78: 080340b9  ldr	w8, [x24]
0xfffffff0084c1f7c: 1f090071  cmp	w8, #2
0xfffffff0084c1f80: c2000054  b.hs	#0xfffffff0084c1f98
0xfffffff0084c1f84: 280340f9  ldr	x8, [x25]
0xfffffff0084c1f88: 0902a052  mov	w9, #0x100000
0xfffffff0084c1f8c: 090910b9  str	w9, [x8, #0x1008]
0xfffffff0084c1f90: 684660b9  ldr	w8, [x19, #0x2044]
0xfffffff0084c1f94: 06000014  b	#0xfffffff0084c1fac
0xfffffff0084c1f98: 1f050031  cmn	w8, #1
0xfffffff0084c1f9c: 61040054  b.ne	#0xfffffff0084c2028
0xfffffff0084c1fa0: 684660b9  ldr	w8, [x19, #0x2044]
0xfffffff0084c1fa4: 08010c32  orr	w8, w8, #0x100000
0xfffffff0084c1fa8: 684620b9  str	w8, [x19, #0x2044]
0xfffffff0084c1fac: 290340f9  ldr	x9, [x25]
0xfffffff0084c1fb0: 280110b9  str	w8, [x9, #0x1000]
0xfffffff0084c1fb4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0084c1fb8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0084c1fbc: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0084c1fc0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0084c1fc4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0084c1fc8: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0084c1fcc: ff430291  add	sp, sp, #0x90
0xfffffff0084c1fd0: ff0f5fd6  retab	
0xfffffff0084c1fd4: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1fd8: a9e78052  mov	w9, #0x73d
0xfffffff0084c1fdc: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1fe0: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1fe4: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0084c1fe8: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1fec: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1ff0: 00d03a91  add	x0, x0, #0xeb4
0xfffffff0084c1ff4: 4649ff97  bl	#0xfffffff00849450c
0xfffffff0084c1ff8: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1ffc: c95cffb0  adrp	x9, #0xfffffff00705a000
0xfffffff0084c2000: 29d90991  add	x9, x9, #0x276
0xfffffff0084c2004: 8ae88052  mov	w10, #0x744
0xfffffff0084c2008: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0084c200c: c95cffb0  adrp	x9, #0xfffffff00705b000
0xfffffff0084c2010: 29790291  add	x9, x9, #0x9e
0xfffffff0084c2014: e95301a9  stp	x9, x20, [sp, #0x10]
0xfffffff0084c2018: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c201c: c05cff90  adrp	x0, #0xfffffff00705a000
0xfffffff0084c2020: 007c3b91  add	x0, x0, #0xedf
0xfffffff0084c2024: 3a49ff97  bl	#0xfffffff00849450c
0xfffffff0084c2028: c85cffb0  adrp	x8, #0xfffffff00705b000
0xfffffff0084c202c: 08f50e91  add	x8, x8, #0x3bd
0xfffffff0084c2030: e9348052  mov	w9, #0x1a7
0xfffffff0084c2034: e82700a9  stp	x8, x9, [sp]
0xfffffff0084c2038: c05cffb0  adrp	x0, #0xfffffff00705b000
0xfffffff0084c203c: 00640e91  add	x0, x0, #0x399
0xfffffff0084c2040: 3349ff97  bl	#0xfffffff00849450c
0xfffffff0084c2044: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c2048: c9e98052  mov	w9, #0x74e
0xfffffff0084c204c: ca5cff90  adrp	x10, #0xfffffff00705a000
0xfffffff0084c2050: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c2054: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c2058: c95cffb0  adrp	x9, #0xfffffff00705b000
0xfffffff0084c205c: 29790291  add	x9, x9, #0x9e
0xfffffff0084c2060: f42701a9  stp	x20, x9, [sp, #0x10]
0xfffffff0084c2064: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c2068: c05cff90  adrp	x0, #0xfffffff00705a000
