; Candidate 13494
; ADRP+ADD at VM 0xfffffff00933eb50 (fileoff 0x233ab50): page=0x1fe87f000 add_imm=0xd98

0xfffffff00933ead0: 10e22791  add	x16, x16, #0x9f8
0xfffffff00933ead4: 10420091  add	x16, x16, #0x10
0xfffffff00933ead8: f10300aa  mov	x17, x0
0xfffffff00933eadc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933eae0: 300ac1da  pacda	x16, x17
0xfffffff00933eae4: 100000f9  str	x16, [x0]
0xfffffff00933eae8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933eaec: ff0f5fd6  retab	
0xfffffff00933eaf0: 5f2403d5  bti	c
0xfffffff00933eaf4: 02c9be17  b	#0xfffffff0082f0efc
0xfffffff00933eaf8: 5f2403d5  bti	c
0xfffffff00933eafc: 00c9be17  b	#0xfffffff0082f0efc
0xfffffff00933eb00: 7f2303d5  pacibsp	
0xfffffff00933eb04: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933eb08: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933eb0c: fd430091  add	x29, sp, #0x10
0xfffffff00933eb10: f30300aa  mov	x19, x0
0xfffffff00933eb14: fac8be97  bl	#0xfffffff0082f0efc
0xfffffff00933eb18: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933eb1c: 00603691  add	x0, x0, #0xd98
0xfffffff00933eb20: e10313aa  mov	x1, x19
0xfffffff00933eb24: 02058052  mov	w2, #0x28
0xfffffff00933eb28: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00933eb2c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00933eb30: ff2303d5  autibsp	
0xfffffff00933eb34: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00933eb38: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00933eb40
0xfffffff00933eb3c: 208e38d4  brk	#0xc471
0xfffffff00933eb40: d7a2be17  b	#0xfffffff0082e769c
0xfffffff00933eb44: 5f2403d5  bti	c
0xfffffff00933eb48: e20301aa  mov	x2, x1
0xfffffff00933eb4c: e10300aa  mov	x1, x0
0xfffffff00933eb50: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933eb54: 00603691  add	x0, x0, #0xd98
0xfffffff00933eb58: d1a2be17  b	#0xfffffff0082e769c
0xfffffff00933eb5c: 5f2403d5  bti	c
0xfffffff00933eb60: 008200b0  adrp	x0, #0xfffffff00a37f000
0xfffffff00933eb64: 00401d91  add	x0, x0, #0x750
0xfffffff00933eb68: c0035fd6  ret	
0xfffffff00933eb6c: 7f2303d5  pacibsp	
0xfffffff00933eb70: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00933eb74: fd030091  mov	x29, sp
0xfffffff00933eb78: c10dffd0  adrp	x1, #0xfffffff0074f8000
0xfffffff00933eb7c: 21940a91  add	x1, x1, #0x2a5
0xfffffff00933eb80: 028200b0  adrp	x2, #0xfffffff00a37f000
0xfffffff00933eb84: 42801991  add	x2, x2, #0x660
0xfffffff00933eb88: 03058052  mov	w3, #0x28
0xfffffff00933eb8c: eb93be97  bl	#0xfffffff0082e3b38
0xfffffff00933eb90: d043ffb0  adrp	x16, #0xfffffff007bb7000
0xfffffff00933eb94: 10a22d91  add	x16, x16, #0xb68
0xfffffff00933eb98: 10420091  add	x16, x16, #0x10
0xfffffff00933eb9c: f10300aa  mov	x17, x0
0xfffffff00933eba0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933eba4: 300ac1da  pacda	x16, x17
0xfffffff00933eba8: 100000f9  str	x16, [x0]
0xfffffff00933ebac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933ebb0: ff0f5fd6  retab	
0xfffffff00933ebb4: 7f2303d5  pacibsp	
0xfffffff00933ebb8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933ebbc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933ebc0: fd430091  add	x29, sp, #0x10
0xfffffff00933ebc4: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933ebc8: 00603691  add	x0, x0, #0xd98
0xfffffff00933ebcc: 01058052  mov	w1, #0x28
