; Candidate 12712
; ADRP+ADD at VM 0xfffffff0091275a8 (fileoff 0x21235a8): page=0x11ed000 add_imm=0xeb0

0xfffffff009127528: 417e0094  bl	#0xfffffff009146e2c
0xfffffff00912752c: 2d7e0094  bl	#0xfffffff009146de0
0xfffffff009127530: 283b8052  mov	w8, #0x1d9
0xfffffff009127534: 891afff0  adrp	x9, #0xfffffff00747a000
0xfffffff009127538: 29b10091  add	x9, x9, #0x2c
0xfffffff00912753c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009127540: f50300f9  str	x21, [sp]
0xfffffff009127544: 801afff0  adrp	x0, #0xfffffff00747a000
0xfffffff009127548: 00681491  add	x0, x0, #0x51a
0xfffffff00912754c: f0b3cd97  bl	#0xfffffff00849450c
0xfffffff009127550: 5f2403d5  bti	c
0xfffffff009127554: 68f4c617  b	#0xfffffff0082e46f4
0xfffffff009127558: 5f2403d5  bti	c
0xfffffff00912755c: 66f4c617  b	#0xfffffff0082e46f4
0xfffffff009127560: 7f2303d5  pacibsp	
0xfffffff009127564: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009127568: fd030091  mov	x29, sp
0xfffffff00912756c: 608f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff009127570: 00203a91  add	x0, x0, #0xe88
0xfffffff009127574: 811affd0  adrp	x1, #0xfffffff007479000
0xfffffff009127578: 21903e91  add	x1, x1, #0xfa4
0xfffffff00912757c: 628f00b0  adrp	x2, #0xfffffff00a314000
0xfffffff009127580: 42a02e91  add	x2, x2, #0xba8
0xfffffff009127584: 031c8052  mov	w3, #0xe0
0xfffffff009127588: 6cf1c697  bl	#0xfffffff0082e3b38
0xfffffff00912758c: 9051ffd0  adrp	x16, #0xfffffff007b59000
0xfffffff009127590: 10a21391  add	x16, x16, #0x4e8
0xfffffff009127594: 10420091  add	x16, x16, #0x10
0xfffffff009127598: f10300aa  mov	x17, x0
0xfffffff00912759c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091275a0: 300ac1da  pacda	x16, x17
0xfffffff0091275a4: 100000f9  str	x16, [x0]
0xfffffff0091275a8: 608f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff0091275ac: 00c03a91  add	x0, x0, #0xeb0
0xfffffff0091275b0: 411affd0  adrp	x1, #0xfffffff007471000
0xfffffff0091275b4: 218c0791  add	x1, x1, #0x1e3
0xfffffff0091275b8: 628f00b0  adrp	x2, #0xfffffff00a314000
0xfffffff0091275bc: 42403391  add	x2, x2, #0xcd0
0xfffffff0091275c0: 03128052  mov	w3, #0x90
0xfffffff0091275c4: 5df1c697  bl	#0xfffffff0082e3b38
0xfffffff0091275c8: 9051ffd0  adrp	x16, #0xfffffff007b59000
0xfffffff0091275cc: 10222c91  add	x16, x16, #0xb08
0xfffffff0091275d0: 10420091  add	x16, x16, #0x10
0xfffffff0091275d4: f10300aa  mov	x17, x0
0xfffffff0091275d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091275dc: 300ac1da  pacda	x16, x17
0xfffffff0091275e0: 100000f9  str	x16, [x0]
0xfffffff0091275e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091275e8: ff0f5fd6  retab	
0xfffffff0091275ec: 7f2303d5  pacibsp	
0xfffffff0091275f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091275f4: fd030091  mov	x29, sp
0xfffffff0091275f8: 608f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff0091275fc: 00c03a91  add	x0, x0, #0xeb0
0xfffffff009127600: 3df4c697  bl	#0xfffffff0082e46f4
0xfffffff009127604: 608f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff009127608: 00203a91  add	x0, x0, #0xe88
0xfffffff00912760c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009127610: ff2303d5  autibsp	
0xfffffff009127614: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009127618: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009127620
0xfffffff00912761c: 208e38d4  brk	#0xc471
0xfffffff009127620: 35f4c617  b	#0xfffffff0082e46f4
0xfffffff009127624: 7f2303d5  pacibsp	
