; Candidate 16240
; ADRP+ADD at VM 0xfffffff009e33784 (fileoff 0x2e2f784): page=0x5a0000 add_imm=0xe30

0xfffffff009e33704: 631240f9  ldr	x3, [x19, #0x20]
0xfffffff009e33708: 21008052  mov	w1, #1
0xfffffff009e3370c: e20314aa  mov	x2, x20
0xfffffff009e33710: c7de0294  bl	#0xfffffff009eeb22c
0xfffffff009e33714: f50300aa  mov	x21, x0
0xfffffff009e33718: c0160034  cbz	w0, #0xfffffff009e339f0
0xfffffff009e3371c: 28ad8752  mov	w8, #0x3d69
0xfffffff009e33720: c801a072  movk	w8, #0xe, lsl #16
0xfffffff009e33724: 01390011  add	w1, w8, #0xe
0xfffffff009e33728: ad000014  b	#0xfffffff009e339dc
0xfffffff009e3372c: 600640f9  ldr	x0, [x19, #8]
0xfffffff009e33730: ff0303a9  stp	xzr, x0, [sp, #0x30]
0xfffffff009e33734: 047c40f9  ldr	x4, [x0, #0xf8]
0xfffffff009e33738: e3030191  add	x3, sp, #0x40
0xfffffff009e3373c: e5c30091  add	x5, sp, #0x30
0xfffffff009e33740: 21008052  mov	w1, #1
0xfffffff009e33744: 020080d2  mov	x2, #0
0xfffffff009e33748: 91bd0294  bl	#0xfffffff009ee2d8c
0xfffffff009e3374c: 60120034  cbz	w0, #0xfffffff009e33998
0xfffffff009e33750: f50300aa  mov	x21, x0
0xfffffff009e33754: ea2740f9  ldr	x10, [sp, #0x48]
0xfffffff009e33758: 890640f9  ldr	x9, [x20, #8]
0xfffffff009e3375c: e9d701a9  stp	x9, x21, [sp, #0x18]
0xfffffff009e33760: 68cffef0  adrp	x8, #0xfffffff007822000
0xfffffff009e33764: 08112791  add	x8, x8, #0x9c4
0xfffffff009e33768: 69128052  mov	w9, #0x93
0xfffffff009e3376c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009e33770: e80300f9  str	x8, [sp]
0xfffffff009e33774: 60cffef0  adrp	x0, #0xfffffff007822000
0xfffffff009e33778: 00502791  add	x0, x0, #0x9d4
0xfffffff009e3377c: 52300194  bl	#0xfffffff009e7f8c4
0xfffffff009e33780: e1060011  add	w1, w23, #1
0xfffffff009e33784: 002d0090  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e33788: 00c03891  add	x0, x0, #0xe30
0xfffffff009e3378c: e20315aa  mov	x2, x21
0xfffffff009e33790: e8faff97  bl	#0xfffffff009e32330
0xfffffff009e33794: f61b40f9  ldr	x22, [sp, #0x30]
0xfffffff009e33798: 8d000014  b	#0xfffffff009e339cc
0xfffffff009e3379c: 090080d2  mov	x9, #0
0xfffffff009e337a0: 0a2d0090  adrp	x10, #0xfffffff00a3d3000
0xfffffff009e337a4: 4ac13891  add	x10, x10, #0xe30
0xfffffff009e337a8: 4b01098b  add	x11, x10, x9
0xfffffff009e337ac: 6c4141f8  ldur	x12, [x11, #0x14]
0xfffffff009e337b0: 6cc100f8  stur	x12, [x11, #0xc]
0xfffffff009e337b4: 29210091  add	x9, x9, #8
0xfffffff009e337b8: 3f2101f1  cmp	x9, #0x48
0xfffffff009e337bc: 61ffff54  b.ne	#0xfffffff009e337a8
0xfffffff009e337c0: 08050051  sub	w8, w8, #1
0xfffffff009e337c4: 092d0090  adrp	x9, #0xfffffff00a3d3000
0xfffffff009e337c8: 29c13891  add	x9, x9, #0xe30
0xfffffff009e337cc: 28cd288b  add	x8, x9, w8, sxtw #3
0xfffffff009e337d0: 69cffef0  adrp	x9, #0xfffffff007822000
0xfffffff009e337d4: 209d42fd  ldr	d0, [x9, #0x538]
0xfffffff009e337d8: 00c100fc  stur	d0, [x8, #0xc]
0xfffffff009e337dc: a47e40f9  ldr	x4, [x21, #0xf8]
0xfffffff009e337e0: e3030191  add	x3, sp, #0x40
0xfffffff009e337e4: e5c30091  add	x5, sp, #0x30
0xfffffff009e337e8: e00315aa  mov	x0, x21
0xfffffff009e337ec: 810c8052  mov	w1, #0x64
0xfffffff009e337f0: e20316aa  mov	x2, x22
0xfffffff009e337f4: 66bd0294  bl	#0xfffffff009ee2d8c
0xfffffff009e337f8: 40020034  cbz	w0, #0xfffffff009e33840
0xfffffff009e337fc: 1f080071  cmp	w0, #2
0xfffffff009e33800: c0090054  b.eq	#0xfffffff009e33938
