; Candidate 9558
; ADRP+ADD at VM 0xfffffff008a731b8 (fileoff 0x1a6f1b8): page=0x186c000 add_imm=0xd78

0xfffffff008a73138: 11a980d2  mov	x17, #0x548
0xfffffff008a7313c: 1002118b  add	x16, x16, x17
0xfffffff008a73140: 080240f9  ldr	x8, [x16]
0xfffffff008a73144: e90310aa  mov	x9, x16
0xfffffff008a73148: f00308aa  mov	x16, x8
0xfffffff008a7314c: 21108052  mov	w1, #0x81
0xfffffff008a73150: 020080d2  mov	x2, #0
0xfffffff008a73154: 030080d2  mov	x3, #0
0xfffffff008a73158: 24008052  mov	w4, #1
0xfffffff008a7315c: 05008052  mov	w5, #0
0xfffffff008a73160: e70313aa  mov	x7, x19
0xfffffff008a73164: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008a73168: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008a7316c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008a73170: ff430191  add	sp, sp, #0x50
0xfffffff008a73174: ff2303d5  autibsp	
0xfffffff008a73178: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008a7317c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008a73184
0xfffffff008a73180: 208e38d4  brk	#0xc471
0xfffffff008a73184: f10309aa  mov	x17, x9
0xfffffff008a73188: d19ef0f2  movk	x17, #0x84f6, lsl #48
0xfffffff008a7318c: 110a1fd7  braa	x16, x17
0xfffffff008a73190: 7f2303d5  pacibsp	
0xfffffff008a73194: ff0301d1  sub	sp, sp, #0x40
0xfffffff008a73198: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008a7319c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008a731a0: fdc30091  add	x29, sp, #0x30
0xfffffff008a731a4: f30300aa  mov	x19, x0
0xfffffff008a731a8: 005840f9  ldr	x0, [x0, #0xb0]
0xfffffff008a731ac: a00500b4  cbz	x0, #0xfffffff008a73260
0xfffffff008a731b0: 68224239  ldrb	w8, [x19, #0x88]
0xfffffff008a731b4: 68072036  tbz	w8, #4, #0xfffffff008a732a0
0xfffffff008a731b8: 60c30090  adrp	x0, #0xfffffff00a2df000
0xfffffff008a731bc: 00e03591  add	x0, x0, #0xd78
0xfffffff008a731c0: e6c5e197  bl	#0xfffffff0082e4958
0xfffffff008a731c4: f40300aa  mov	x20, x0
0xfffffff008a731c8: 700240f9  ldr	x16, [x19]
0xfffffff008a731cc: f10313aa  mov	x17, x19
0xfffffff008a731d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a731d4: 301ac1da  autda	x16, x17
0xfffffff008a731d8: 116e80d2  mov	x17, #0x370
0xfffffff008a731dc: 1002118b  add	x16, x16, x17
0xfffffff008a731e0: 080240f9  ldr	x8, [x16]
0xfffffff008a731e4: e90310aa  mov	x9, x16
0xfffffff008a731e8: e00313aa  mov	x0, x19
0xfffffff008a731ec: f10309aa  mov	x17, x9
0xfffffff008a731f0: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a731f4: 11093fd7  blraa	x8, x17
0xfffffff008a731f8: 000400b4  cbz	x0, #0xfffffff008a73278
0xfffffff008a731fc: 700240f9  ldr	x16, [x19]
0xfffffff008a73200: f10313aa  mov	x17, x19
0xfffffff008a73204: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a73208: 301ac1da  autda	x16, x17
0xfffffff008a7320c: 116e80d2  mov	x17, #0x370
0xfffffff008a73210: 1002118b  add	x16, x16, x17
0xfffffff008a73214: 080240f9  ldr	x8, [x16]
0xfffffff008a73218: e90310aa  mov	x9, x16
0xfffffff008a7321c: e00313aa  mov	x0, x19
0xfffffff008a73220: f10309aa  mov	x17, x9
0xfffffff008a73224: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a73228: 11093fd7  blraa	x8, x17
0xfffffff008a7322c: 100040f9  ldr	x16, [x0]
0xfffffff008a73230: f10300aa  mov	x17, x0
0xfffffff008a73234: 31b4f9f2  movk	x17, #0xcda1, lsl #48
