; Candidate 1217
; ADRP+ADD at VM 0xfffffff00829a064 (fileoff 0x1296064): page=0x1ff6e2000 add_imm=0xdf0

0xfffffff008299fe4: 4f000094  bl	#0xfffffff00829a120
0xfffffff008299fe8: c80240f9  ldr	x8, [x22]
0xfffffff008299fec: 883e00f9  str	x8, [x20, #0x78]
0xfffffff008299ff0: d40200f9  str	x20, [x22]
0xfffffff008299ff4: a80241b9  ldr	w8, [x21, #0x100]
0xfffffff008299ff8: 14050011  add	w20, w8, #1
0xfffffff008299ffc: b40201b9  str	w20, [x21, #0x100]
0xfffffff00829a000: 36008052  mov	w22, #1
0xfffffff00829a004: e00315aa  mov	x0, x21
0xfffffff00829a008: 21008052  mov	w1, #1
0xfffffff00829a00c: b94ef397  bl	#0xfffffff007f6daf0
0xfffffff00829a010: c00000b4  cbz	x0, #0xfffffff00829a028
0xfffffff00829a014: 08202291  add	x8, x0, #0x888
0xfffffff00829a018: 14fd9f88  stlr	w20, [x8]
0xfffffff00829a01c: 08302291  add	x8, x0, #0x88c
0xfffffff00829a020: 080136b8  ldadd	w22, w8, [x8]
0xfffffff00829a024: 3d79f397  bl	#0xfffffff007f78518
0xfffffff00829a028: 680a40b9  ldr	w8, [x19, #8]
0xfffffff00829a02c: 08050011  add	w8, w8, #1
0xfffffff00829a030: 680a00b9  str	w8, [x19, #8]
0xfffffff00829a034: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00829a038: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00829a03c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00829a040: ff0f5fd6  retab	
0xfffffff00829a044: 7f2303d5  pacibsp	
0xfffffff00829a048: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00829a04c: fd030091  mov	x29, sp
0xfffffff00829a050: 68fd00b0  adrp	x8, #0xfffffff00a247000
0xfffffff00829a054: 080944f9  ldr	x8, [x8, #0x810]
0xfffffff00829a058: 08254079  ldrh	w8, [x8, #0x12]
0xfffffff00829a05c: 81009052  mov	w1, #0x8004
0xfffffff00829a060: 013d1033  bfi	w1, w8, #0x10, #0x10
0xfffffff00829a064: 00b7ffd0  adrp	x0, #0xfffffff00797c000
0xfffffff00829a068: 00c03791  add	x0, x0, #0xdf0
0xfffffff00829a06c: 9a33ec97  bl	#0xfffffff007da6ed4
0xfffffff00829a070: 1f0000f9  str	xzr, [x0]
0xfffffff00829a074: 1f0800b9  str	wzr, [x0, #8]
0xfffffff00829a078: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00829a07c: ff0f5fd6  retab	
0xfffffff00829a080: 7f2303d5  pacibsp	
0xfffffff00829a084: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00829a088: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00829a08c: fd430091  add	x29, sp, #0x10
0xfffffff00829a090: f40300aa  mov	x20, x0
0xfffffff00829a094: 68fd00b0  adrp	x8, #0xfffffff00a247000
0xfffffff00829a098: 080944f9  ldr	x8, [x8, #0x810]
0xfffffff00829a09c: 08254079  ldrh	w8, [x8, #0x12]
0xfffffff00829a0a0: 81009052  mov	w1, #0x8004
0xfffffff00829a0a4: 013d1033  bfi	w1, w8, #0x10, #0x10
0xfffffff00829a0a8: 00b7ffd0  adrp	x0, #0xfffffff00797c000
0xfffffff00829a0ac: 00c03891  add	x0, x0, #0xe30
0xfffffff00829a0b0: 8933ec97  bl	#0xfffffff007da6ed4
0xfffffff00829a0b4: f30300aa  mov	x19, x0
0xfffffff00829a0b8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00829a0bc: 008000ad  stp	q0, q0, [x0, #0x10]
0xfffffff00829a0c0: 008001ad  stp	q0, q0, [x0, #0x30]
0xfffffff00829a0c4: 008002ad  stp	q0, q0, [x0, #0x50]
0xfffffff00829a0c8: 008003ad  stp	q0, q0, [x0, #0x70]
0xfffffff00829a0cc: 008004ad  stp	q0, q0, [x0, #0x90]
0xfffffff00829a0d0: 008005ad  stp	q0, q0, [x0, #0xb0]
0xfffffff00829a0d4: 008006ad  stp	q0, q0, [x0, #0xd0]
0xfffffff00829a0d8: 003c803d  str	q0, [x0, #0xf0]
0xfffffff00829a0dc: e00314aa  mov	x0, x20
0xfffffff00829a0e0: 480deb97  bl	#0xfffffff007d5d600
