; Candidate 16341
; ADRP+ADD at VM 0xfffffff009e6541c (fileoff 0x2e6141c): page=0x1fd9f7000 add_imm=0xec6

0xfffffff009e6539c: 281b00b9  str	w8, [x25, #0x18]
0xfffffff009e653a0: 682b00f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e653a4: 00fd42f9  ldr	x0, [x8, #0x5f8]
0xfffffff009e653a8: e51c7d97  bl	#0xfffffff007dac73c
0xfffffff009e653ac: 1a0080d2  mov	x26, #0
0xfffffff009e653b0: 88018052  mov	w8, #0xc
0xfffffff009e653b4: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff009e653b8: 280100b9  str	w8, [x9]
0xfffffff009e653bc: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff009e653c0: 49f6feb0  adrp	x9, #0xfffffff007d2e000
0xfffffff009e653c4: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009e653c8: 290140f9  ldr	x9, [x9]
0xfffffff009e653cc: 3f0108eb  cmp	x9, x8
0xfffffff009e653d0: 01030054  b.ne	#0xfffffff009e65430
0xfffffff009e653d4: e0031aaa  mov	x0, x26
0xfffffff009e653d8: ff431391  add	sp, sp, #0x4d0
0xfffffff009e653dc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009e653e0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009e653e4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009e653e8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009e653ec: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff009e653f0: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff009e653f4: ff0f5fd6  retab	
0xfffffff009e653f8: d8028052  mov	w24, #0x16
0xfffffff009e653fc: a86640f9  ldr	x8, [x21, #0xc8]
0xfffffff009e65400: 098942f9  ldr	x9, [x8, #0x510]
0xfffffff009e65404: fae301a9  stp	x26, x24, [sp, #0x18]
0xfffffff009e65408: 08ff8052  mov	w8, #0x7f8
0xfffffff009e6540c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e65410: c8cffe90  adrp	x8, #0xfffffff00785d000
0xfffffff009e65414: 086d0e91  add	x8, x8, #0x39b
0xfffffff009e65418: e80300f9  str	x8, [sp]
0xfffffff009e6541c: a0cffef0  adrp	x0, #0xfffffff00785c000
0xfffffff009e65420: 00183b91  add	x0, x0, #0xec6
0xfffffff009e65424: 28690094  bl	#0xfffffff009e7f8c4
0xfffffff009e65428: fa031caa  mov	x26, x28
0xfffffff009e6542c: 4cffff17  b	#0xfffffff009e6515c
0xfffffff009e65430: 87e27b97  bl	#0xfffffff007d5de4c
0xfffffff009e65434: 7f2303d5  pacibsp	
0xfffffff009e65438: ff8301d1  sub	sp, sp, #0x60
0xfffffff009e6543c: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff009e65440: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff009e65444: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009e65448: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009e6544c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009e65450: fd430191  add	x29, sp, #0x50
0xfffffff009e65454: f40303aa  mov	x20, x3
0xfffffff009e65458: f60302aa  mov	x22, x2
0xfffffff009e6545c: f50301aa  mov	x21, x1
0xfffffff009e65460: f80300aa  mov	x24, x0
0xfffffff009e65464: 40cefeb0  adrp	x0, #0xfffffff00782e000
0xfffffff009e65468: 00e81b91  add	x0, x0, #0x6fa
0xfffffff009e6546c: 010080d2  mov	x1, #0
0xfffffff009e65470: 08939497  bl	#0xfffffff00838a090
0xfffffff009e65474: 601200b4  cbz	x0, #0xfffffff009e656c0
0xfffffff009e65478: f30300aa  mov	x19, x0
0xfffffff009e6547c: 40008052  mov	w0, #2
0xfffffff009e65480: 2c2f9297  bl	#0xfffffff0082f1130
0xfffffff009e65484: f70300aa  mov	x23, x0
0xfffffff009e65488: 007f1853  lsr	w0, w24, #0x18
0xfffffff009e6548c: 01048052  mov	w1, #0x20
0xfffffff009e65490: 97e79297  bl	#0xfffffff00831f2ec
0xfffffff009e65494: f90300aa  mov	x25, x0
0xfffffff009e65498: f00240f9  ldr	x16, [x23]
