; Candidate 6017
; ADRP+ADD at VM 0xfffffff00880f1b4 (fileoff 0x180b1b4): page=0x1fe9da000 add_imm=0xe80

0xfffffff00880f134: 08b92791  add	x8, x8, #0x9ee
0xfffffff00880f138: a93f8052  mov	w9, #0x1fd
0xfffffff00880f13c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880f140: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880f144: 08d10391  add	x8, x8, #0xf4
0xfffffff00880f148: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880f14c: 880e8052  mov	w8, #0x74
0xfffffff00880f150: f42300a9  stp	x20, x8, [sp]
0xfffffff00880f154: c04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880f158: 00003a91  add	x0, x0, #0xe80
0xfffffff00880f15c: c18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880f160: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880f164: c351ff90  adrp	x3, #0xfffffff007247000
0xfffffff00880f168: 63d80d91  add	x3, x3, #0x376
0xfffffff00880f16c: 02008052  mov	w2, #0
0xfffffff00880f170: f08fec97  bl	#0xfffffff008333130
0xfffffff00880f174: 36ffff17  b	#0xfffffff00880ee4c
0xfffffff00880f178: 0d940294  bl	#0xfffffff0088b41ac
0xfffffff00880f17c: f40300aa  mov	x20, x0
0xfffffff00880f180: 80008052  mov	w0, #4
0xfffffff00880f184: b3b10194  bl	#0xfffffff00887b850
0xfffffff00880f188: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880f18c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00880f190: 4850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff00880f194: 081d3191  add	x8, x8, #0xc47
0xfffffff00880f198: c93d8052  mov	w9, #0x1ee
0xfffffff00880f19c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880f1a0: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880f1a4: 08d10391  add	x8, x8, #0xf4
0xfffffff00880f1a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880f1ac: 880e8052  mov	w8, #0x74
0xfffffff00880f1b0: f42300a9  stp	x20, x8, [sp]
0xfffffff00880f1b4: c04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880f1b8: 00003a91  add	x0, x0, #0xe80
0xfffffff00880f1bc: c18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880f1c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880f1c4: c351ff90  adrp	x3, #0xfffffff007247000
0xfffffff00880f1c8: 63000d91  add	x3, x3, #0x340
0xfffffff00880f1cc: 02008052  mov	w2, #0
0xfffffff00880f1d0: d88fec97  bl	#0xfffffff008333130
0xfffffff00880f1d4: 547d8012  mov	w20, #-0x3eb
0xfffffff00880f1d8: f50240f9  ldr	x21, [x23]
0xfffffff00880f1dc: 150100b4  cbz	x21, #0xfffffff00880f1fc
0xfffffff00880f1e0: e00315aa  mov	x0, x21
0xfffffff00880f1e4: bd2d0294  bl	#0xfffffff00889a8d8
0xfffffff00880f1e8: e08fffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff00880f1ec: 00600b91  add	x0, x0, #0x2d8
0xfffffff00880f1f0: e10315aa  mov	x1, x21
0xfffffff00880f1f4: 461ded97  bl	#0xfffffff00835670c
0xfffffff00880f1f8: ff0200f9  str	xzr, [x23]
0xfffffff00880f1fc: f50640f9  ldr	x21, [x23, #8]
0xfffffff00880f200: 150100b4  cbz	x21, #0xfffffff00880f220
0xfffffff00880f204: e00315aa  mov	x0, x21
0xfffffff00880f208: 6e4e0294  bl	#0xfffffff0088a2bc0
0xfffffff00880f20c: e08fffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff00880f210: 00600c91  add	x0, x0, #0x318
0xfffffff00880f214: e10315aa  mov	x1, x21
0xfffffff00880f218: 3d1ded97  bl	#0xfffffff00835670c
0xfffffff00880f21c: ff0600f9  str	xzr, [x23, #8]
0xfffffff00880f220: 800e8052  mov	w0, #0x74
0xfffffff00880f224: e1008052  mov	w1, #7
0xfffffff00880f228: 6ab10194  bl	#0xfffffff00887b7d0
0xfffffff00880f22c: c0040034  cbz	w0, #0xfffffff00880f2c4
0xfffffff00880f230: 800e8052  mov	w0, #0x74
