; Candidate 539
; ADRP+ADD at VM 0xfffffff007f78b60 (fileoff 0xf74b60): page=0x1ff0eb000 add_imm=0xd8f

0xfffffff007f78ae0: c2518352  mov	w2, #0x1a8e
0xfffffff007f78ae4: 4c9b1494  bl	#0xfffffff00849f814
0xfffffff007f78ae8: e00317aa  mov	x0, x23
0xfffffff007f78aec: e10316aa  mov	x1, x22
0xfffffff007f78af0: 22008052  mov	w2, #1
0xfffffff007f78af4: 01ccf897  bl	#0xfffffff007dabaf8
0xfffffff007f78af8: f3feff17  b	#0xfffffff007f786c4
0xfffffff007f78afc: 4087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f78b00: 00ec2f91  add	x0, x0, #0xbfb
0xfffffff007f78b04: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f78b08: 21300991  add	x1, x1, #0x24c
0xfffffff007f78b0c: a26a8152  mov	w2, #0xb55
0xfffffff007f78b10: 419b1494  bl	#0xfffffff00849f814
0xfffffff007f78b14: e00317aa  mov	x0, x23
0xfffffff007f78b18: e10316aa  mov	x1, x22
0xfffffff007f78b1c: 12cff897  bl	#0xfffffff007dac764
0xfffffff007f78b20: 25ffff17  b	#0xfffffff007f787b4
0xfffffff007f78b24: e00317aa  mov	x0, x23
0xfffffff007f78b28: e10316aa  mov	x1, x22
0xfffffff007f78b2c: 22008052  mov	w2, #1
0xfffffff007f78b30: f2cbf897  bl	#0xfffffff007dabaf8
0xfffffff007f78b34: 2bffff17  b	#0xfffffff007f787e0
0xfffffff007f78b38: 4087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f78b3c: 00ec2f91  add	x0, x0, #0xbfb
0xfffffff007f78b40: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f78b44: 21300991  add	x1, x1, #0x24c
0xfffffff007f78b48: 026e8152  mov	w2, #0xb70
0xfffffff007f78b4c: 329b1494  bl	#0xfffffff00849f814
0xfffffff007f78b50: e00317aa  mov	x0, x23
0xfffffff007f78b54: e10316aa  mov	x1, x22
0xfffffff007f78b58: 03cff897  bl	#0xfffffff007dac764
0xfffffff007f78b5c: 2effff17  b	#0xfffffff007f78814
0xfffffff007f78b60: 4087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f78b64: 003c3691  add	x0, x0, #0xd8f
0xfffffff007f78b68: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f78b6c: 21300991  add	x1, x1, #0x24c
0xfffffff007f78b70: e2508352  mov	w2, #0x1a87
0xfffffff007f78b74: 289b1494  bl	#0xfffffff00849f814
0xfffffff007f78b78: b594f797  bl	#0xfffffff007d5de4c
0xfffffff007f78b7c: 5f2403d5  bti	c
0xfffffff007f78b80: 8cd3f817  b	#0xfffffff007dad9b0
0xfffffff007f78b84: 5f2403d5  bti	c
0xfffffff007f78b88: a8d6f817  b	#0xfffffff007dae628
0xfffffff007f78b8c: 7f2303d5  pacibsp	
0xfffffff007f78b90: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007f78b94: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007f78b98: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007f78b9c: fd830091  add	x29, sp, #0x20
0xfffffff007f78ba0: 08244339  ldrb	w8, [x0, #0xc9]
0xfffffff007f78ba4: e8041037  tbnz	w8, #2, #0xfffffff007f78c40
0xfffffff007f78ba8: f30301aa  mov	x19, x1
0xfffffff007f78bac: f50300aa  mov	x21, x0
0xfffffff007f78bb0: 20d0ff90  adrp	x0, #0xfffffff00797c000
0xfffffff007f78bb4: 00c03591  add	x0, x0, #0xd70
0xfffffff007f78bb8: 81008052  mov	w1, #4
0xfffffff007f78bbc: c6b8f897  bl	#0xfffffff007da6ed4
0xfffffff007f78bc0: e00400b4  cbz	x0, #0xfffffff007f78c5c
0xfffffff007f78bc4: f40300aa  mov	x20, x0
0xfffffff007f78bc8: a8724179  ldrh	w8, [x21, #0xb8]
0xfffffff007f78bcc: 090040f9  ldr	x9, [x0]
0xfffffff007f78bd0: 29016fb2  orr	x9, x9, #0x20000
0xfffffff007f78bd4: 090000f9  str	x9, [x0]
0xfffffff007f78bd8: 083000f9  str	x8, [x0, #0x60]
0xfffffff007f78bdc: 76420091  add	x22, x19, #0x10
