; Candidate 5817
; ADRP+ADD at VM 0xfffffff008806394 (fileoff 0x1802394): page=0x1fe9e3000 add_imm=0xe80

0xfffffff008806314: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff008806318: f31b00f9  str	x19, [sp, #0x30]
0xfffffff00880631c: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806320: 08550d91  add	x8, x8, #0x355
0xfffffff008806324: 49158052  mov	w9, #0xaa
0xfffffff008806328: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880632c: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806330: 08690891  add	x8, x8, #0x21a
0xfffffff008806334: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008806338: 880e8052  mov	w8, #0x74
0xfffffff00880633c: a050ff90  adrp	x0, #0xfffffff00721a000
0xfffffff008806340: 00b80b91  add	x0, x0, #0x2ee
0xfffffff008806344: 35000014  b	#0xfffffff008806418
0xfffffff008806348: 547d8012  mov	w20, #-0x3eb
0xfffffff00880634c: b9835af8  ldur	x25, [x29, #-0x58]
0xfffffff008806350: fc3340f9  ldr	x28, [sp, #0x60]
0xfffffff008806354: 34000014  b	#0xfffffff008806424
0xfffffff008806358: 95b70294  bl	#0xfffffff0088b41ac
0xfffffff00880635c: f40300aa  mov	x20, x0
0xfffffff008806360: 80008052  mov	w0, #4
0xfffffff008806364: 3bd50194  bl	#0xfffffff00887b850
0xfffffff008806368: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880636c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008806370: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806374: 083d0b91  add	x8, x8, #0x2cf
0xfffffff008806378: c9138052  mov	w9, #0x9e
0xfffffff00880637c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008806380: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806384: 08690891  add	x8, x8, #0x21a
0xfffffff008806388: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880638c: 880e8052  mov	w8, #0x74
0xfffffff008806390: f42300a9  stp	x20, x8, [sp]
0xfffffff008806394: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806398: 00003a91  add	x0, x0, #0xe80
0xfffffff00880639c: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088063a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088063a4: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff0088063a8: 63f40491  add	x3, x3, #0x13d
0xfffffff0088063ac: 02008052  mov	w2, #0
0xfffffff0088063b0: 60b3ec97  bl	#0xfffffff008333130
0xfffffff0088063b4: 1b000014  b	#0xfffffff008806420
0xfffffff0088063b8: 800e8052  mov	w0, #0x74
0xfffffff0088063bc: 81008052  mov	w1, #4
0xfffffff0088063c0: 04d50194  bl	#0xfffffff00887b7d0
0xfffffff0088063c4: e0020034  cbz	w0, #0xfffffff008806420
0xfffffff0088063c8: 800e8052  mov	w0, #0x74
0xfffffff0088063cc: 13d50194  bl	#0xfffffff00887b818
0xfffffff0088063d0: f50300aa  mov	x21, x0
0xfffffff0088063d4: 76b70294  bl	#0xfffffff0088b41ac
0xfffffff0088063d8: f40300aa  mov	x20, x0
0xfffffff0088063dc: 80008052  mov	w0, #4
0xfffffff0088063e0: 1cd50194  bl	#0xfffffff00887b850
0xfffffff0088063e4: b53e0034  cbz	w21, #0xfffffff008806bb8
0xfffffff0088063e8: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff0088063ec: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088063f0: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff0088063f4: 08650e91  add	x8, x8, #0x399
0xfffffff0088063f8: c9168052  mov	w9, #0xb6
0xfffffff0088063fc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008806400: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806404: 08690891  add	x8, x8, #0x21a
0xfffffff008806408: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880640c: 880e8052  mov	w8, #0x74
0xfffffff008806410: a050ff90  adrp	x0, #0xfffffff00721a000
