; Candidate 960
; ADRP+ADD at VM 0xfffffff008122968 (fileoff 0x111e968): page=0x1fef59000 add_imm=0xeb7

0xfffffff0081228e8: e00314aa  mov	x0, x20
0xfffffff0081228ec: e1031baa  mov	x1, x27
0xfffffff0081228f0: 9d27f297  bl	#0xfffffff007dac764
0xfffffff0081228f4: c7fdff17  b	#0xfffffff008122010
0xfffffff0081228f8: e00319aa  mov	x0, x25
0xfffffff0081228fc: e1031baa  mov	x1, x27
0xfffffff008122900: 02008052  mov	w2, #0
0xfffffff008122904: 7d24f297  bl	#0xfffffff007dabaf8
0xfffffff008122908: cffdff17  b	#0xfffffff008122044
0xfffffff00812290c: e03740f9  ldr	x0, [sp, #0x68]
0xfffffff008122910: e1031baa  mov	x1, x27
0xfffffff008122914: 9427f297  bl	#0xfffffff007dac764
0xfffffff008122918: 59baff35  cbnz	w25, #0xfffffff008122060
0xfffffff00812291c: d8fdff17  b	#0xfffffff00812207c
0xfffffff008122920: 16000014  b	#0xfffffff008122978
0xfffffff008122924: 15000014  b	#0xfffffff008122978
0xfffffff008122928: c87affb0  adrp	x8, #0xfffffff00707b000
0xfffffff00812292c: 087d3b91  add	x8, x8, #0xedf
0xfffffff008122930: 89648052  mov	w9, #0x324
0xfffffff008122934: 0c000014  b	#0xfffffff008122964
0xfffffff008122938: c87affb0  adrp	x8, #0xfffffff00707b000
0xfffffff00812293c: 087d3b91  add	x8, x8, #0xedf
0xfffffff008122940: 09688052  mov	w9, #0x340
0xfffffff008122944: 08000014  b	#0xfffffff008122964
0xfffffff008122948: c87affb0  adrp	x8, #0xfffffff00707b000
0xfffffff00812294c: 087d3b91  add	x8, x8, #0xedf
0xfffffff008122950: 29688052  mov	w9, #0x341
0xfffffff008122954: 04000014  b	#0xfffffff008122964
0xfffffff008122958: c87affb0  adrp	x8, #0xfffffff00707b000
0xfffffff00812295c: 087d3b91  add	x8, x8, #0xedf
0xfffffff008122960: 49688052  mov	w9, #0x342
0xfffffff008122964: e82700a9  stp	x8, x9, [sp]
0xfffffff008122968: c07affb0  adrp	x0, #0xfffffff00707b000
0xfffffff00812296c: 00dc3a91  add	x0, x0, #0xeb7
0xfffffff008122970: e7c60d94  bl	#0xfffffff00849450c
0xfffffff008122974: 0f000014  b	#0xfffffff0081229b0
0xfffffff008122978: 683a4079  ldrh	w8, [x19, #0x1c]
0xfffffff00812297c: a9258252  mov	w9, #0x112d
0xfffffff008122980: 2a7bfff0  adrp	x10, #0xfffffff007089000
0xfffffff008122984: 4af13b91  add	x10, x10, #0xefc
0xfffffff008122988: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00812298c: f30700f9  str	x19, [sp, #8]
0xfffffff008122990: 0e000014  b	#0xfffffff0081229c8
0xfffffff008122994: 08384079  ldrh	w8, [x0, #0x1c]
0xfffffff008122998: a9258252  mov	w9, #0x112d
0xfffffff00812299c: 2a7bfff0  adrp	x10, #0xfffffff007089000
0xfffffff0081229a0: 4af13b91  add	x10, x10, #0xefc
0xfffffff0081229a4: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0081229a8: e00700f9  str	x0, [sp, #8]
0xfffffff0081229ac: 07000014  b	#0xfffffff0081229c8
0xfffffff0081229b0: 883a4079  ldrh	w8, [x20, #0x1c]
0xfffffff0081229b4: a9258252  mov	w9, #0x112d
0xfffffff0081229b8: 2a7bfff0  adrp	x10, #0xfffffff007089000
0xfffffff0081229bc: 4af13b91  add	x10, x10, #0xefc
0xfffffff0081229c0: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0081229c4: f40700f9  str	x20, [sp, #8]
0xfffffff0081229c8: e80300f9  str	x8, [sp]
0xfffffff0081229cc: 207bfff0  adrp	x0, #0xfffffff007089000
0xfffffff0081229d0: 00ac3f91  add	x0, x0, #0xfeb
0xfffffff0081229d4: cec60d94  bl	#0xfffffff00849450c
0xfffffff0081229d8: c87affb0  adrp	x8, #0xfffffff00707b000
0xfffffff0081229dc: 087d3b91  add	x8, x8, #0xedf
0xfffffff0081229e0: 29cd8052  mov	w9, #0x669
0xfffffff0081229e4: e82700a9  stp	x8, x9, [sp]
