; Candidate 1020
; ADRP+ADD at VM 0xfffffff00817dbf4 (fileoff 0x1179bf4): page=0x2033000 add_imm=0xe98

0xfffffff00817db74: 43060054  b.lo	#0xfffffff00817dc3c
0xfffffff00817db78: 880101f0  adrp	x8, #0xfffffff00a1b0000
0xfffffff00817db7c: 08b94eb9  ldr	w8, [x8, #0xeb8]
0xfffffff00817db80: e805f836  tbz	w8, #0x1f, #0xfffffff00817dc3c
0xfffffff00817db84: 890401f0  adrp	x9, #0xfffffff00a210000
0xfffffff00817db88: 295d45f9  ldr	x9, [x9, #0xab8]
0xfffffff00817db8c: 890500b4  cbz	x9, #0xfffffff00817dc3c
0xfffffff00817db90: 28035037  tbnz	w8, #0xa, #0xfffffff00817dbf4
0xfffffff00817db94: 81d038d5  mrs	x1, tpidr_el1
0xfffffff00817db98: 284841b9  ldr	w8, [x1, #0x148]
0xfffffff00817db9c: 08050011  add	w8, w8, #1
0xfffffff00817dba0: 284801b9  str	w8, [x1, #0x148]
0xfffffff00817dba4: 48060190  adrp	x8, #0xfffffff00a245000
0xfffffff00817dba8: 08a10391  add	x8, x8, #0xe8
0xfffffff00817dbac: 097d5fc8  ldxr	x9, [x8]
0xfffffff00817dbb0: 490500b5  cbnz	x9, #0xfffffff00817dc58
0xfffffff00817dbb4: 017de9c8  casa	x9, x1, [x8]
0xfffffff00817dbb8: 3f0100f1  cmp	x9, #0
0xfffffff00817dbbc: 01050054  b.ne	#0xfffffff00817dc5c
0xfffffff00817dbc0: 880101f0  adrp	x8, #0xfffffff00a1b0000
0xfffffff00817dbc4: 187547f9  ldr	x24, [x8, #0xee8]
0xfffffff00817dbc8: 40060190  adrp	x0, #0xfffffff00a245000
0xfffffff00817dbcc: 00a00391  add	x0, x0, #0xe8
0xfffffff00817dbd0: edc7f097  bl	#0xfffffff007dafb84
0xfffffff00817dbd4: 180100b4  cbz	x24, #0xfffffff00817dbf4
0xfffffff00817dbd8: 088342a9  ldp	x8, x0, [x24, #0x28]
0xfffffff00817dbdc: 41008052  mov	w1, #2
0xfffffff00817dbe0: 020080d2  mov	x2, #0
0xfffffff00817dbe4: 314698d2  mov	x17, #0xc231
0xfffffff00817dbe8: 11093fd7  blraa	x8, x17
0xfffffff00817dbec: 182740f9  ldr	x24, [x24, #0x48]
0xfffffff00817dbf0: 58ffffb5  cbnz	x24, #0xfffffff00817dbd8
0xfffffff00817dbf4: 800101f0  adrp	x0, #0xfffffff00a1b0000
0xfffffff00817dbf8: 00603a91  add	x0, x0, #0xe98
0xfffffff00817dbfc: 810401f0  adrp	x1, #0xfffffff00a210000
0xfffffff00817dc00: 21602a91  add	x1, x1, #0xa98
0xfffffff00817dc04: e20317aa  mov	x2, x23
0xfffffff00817dc08: e30315aa  mov	x3, x21
0xfffffff00817dc0c: e40316aa  mov	x4, x22
0xfffffff00817dc10: e50314aa  mov	x5, x20
0xfffffff00817dc14: e60313aa  mov	x6, x19
0xfffffff00817dc18: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00817dc1c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00817dc20: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00817dc24: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00817dc28: ff2303d5  autibsp	
0xfffffff00817dc2c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00817dc30: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00817dc38
0xfffffff00817dc34: 208e38d4  brk	#0xc471
0xfffffff00817dc38: edf5ff17  b	#0xfffffff00817b3ec
0xfffffff00817dc3c: bf0200f9  str	xzr, [x21]
0xfffffff00817dc40: c0028052  mov	w0, #0x16
0xfffffff00817dc44: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00817dc48: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00817dc4c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00817dc50: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00817dc54: ff0f5fd6  retab	
0xfffffff00817dc58: 5f2003d5  wfe	
0xfffffff00817dc5c: 40060190  adrp	x0, #0xfffffff00a245000
0xfffffff00817dc60: 00a00391  add	x0, x0, #0xe8
0xfffffff00817dc64: c2baffb0  adrp	x2, #0xfffffff0078d6000
0xfffffff00817dc68: 42403791  add	x2, x2, #0xdd0
0xfffffff00817dc6c: 36c7f097  bl	#0xfffffff007daf944
0xfffffff00817dc70: d4ffff17  b	#0xfffffff00817dbc0
