; Candidate 10594
; ADRP+ADD at VM 0xfffffff008ddf180 (fileoff 0x1ddb180): page=0x1fe5e5000 add_imm=0xd54

0xfffffff008ddf100: 88050034  cbz	w8, #0xfffffff008ddf1b0
0xfffffff008ddf104: 8068ffd0  adrp	x0, #0xfffffff007af1000
0xfffffff008ddf108: 00002b91  add	x0, x0, #0xac0
0xfffffff008ddf10c: fadcd597  bl	#0xfffffff0083564f4
0xfffffff008ddf110: f50300aa  mov	x21, x0
0xfffffff008ddf114: 002fffd0  adrp	x0, #0xfffffff0073c1000
0xfffffff008ddf118: 00681591  add	x0, x0, #0x55a
0xfffffff008ddf11c: 162fffd0  adrp	x22, #0xfffffff0073c1000
0xfffffff008ddf120: d64a0d91  add	x22, x22, #0x352
0xfffffff008ddf124: 052fffd0  adrp	x5, #0xfffffff0073c1000
0xfffffff008ddf128: a5b81791  add	x5, x5, #0x5ee
0xfffffff008ddf12c: e10315aa  mov	x1, x21
0xfffffff008ddf130: 82028052  mov	w2, #0x14
0xfffffff008ddf134: e30316aa  mov	x3, x22
0xfffffff008ddf138: 04108052  mov	w4, #0x80
0xfffffff008ddf13c: ba1e0094  bl	#0xfffffff008de6c24
0xfffffff008ddf140: 950500b4  cbz	x21, #0xfffffff008ddf1f0
0xfffffff008ddf144: e85343b8  ldur	w8, [sp, #0x35]
0xfffffff008ddf148: 8002c03d  ldr	q0, [x20]
0xfffffff008ddf14c: a002803d  str	q0, [x21]
0xfffffff008ddf150: a81200b9  str	w8, [x21, #0x10]
0xfffffff008ddf154: 16008052  mov	w22, #0
0xfffffff008ddf158: 730000b4  cbz	x19, #0xfffffff008ddf164
0xfffffff008ddf15c: e8d34039  ldrb	w8, [sp, #0x34]
0xfffffff008ddf160: 68020039  strb	w8, [x19]
0xfffffff008ddf164: 48018052  mov	w8, #0xa
0xfffffff008ddf168: 69034039  ldrb	w9, [x27]
0xfffffff008ddf16c: 1f01096b  cmp	w8, w9
0xfffffff008ddf170: e3000054  b.lo	#0xfffffff008ddf18c
0xfffffff008ddf174: c87e4093  sxtw	x8, w22
0xfffffff008ddf178: fa6700a9  stp	x26, x25, [sp]
0xfffffff008ddf17c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008ddf180: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf184: 00503591  add	x0, x0, #0xd54
0xfffffff008ddf188: a6dfd597  bl	#0xfffffff008357020
0xfffffff008ddf18c: e00315aa  mov	x0, x21
0xfffffff008ddf190: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008ddf194: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008ddf198: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008ddf19c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008ddf1a0: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff008ddf1a4: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff008ddf1a8: ff830291  add	sp, sp, #0xa0
0xfffffff008ddf1ac: ff0f5fd6  retab	
0xfffffff008ddf1b0: c80f8052  mov	w8, #0x7e
0xfffffff008ddf1b4: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf1b8: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf1bc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ddf1c0: 082fffd0  adrp	x8, #0xfffffff0073c1000
0xfffffff008ddf1c4: 08611991  add	x8, x8, #0x658
0xfffffff008ddf1c8: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf1cc: 4a111991  add	x10, x10, #0x644
0xfffffff008ddf1d0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf1d4: ea0300f9  str	x10, [sp]
0xfffffff008ddf1d8: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf1dc: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf1e0: 90dfd597  bl	#0xfffffff008357020
0xfffffff008ddf1e4: 16008052  mov	w22, #0
0xfffffff008ddf1e8: 150080d2  mov	x21, #0
0xfffffff008ddf1ec: deffff17  b	#0xfffffff008ddf164
0xfffffff008ddf1f0: 28108052  mov	w8, #0x81
0xfffffff008ddf1f4: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff008ddf1f8: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf1fc: 08493991  add	x8, x8, #0xe52
