; Candidate 6222
; ADRP+ADD at VM 0xfffffff00881b4ac (fileoff 0x18174ac): page=0x1fe9ce000 add_imm=0xe80

0xfffffff00881b42c: 69468152  mov	w9, #0xa33
0xfffffff00881b430: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881b434: 2850ff90  adrp	x8, #0xfffffff00721f000
0xfffffff00881b438: 08911491  add	x8, x8, #0x524
0xfffffff00881b43c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881b440: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881b444: 880e8052  mov	w8, #0x74
0xfffffff00881b448: 2050ff90  adrp	x0, #0xfffffff00721f000
0xfffffff00881b44c: 00141f91  add	x0, x0, #0x7c5
0xfffffff00881b450: b2feff17  b	#0xfffffff00881af18
0xfffffff00881b454: 56630294  bl	#0xfffffff0088b41ac
0xfffffff00881b458: f90300aa  mov	x25, x0
0xfffffff00881b45c: 80008052  mov	w0, #4
0xfffffff00881b460: fc800194  bl	#0xfffffff00887b850
0xfffffff00881b464: e80318aa  mov	x8, x24
0xfffffff00881b468: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881b46c: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881b470: e80316aa  mov	x8, x22
0xfffffff00881b474: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881b478: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881b47c: a84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff00881b480: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881b484: c9458152  mov	w9, #0xa2e
0xfffffff00881b488: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881b48c: 2850ff90  adrp	x8, #0xfffffff00721f000
0xfffffff00881b490: 08911491  add	x8, x8, #0x524
0xfffffff00881b494: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881b498: 880e8052  mov	w8, #0x74
0xfffffff00881b49c: 6351ffd0  adrp	x3, #0xfffffff007249000
0xfffffff00881b4a0: 63a02091  add	x3, x3, #0x828
0xfffffff00881b4a4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881b4a8: f90300f9  str	x25, [sp]
0xfffffff00881b4ac: 604effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881b4b0: 00003a91  add	x0, x0, #0xe80
0xfffffff00881b4b4: 618fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881b4b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881b4bc: 02008052  mov	w2, #0
0xfffffff00881b4c0: 1c5fec97  bl	#0xfffffff008333130
0xfffffff00881b4c4: fefaff17  b	#0xfffffff00881a0bc
0xfffffff00881b4c8: 687e4491  add	x8, x19, #0x11f, lsl #12
0xfffffff00881b4cc: 08b13091  add	x8, x8, #0xc2c
0xfffffff00881b4d0: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00881b4d4: 69e640b9  ldr	w9, [x19, #0xe4]
0xfffffff00881b4d8: ea4740f9  ldr	x10, [sp, #0x88]
0xfffffff00881b4dc: 4aa11891  add	x10, x10, #0x628
0xfffffff00881b4e0: 3f010071  cmp	w9, #0
0xfffffff00881b4e4: 4801889a  csel	x8, x10, x8, eq
0xfffffff00881b4e8: 080140b9  ldr	w8, [x8]
0xfffffff00881b4ec: 01210011  add	w1, w8, #8
0xfffffff00881b4f0: b21aff97  bl	#0xfffffff0087e1fb8
0xfffffff00881b4f4: a0070034  cbz	w0, #0xfffffff00881b5e8
0xfffffff00881b4f8: f80300aa  mov	x24, x0
0xfffffff00881b4fc: 800e8052  mov	w0, #0x74
0xfffffff00881b500: 81008052  mov	w1, #4
0xfffffff00881b504: b3800194  bl	#0xfffffff00887b7d0
0xfffffff00881b508: a05dff34  cbz	w0, #0xfffffff00881a0bc
0xfffffff00881b50c: 800e8052  mov	w0, #0x74
0xfffffff00881b510: c2800194  bl	#0xfffffff00887b818
0xfffffff00881b514: fa0300aa  mov	x26, x0
0xfffffff00881b518: 25630294  bl	#0xfffffff0088b41ac
0xfffffff00881b51c: f90300aa  mov	x25, x0
0xfffffff00881b520: 80008052  mov	w0, #4
0xfffffff00881b524: cb800194  bl	#0xfffffff00887b850
0xfffffff00881b528: 9a0a0034  cbz	w26, #0xfffffff00881b678
