; Candidate 14986
; ADRP+ADD at VM 0xfffffff009a1bdcc (fileoff 0x2a17dcc): page=0x1fdbe8000 add_imm=0xcf9

0xfffffff009a1bd4c: 09011c32  orr	w9, w8, #0x10
0xfffffff009a1bd50: 694a01b9  str	w9, [x19, #0x148]
0xfffffff009a1bd54: 88044036  tbz	w8, #8, #0xfffffff009a1bde4
0xfffffff009a1bd58: 88424239  ldrb	w8, [x20, #0x90]
0xfffffff009a1bd5c: 08020036  tbz	w8, #0, #0xfffffff009a1bd9c
0xfffffff009a1bd60: 1dc79297  bl	#0xfffffff007ecd9d4
0xfffffff009a1bd64: c0010035  cbnz	w0, #0xfffffff009a1bd9c
0xfffffff009a1bd68: 683240b9  ldr	w8, [x19, #0x30]
0xfffffff009a1bd6c: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff009a1bd70: 0a3d0b53  ubfx	w10, w8, #0xb, #5
0xfffffff009a1bd74: 08290853  ubfx	w8, w8, #8, #3
0xfffffff009a1bd78: 6b5a4539  ldrb	w11, [x19, #0x156]
0xfffffff009a1bd7c: 6c5e4539  ldrb	w12, [x19, #0x157]
0xfffffff009a1bd80: 6d2a40b9  ldr	w13, [x19, #0x28]
0xfffffff009a1bd84: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff009a1bd88: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff009a1bd8c: ed2700a9  stp	x13, x9, [sp]
0xfffffff009a1bd90: 40dffe90  adrp	x0, #0xfffffff007603000
0xfffffff009a1bd94: 00e43391  add	x0, x0, #0xcf9
0xfffffff009a1bd98: a2eca497  bl	#0xfffffff008357020
0xfffffff009a1bd9c: 88424239  ldrb	w8, [x20, #0x90]
0xfffffff009a1bda0: c8010836  tbz	w8, #1, #0xfffffff009a1bdd8
0xfffffff009a1bda4: 683240b9  ldr	w8, [x19, #0x30]
0xfffffff009a1bda8: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff009a1bdac: 0a3d0b53  ubfx	w10, w8, #0xb, #5
0xfffffff009a1bdb0: 08290853  ubfx	w8, w8, #8, #3
0xfffffff009a1bdb4: 6b5a4539  ldrb	w11, [x19, #0x156]
0xfffffff009a1bdb8: 6c5e4539  ldrb	w12, [x19, #0x157]
0xfffffff009a1bdbc: 6d2a40b9  ldr	w13, [x19, #0x28]
0xfffffff009a1bdc0: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff009a1bdc4: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff009a1bdc8: ed2700a9  stp	x13, x9, [sp]
0xfffffff009a1bdcc: 40dffe90  adrp	x0, #0xfffffff007603000
0xfffffff009a1bdd0: 00e43391  add	x0, x0, #0xcf9
0xfffffff009a1bdd4: df4da997  bl	#0xfffffff00846f550
0xfffffff009a1bdd8: 684a41b9  ldr	w8, [x19, #0x148]
0xfffffff009a1bddc: 08711812  and	w8, w8, #0xffffff1f
0xfffffff009a1bde0: 684a01b9  str	w8, [x19, #0x148]
0xfffffff009a1bde4: e00314aa  mov	x0, x20
0xfffffff009a1bde8: e10313aa  mov	x1, x19
0xfffffff009a1bdec: 84eeff97  bl	#0xfffffff009a177fc
0xfffffff009a1bdf0: e00314aa  mov	x0, x20
0xfffffff009a1bdf4: e10313aa  mov	x1, x19
0xfffffff009a1bdf8: e20316aa  mov	x2, x22
0xfffffff009a1bdfc: 84fbff97  bl	#0xfffffff009a1ac0c
0xfffffff009a1be00: e00314aa  mov	x0, x20
0xfffffff009a1be04: e10313aa  mov	x1, x19
0xfffffff009a1be08: c0eeff97  bl	#0xfffffff009a17908
0xfffffff009a1be0c: e00314aa  mov	x0, x20
0xfffffff009a1be10: e10313aa  mov	x1, x19
0xfffffff009a1be14: 0dffff97  bl	#0xfffffff009a1ba48
0xfffffff009a1be18: 350800b5  cbnz	x21, #0xfffffff009a1bf1c
0xfffffff009a1be1c: 694a41b9  ldr	w9, [x19, #0x148]
0xfffffff009a1be20: e9072837  tbnz	w9, #5, #0xfffffff009a1bf1c
0xfffffff009a1be24: 680640f9  ldr	x8, [x19, #8]
0xfffffff009a1be28: e80000b4  cbz	x8, #0xfffffff009a1be44
0xfffffff009a1be2c: 094941b9  ldr	w9, [x8, #0x148]
0xfffffff009a1be30: 29791a12  and	w9, w9, #0xffffffdf
0xfffffff009a1be34: 094901b9  str	w9, [x8, #0x148]
0xfffffff009a1be38: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff009a1be3c: 88ffffb5  cbnz	x8, #0xfffffff009a1be2c
0xfffffff009a1be40: 694a41b9  ldr	w9, [x19, #0x148]
0xfffffff009a1be44: 28791912  and	w8, w9, #0xffffffbf
0xfffffff009a1be48: 684a01b9  str	w8, [x19, #0x148]
