; Candidate 9817
; ADRP+ADD at VM 0xfffffff008b48680 (fileoff 0x1b44680): page=0x1799000 add_imm=0xed0

0xfffffff008b48600: e00313aa  mov	x0, x19
0xfffffff008b48604: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b48608: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008b4860c: ff2303d5  autibsp	
0xfffffff008b48610: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b48614: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b4861c
0xfffffff008b48618: 208e38d4  brk	#0xc471
0xfffffff008b4861c: cc7bde17  b	#0xfffffff0082e754c
0xfffffff008b48620: 7f2303d5  pacibsp	
0xfffffff008b48624: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008b48628: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008b4862c: fd430091  add	x29, sp, #0x10
0xfffffff008b48630: f30300aa  mov	x19, x0
0xfffffff008b48634: cfffff97  bl	#0xfffffff008b48570
0xfffffff008b48638: 207aff90  adrp	x0, #0xfffffff007a8c000
0xfffffff008b4863c: 00001c91  add	x0, x0, #0x700
0xfffffff008b48640: e10313aa  mov	x1, x19
0xfffffff008b48644: 02068052  mov	w2, #0x30
0xfffffff008b48648: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b4864c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008b48650: ff2303d5  autibsp	
0xfffffff008b48654: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b48658: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b48660
0xfffffff008b4865c: 208e38d4  brk	#0xc471
0xfffffff008b48660: 0f7cde17  b	#0xfffffff0082e769c
0xfffffff008b48664: 5f2403d5  bti	c
0xfffffff008b48668: e20301aa  mov	x2, x1
0xfffffff008b4866c: e10300aa  mov	x1, x0
0xfffffff008b48670: 207aff90  adrp	x0, #0xfffffff007a8c000
0xfffffff008b48674: 00001c91  add	x0, x0, #0x700
0xfffffff008b48678: 097cde17  b	#0xfffffff0082e769c
0xfffffff008b4867c: 5f2403d5  bti	c
0xfffffff008b48680: c0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b48684: 00403b91  add	x0, x0, #0xed0
0xfffffff008b48688: c0035fd6  ret	
0xfffffff008b4868c: 7f2303d5  pacibsp	
0xfffffff008b48690: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b48694: fd030091  mov	x29, sp
0xfffffff008b48698: e13dff90  adrp	x1, #0xfffffff007304000
0xfffffff008b4869c: 21383e91  add	x1, x1, #0xf8e
0xfffffff008b486a0: c2bc00b0  adrp	x2, #0xfffffff00a2e1000
0xfffffff008b486a4: 42603991  add	x2, x2, #0xe58
0xfffffff008b486a8: 03068052  mov	w3, #0x30
0xfffffff008b486ac: 236dde97  bl	#0xfffffff0082e3b38
0xfffffff008b486b0: 107affd0  adrp	x16, #0xfffffff007a8a000
0xfffffff008b486b4: 10a23f91  add	x16, x16, #0xfe8
0xfffffff008b486b8: 10420091  add	x16, x16, #0x10
0xfffffff008b486bc: f10300aa  mov	x17, x0
0xfffffff008b486c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b486c4: 300ac1da  pacda	x16, x17
0xfffffff008b486c8: 100000f9  str	x16, [x0]
0xfffffff008b486cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008b486d0: ff0f5fd6  retab	
0xfffffff008b486d4: 7f2303d5  pacibsp	
0xfffffff008b486d8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008b486dc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008b486e0: fd430091  add	x29, sp, #0x10
0xfffffff008b486e4: 207aff90  adrp	x0, #0xfffffff007a8c000
0xfffffff008b486e8: 00001c91  add	x0, x0, #0x700
0xfffffff008b486ec: 01068052  mov	w1, #0x30
0xfffffff008b486f0: d27bde97  bl	#0xfffffff0082e7638
0xfffffff008b486f4: f30300aa  mov	x19, x0
0xfffffff008b486f8: d4bc00b0  adrp	x20, #0xfffffff00a2e1000
0xfffffff008b486fc: 94423b91  add	x20, x20, #0xed0
