; Candidate 6123
; ADRP+ADD at VM 0xfffffff008815d78 (fileoff 0x1811d78): page=0x1fe9d4000 add_imm=0xe80

0xfffffff008815cf8: 00050034  cbz	w0, #0xfffffff008815d98
0xfffffff008815cfc: 800e8052  mov	w0, #0x74
0xfffffff008815d00: c6960194  bl	#0xfffffff00887b818
0xfffffff008815d04: f70300aa  mov	x23, x0
0xfffffff008815d08: 29790294  bl	#0xfffffff0088b41ac
0xfffffff008815d0c: f60300aa  mov	x22, x0
0xfffffff008815d10: 00018052  mov	w0, #8
0xfffffff008815d14: cf960194  bl	#0xfffffff00887b850
0xfffffff008815d18: 97010034  cbz	w23, #0xfffffff008815d48
0xfffffff008815d1c: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff008815d20: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815d24: 08b52291  add	x8, x8, #0x8ad
0xfffffff008815d28: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008815d2c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008815d30: 880e8052  mov	w8, #0x74
0xfffffff008815d34: e04fffd0  adrp	x0, #0xfffffff007213000
0xfffffff008815d38: 00b43791  add	x0, x0, #0xded
0xfffffff008815d3c: f62300a9  stp	x22, x8, [sp]
0xfffffff008815d40: c885d697  bl	#0xfffffff007db7460
0xfffffff008815d44: 15000014  b	#0xfffffff008815d98
0xfffffff008815d48: 19790294  bl	#0xfffffff0088b41ac
0xfffffff008815d4c: f60300aa  mov	x22, x0
0xfffffff008815d50: 00018052  mov	w0, #8
0xfffffff008815d54: bf960194  bl	#0xfffffff00887b850
0xfffffff008815d58: e80315aa  mov	x8, x21
0xfffffff008815d5c: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff008815d60: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815d64: 08b52291  add	x8, x8, #0x8ad
0xfffffff008815d68: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008815d6c: 880e8052  mov	w8, #0x74
0xfffffff008815d70: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008815d74: f60300f9  str	x22, [sp]
0xfffffff008815d78: a04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008815d7c: 00003a91  add	x0, x0, #0xe80
0xfffffff008815d80: 818ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008815d84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008815d88: 8351fff0  adrp	x3, #0xfffffff007248000
0xfffffff008815d8c: 63681b91  add	x3, x3, #0x6da
0xfffffff008815d90: 02008052  mov	w2, #0
0xfffffff008815d94: e774ec97  bl	#0xfffffff008333130
0xfffffff008815d98: e00315aa  mov	x0, x21
0xfffffff008815d9c: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008815da0: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008815da4: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008815da8: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff008815dac: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff008815db0: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff008815db4: ff030391  add	sp, sp, #0xc0
0xfffffff008815db8: ff0f5fd6  retab	
0xfffffff008815dbc: 7f2303d5  pacibsp	
0xfffffff008815dc0: ff4303d1  sub	sp, sp, #0xd0
0xfffffff008815dc4: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff008815dc8: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff008815dcc: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff008815dd0: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008815dd4: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff008815dd8: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008815ddc: fd030391  add	x29, sp, #0xc0
0xfffffff008815de0: f40301aa  mov	x20, x1
0xfffffff008815de4: f30300aa  mov	x19, x0
0xfffffff008815de8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008815dec: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008815df0: 800e8052  mov	w0, #0x74
0xfffffff008815df4: 01018052  mov	w1, #8
