; Candidate 10358
; ADRP+ADD at VM 0xfffffff008d18424 (fileoff 0x1d14424): page=0x1fe664000 add_imm=0xd4c

0xfffffff008d183a4: 10620691  add	x16, x16, #0x198
0xfffffff008d183a8: 10420091  add	x16, x16, #0x10
0xfffffff008d183ac: f10300aa  mov	x17, x0
0xfffffff008d183b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d183b4: 300ac1da  pacda	x16, x17
0xfffffff008d183b8: 100000f9  str	x16, [x0]
0xfffffff008d183bc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d183c0: ff0f5fd6  retab	
0xfffffff008d183c4: 5f2403d5  bti	c
0xfffffff008d183c8: 60ae00f0  adrp	x0, #0xfffffff00a2e7000
0xfffffff008d183cc: 00003c91  add	x0, x0, #0xf00
0xfffffff008d183d0: c930d717  b	#0xfffffff0082e46f4
0xfffffff008d183d4: 7f2303d5  pacibsp	
0xfffffff008d183d8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d183dc: fd030091  mov	x29, sp
0xfffffff008d183e0: 3f0c0071  cmp	w1, #3
0xfffffff008d183e4: 08020054  b.hi	#0xfffffff008d18424
0xfffffff008d183e8: 08428252  mov	w8, #0x1210
0xfffffff008d183ec: 09408252  mov	w9, #0x1200
0xfffffff008d183f0: f003012a  mov	w16, w1
0xfffffff008d183f4: 1f0e00f1  cmp	x16, #3
0xfffffff008d183f8: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008d183fc: 11000090  adrp	x17, #0xfffffff008d18000
0xfffffff008d18400: 31d21591  add	x17, x17, #0x574
0xfffffff008d18404: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008d18408: 11000010  adr	x17, #0xfffffff008d18408
0xfffffff008d1840c: 3002108b  add	x16, x17, x16
0xfffffff008d18410: 00021fd6  br	x16
0xfffffff008d18414: 9f2403d5  bti	j
0xfffffff008d18418: 08628252  mov	w8, #0x1310
0xfffffff008d1841c: 09608252  mov	w9, #0x1300
0xfffffff008d18420: 10000014  b	#0xfffffff008d18460
0xfffffff008d18424: 2033ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d18428: 00303591  add	x0, x0, #0xd4c
0xfffffff008d1842c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d18430: ff2303d5  autibsp	
0xfffffff008d18434: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008d18438: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008d18440
0xfffffff008d1843c: 208e38d4  brk	#0xc471
0xfffffff008d18440: ef5f0014  b	#0xfffffff008d303fc
0xfffffff008d18444: 9f2403d5  bti	j
0xfffffff008d18448: 08468252  mov	w8, #0x1230
0xfffffff008d1844c: 09448252  mov	w9, #0x1220
0xfffffff008d18450: 04000014  b	#0xfffffff008d18460
0xfffffff008d18454: 9f2403d5  bti	j
0xfffffff008d18458: 08668252  mov	w8, #0x1330
0xfffffff008d1845c: 09648252  mov	w9, #0x1320
0xfffffff008d18460: 9f2403d5  bti	j
0xfffffff008d18464: 4a40238b  add	x10, x2, w3, uxtw
0xfffffff008d18468: 4a0102eb  subs	x10, x10, x2
0xfffffff008d1846c: e3070054  b.lo	#0xfffffff008d18568
0xfffffff008d18470: 4bfd60d3  lsr	x11, x10, #0x20
0xfffffff008d18474: ab0700b5  cbnz	x11, #0xfffffff008d18568
0xfffffff008d18478: 5f010beb  cmp	x10, x11
0xfffffff008d1847c: a0060054  b.eq	#0xfffffff008d18550
0xfffffff008d18480: 4c000bab  adds	x12, x2, x11
0xfffffff008d18484: ee379f1a  cset	w14, hs
0xfffffff008d18488: cd014093  sbfx	x13, x14, #0, #1
0xfffffff008d1848c: ae010eca  eor	x14, x13, x14
0xfffffff008d18490: 6e0600b5  cbnz	x14, #0xfffffff008d1855c
0xfffffff008d18494: 4d06f8b7  tbnz	x13, #0x3f, #0xfffffff008d1855c
0xfffffff008d18498: 8c014039  ldrb	w12, [x12]
0xfffffff008d1849c: 2c692b38  strb	w12, [x9, x11]
0xfffffff008d184a0: 6b050091  add	x11, x11, #1
