; Candidate 15251
; ADRP+ADD at VM 0xfffffff009b440d8 (fileoff 0x2b400d8): page=0x1fdae5000 add_imm=0xd7e

0xfffffff009b44058: ff030291  add	sp, sp, #0x80
0xfffffff009b4405c: ff0f5fd6  retab	
0xfffffff009b44060: 608641f9  ldr	x0, [x19, #0x308]
0xfffffff009b44064: 100040f9  ldr	x16, [x0]
0xfffffff009b44068: f10300aa  mov	x17, x0
0xfffffff009b4406c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b44070: 301ac1da  autda	x16, x17
0xfffffff009b44074: 117a80d2  mov	x17, #0x3d0
0xfffffff009b44078: 1002118b  add	x16, x16, x17
0xfffffff009b4407c: 080240f9  ldr	x8, [x16]
0xfffffff009b44080: e90310aa  mov	x9, x16
0xfffffff009b44084: 01008052  mov	w1, #0
0xfffffff009b44088: 02008052  mov	w2, #0
0xfffffff009b4408c: f10309aa  mov	x17, x9
0xfffffff009b44090: b1a5faf2  movk	x17, #0xd52d, lsl #48
0xfffffff009b44094: 11093fd7  blraa	x8, x17
0xfffffff009b44098: 608a01f9  str	x0, [x19, #0x310]
0xfffffff009b4409c: 601100b4  cbz	x0, #0xfffffff009b442c8
0xfffffff009b440a0: 100040f9  ldr	x16, [x0]
0xfffffff009b440a4: f10300aa  mov	x17, x0
0xfffffff009b440a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b440ac: 301ac1da  autda	x16, x17
0xfffffff009b440b0: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff009b440b4: e90310aa  mov	x9, x16
0xfffffff009b440b8: f10309aa  mov	x17, x9
0xfffffff009b440bc: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff009b440c0: 11093fd7  blraa	x8, x17
0xfffffff009b440c4: f50300aa  mov	x21, x0
0xfffffff009b440c8: 608e01f9  str	x0, [x19, #0x318]
0xfffffff009b440cc: 608a41f9  ldr	x0, [x19, #0x310]
0xfffffff009b440d0: d740a297  bl	#0xfffffff0083d442c
0xfffffff009b440d4: f50300a9  stp	x21, x0, [sp]
0xfffffff009b440d8: 20d7feb0  adrp	x0, #0xfffffff007629000
0xfffffff009b440dc: 00f83591  add	x0, x0, #0xd7e
0xfffffff009b440e0: 1cada497  bl	#0xfffffff00846f550
0xfffffff009b440e4: e00313aa  mov	x0, x19
0xfffffff009b440e8: ab020094  bl	#0xfffffff009b44b94
0xfffffff009b440ec: 60140036  tbz	w0, #0, #0xfffffff009b44378
0xfffffff009b440f0: 100000b0  adrp	x16, #0xfffffff009b45000
0xfffffff009b440f4: 10922791  add	x16, x16, #0x9e4
0xfffffff009b440f8: f15e82d2  mov	x17, #0x12f7
0xfffffff009b440fc: 3002c1da  pacia	x16, x17
0xfffffff009b44100: e10310aa  mov	x1, x16
0xfffffff009b44104: 100000d0  adrp	x16, #0xfffffff009b46000
0xfffffff009b44108: 10823091  add	x16, x16, #0xc20
0xfffffff009b4410c: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009b44110: 3002c1da  pacia	x16, x17
0xfffffff009b44114: e20310aa  mov	x2, x16
0xfffffff009b44118: e00313aa  mov	x0, x19
0xfffffff009b4411c: e30314aa  mov	x3, x20
0xfffffff009b44120: 04008052  mov	w4, #0
0xfffffff009b44124: 8ddda197  bl	#0xfffffff0083bb758
0xfffffff009b44128: 609601f9  str	x0, [x19, #0x328]
0xfffffff009b4412c: 700240f9  ldr	x16, [x19]
0xfffffff009b44130: f10313aa  mov	x17, x19
0xfffffff009b44134: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b44138: 301ac1da  autda	x16, x17
0xfffffff009b4413c: f10310aa  mov	x17, x16
0xfffffff009b44140: f147c1da  xpacd	x17
0xfffffff009b44144: 1f0211eb  cmp	x16, x17
0xfffffff009b44148: 40000054  b.eq	#0xfffffff009b44150
0xfffffff009b4414c: 408e38d4  brk	#0xc472
0xfffffff009b44150: c02900b4  cbz	x0, #0xfffffff009b44688
0xfffffff009b44154: 08e20d91  add	x8, x16, #0x378
