; Candidate 16619
; ADRP+ADD at VM 0xfffffff009f047e8 (fileoff 0x2f007e8): page=0x1fd94e000 add_imm=0xde4

0xfffffff009f04768: 04018052  mov	w4, #8
0xfffffff009f0476c: 9c560194  bl	#0xfffffff009f5a1dc
0xfffffff009f04770: e7ffff17  b	#0xfffffff009f0470c
0xfffffff009f04774: 7f2303d5  pacibsp	
0xfffffff009f04778: ff8303d1  sub	sp, sp, #0xe0
0xfffffff009f0477c: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff009f04780: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff009f04784: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff009f04788: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff009f0478c: fd430391  add	x29, sp, #0xd0
0xfffffff009f04790: f40303aa  mov	x20, x3
0xfffffff009f04794: f80302aa  mov	x24, x2
0xfffffff009f04798: f50301aa  mov	x21, x1
0xfffffff009f0479c: f60300aa  mov	x22, x0
0xfffffff009f047a0: 7f0000f9  str	xzr, [x3]
0xfffffff009f047a4: bf831cf8  stur	xzr, [x29, #-0x38]
0xfffffff009f047a8: 210440f9  ldr	x1, [x1, #8]
0xfffffff009f047ac: a3e20291  add	x3, x21, #0xb8
0xfffffff009f047b0: 027c40f9  ldr	x2, [x0, #0xf8]
0xfffffff009f047b4: a5e300d1  sub	x5, x29, #0x38
0xfffffff009f047b8: e40318aa  mov	x4, x24
0xfffffff009f047bc: 1b79ff97  bl	#0xfffffff009ee2c28
0xfffffff009f047c0: e0010034  cbz	w0, #0xfffffff009f047fc
0xfffffff009f047c4: 083e8452  mov	w8, #0x21f0
0xfffffff009f047c8: c802088b  add	x8, x22, x8
0xfffffff009f047cc: a90640f9  ldr	x9, [x21, #8]
0xfffffff009f047d0: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff009f047d4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f047d8: 68cafed0  adrp	x8, #0xfffffff007852000
0xfffffff009f047dc: 08493891  add	x8, x8, #0xe12
0xfffffff009f047e0: a9a68a52  mov	w9, #0x5535
0xfffffff009f047e4: e82700a9  stp	x8, x9, [sp]
0xfffffff009f047e8: 60cafed0  adrp	x0, #0xfffffff007852000
0xfffffff009f047ec: 00903791  add	x0, x0, #0xde4
0xfffffff009f047f0: 35ecfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f047f4: 57008052  mov	w23, #2
0xfffffff009f047f8: 5e000014  b	#0xfffffff009f04970
0xfffffff009f047fc: b3835cf8  ldur	x19, [x29, #-0x38]
0xfffffff009f04800: 68424039  ldrb	w8, [x19, #0x10]
0xfffffff009f04804: 080b0837  tbnz	w8, #1, #0xfffffff009f04964
0xfffffff009f04808: 682a4079  ldrh	w8, [x19, #0x14]
0xfffffff009f0480c: 6802088b  add	x8, x19, x8
0xfffffff009f04810: 010d40f9  ldr	x1, [x8, #0x18]
0xfffffff009f04814: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009f04818: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff009f0481c: e023803d  str	q0, [sp, #0x80]
0xfffffff009f04820: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff009f04824: a3220391  add	x3, x21, #0xc8
0xfffffff009f04828: e4830191  add	x4, sp, #0x60
0xfffffff009f0482c: e00316aa  mov	x0, x22
0xfffffff009f04830: 020080d2  mov	x2, #0
0xfffffff009f04834: 05008052  mov	w5, #0
0xfffffff009f04838: 799bff97  bl	#0xfffffff009eeb61c
0xfffffff009f0483c: e0010034  cbz	w0, #0xfffffff009f04878
0xfffffff009f04840: f70300aa  mov	x23, x0
0xfffffff009f04844: 083e8452  mov	w8, #0x21f0
0xfffffff009f04848: c802088b  add	x8, x22, x8
0xfffffff009f0484c: a90640f9  ldr	x9, [x21, #8]
0xfffffff009f04850: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff009f04854: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f04858: 68cafed0  adrp	x8, #0xfffffff007852000
0xfffffff009f0485c: 08493891  add	x8, x8, #0xe12
0xfffffff009f04860: 89a88a52  mov	w9, #0x5544
0xfffffff009f04864: e82700a9  stp	x8, x9, [sp]
