; Candidate 6272
; ADRP+ADD at VM 0xfffffff00881e804 (fileoff 0x181a804): page=0x1fe9cb000 add_imm=0xe80

0xfffffff00881e784: e0050054  b.eq	#0xfffffff00881e840
0xfffffff00881e788: 9f360071  cmp	w20, #0xd
0xfffffff00881e78c: 01060054  b.ne	#0xfffffff00881e84c
0xfffffff00881e790: e00640ad  ldp	q0, q1, [x23]
0xfffffff00881e794: e82240b9  ldr	w8, [x23, #0x20]
0xfffffff00881e798: 088b00b9  str	w8, [x24, #0x88]
0xfffffff00881e79c: 0183873c  stur	q1, [x24, #0x78]
0xfffffff00881e7a0: 0083863c  stur	q0, [x24, #0x68]
0xfffffff00881e7a4: 2e000014  b	#0xfffffff00881e85c
0xfffffff00881e7a8: 81560294  bl	#0xfffffff0088b41ac
0xfffffff00881e7ac: f90300aa  mov	x25, x0
0xfffffff00881e7b0: 80008052  mov	w0, #4
0xfffffff00881e7b4: 27740194  bl	#0xfffffff00887b850
0xfffffff00881e7b8: e80318aa  mov	x8, x24
0xfffffff00881e7bc: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881e7c0: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881e7c4: e80316aa  mov	x8, x22
0xfffffff00881e7c8: ea0314aa  mov	x10, x20
0xfffffff00881e7cc: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881e7d0: e9ab03a9  stp	x9, x10, [sp, #0x38]
0xfffffff00881e7d4: 884fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881e7d8: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881e7dc: 699c8152  mov	w9, #0xce3
0xfffffff00881e7e0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881e7e4: 0850ffd0  adrp	x8, #0xfffffff007220000
0xfffffff00881e7e8: 08410091  add	x8, x8, #0x10
0xfffffff00881e7ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881e7f0: a80e8052  mov	w8, #0x75
0xfffffff00881e7f4: 6351ff90  adrp	x3, #0xfffffff00724a000
0xfffffff00881e7f8: 63641291  add	x3, x3, #0x499
0xfffffff00881e7fc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881e800: f90300f9  str	x25, [sp]
0xfffffff00881e804: 404efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881e808: 00003a91  add	x0, x0, #0xe80
0xfffffff00881e80c: 418fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881e810: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881e814: 02008052  mov	w2, #0
0xfffffff00881e818: 4652ec97  bl	#0xfffffff008333130
0xfffffff00881e81c: a1835af8  ldur	x1, [x29, #-0x58]
0xfffffff00881e820: 610000b4  cbz	x1, #0xfffffff00881e82c
0xfffffff00881e824: e00313aa  mov	x0, x19
0xfffffff00881e828: 36feff97  bl	#0xfffffff00881e100
0xfffffff00881e82c: a1035af8  ldur	x1, [x29, #-0x60]
0xfffffff00881e830: 610600b4  cbz	x1, #0xfffffff00881e8fc
0xfffffff00881e834: e00313aa  mov	x0, x19
0xfffffff00881e838: 85feff97  bl	#0xfffffff00881e24c
0xfffffff00881e83c: 30000014  b	#0xfffffff00881e8fc
0xfffffff00881e840: e80240b9  ldr	w8, [x23]
0xfffffff00881e844: 088f00b9  str	w8, [x24, #0x8c]
0xfffffff00881e848: 05000014  b	#0xfffffff00881e85c
0xfffffff00881e84c: 174b00f9  str	x23, [x24, #0x90]
0xfffffff00881e850: 770000b4  cbz	x23, #0xfffffff00881e85c
0xfffffff00881e854: fac640b9  ldr	w26, [x23, #0xc4]
0xfffffff00881e858: 02000014  b	#0xfffffff00881e860
0xfffffff00881e85c: 1a008012  mov	w26, #-1
0xfffffff00881e860: 60c20391  add	x0, x19, #0xf0
0xfffffff00881e864: e10318aa  mov	x1, x24
0xfffffff00881e868: f3440094  bl	#0xfffffff00882fc34
0xfffffff00881e86c: 792640f9  ldr	x25, [x19, #0x48]
0xfffffff00881e870: 00008052  mov	w0, #0
0xfffffff00881e874: a3b40094  bl	#0xfffffff00884bb00
0xfffffff00881e878: e20300aa  mov	x2, x0
0xfffffff00881e87c: 049741a9  ldp	x4, x5, [x24, #0x18]
0xfffffff00881e880: 084340b9  ldr	w8, [x24, #0x40]
