; Candidate 8064
; ADRP+ADD at VM 0xfffffff00889187c (fileoff 0x188d87c): page=0x1fe958000 add_imm=0xe80

0xfffffff0088917fc: 28000014  b	#0xfffffff00889189c
0xfffffff008891800: 00008052  mov	w0, #0
0xfffffff008891804: 610640f9  ldr	x1, [x19, #8]
0xfffffff008891808: 810000b4  cbz	x1, #0xfffffff008891818
0xfffffff00889180c: e00314aa  mov	x0, x20
0xfffffff008891810: 3f1a0094  bl	#0xfffffff00889810c
0xfffffff008891814: 7f0600f9  str	xzr, [x19, #8]
0xfffffff008891818: 610a40f9  ldr	x1, [x19, #0x10]
0xfffffff00889181c: 810000b4  cbz	x1, #0xfffffff00889182c
0xfffffff008891820: e00314aa  mov	x0, x20
0xfffffff008891824: 3a1a0094  bl	#0xfffffff00889810c
0xfffffff008891828: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff00889182c: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff008891830: 810300b4  cbz	x1, #0xfffffff0088918a0
0xfffffff008891834: e00314aa  mov	x0, x20
0xfffffff008891838: 351a0094  bl	#0xfffffff00889810c
0xfffffff00889183c: 7f0e00f9  str	xzr, [x19, #0x18]
0xfffffff008891840: 18000014  b	#0xfffffff0088918a0
0xfffffff008891844: 5a8a0094  bl	#0xfffffff0088b41ac
0xfffffff008891848: f50300aa  mov	x21, x0
0xfffffff00889184c: 80008052  mov	w0, #4
0xfffffff008891850: 00a8ff97  bl	#0xfffffff00887b850
0xfffffff008891854: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008891858: e84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff00889185c: 08a10d91  add	x8, x8, #0x368
0xfffffff008891860: 29808052  mov	w9, #0x401
0xfffffff008891864: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008891868: e84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff00889186c: 08ad1591  add	x8, x8, #0x56b
0xfffffff008891870: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008891874: 88098052  mov	w8, #0x4c
0xfffffff008891878: f52300a9  stp	x21, x8, [sp]
0xfffffff00889187c: c04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008891880: 00003a91  add	x0, x0, #0xe80
0xfffffff008891884: a18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008891888: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889188c: 634effb0  adrp	x3, #0xfffffff00725e000
0xfffffff008891890: 63ac2891  add	x3, x3, #0xa2b
0xfffffff008891894: 02008052  mov	w2, #0
0xfffffff008891898: 2686ea97  bl	#0xfffffff008333130
0xfffffff00889189c: 007d8012  mov	w0, #-0x3e9
0xfffffff0088918a0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0088918a4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0088918a8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0088918ac: ffc30191  add	sp, sp, #0x70
0xfffffff0088918b0: ff0f5fd6  retab	
0xfffffff0088918b4: 7f2303d5  pacibsp	
0xfffffff0088918b8: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088918bc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088918c0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088918c4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088918c8: fd830191  add	x29, sp, #0x60
0xfffffff0088918cc: 400500b4  cbz	x0, #0xfffffff008891974
0xfffffff0088918d0: f30302aa  mov	x19, x2
0xfffffff0088918d4: f40301aa  mov	x20, x1
0xfffffff0088918d8: f50300aa  mov	x21, x0
0xfffffff0088918dc: 411c0013  sxtb	w1, w2
0xfffffff0088918e0: e00314aa  mov	x0, x20
0xfffffff0088918e4: bba7ff97  bl	#0xfffffff00887b7d0
0xfffffff0088918e8: 800a0034  cbz	w0, #0xfffffff008891a38
0xfffffff0088918ec: a00240f9  ldr	x0, [x21]
0xfffffff0088918f0: e00000b4  cbz	x0, #0xfffffff00889190c
0xfffffff0088918f4: e34cffd0  adrp	x3, #0xfffffff00722f000
0xfffffff0088918f8: 630c1691  add	x3, x3, #0x583
