; Candidate 4206
; ADRP+ADD at VM 0xfffffff00879673c (fileoff 0x179273c): page=0x1fe99b000 add_imm=0xd90

0xfffffff0087966bc: 280100f9  str	x8, [x9]
0xfffffff0087966c0: 6093fff0  adrp	x0, #0xfffffff007a05000
0xfffffff0087966c4: 00a02a91  add	x0, x0, #0xaa8
0xfffffff0087966c8: e10313aa  mov	x1, x19
0xfffffff0087966cc: 1000ef97  bl	#0xfffffff00835670c
0xfffffff0087966d0: 02000014  b	#0xfffffff0087966d8
0xfffffff0087966d4: 15008052  mov	w21, #0
0xfffffff0087966d8: e00315aa  mov	x0, x21
0xfffffff0087966dc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087966e0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087966e4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0087966e8: ff0f5fd6  retab	
0xfffffff0087966ec: 7f2303d5  pacibsp	
0xfffffff0087966f0: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087966f4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087966f8: fd430091  add	x29, sp, #0x10
0xfffffff0087966fc: 0948228b  add	x9, x0, w2, uxtw #2
0xfffffff008796700: 284981b9  ldrsw	x8, [x9, #0x148]
0xfffffff008796704: 1f7d0071  cmp	w8, #0x1f
0xfffffff008796708: 4c010054  b.gt	#0xfffffff008796730
0xfffffff00879670c: ea03022a  mov	w10, w2
0xfffffff008796710: 29210591  add	x9, x9, #0x148
0xfffffff008796714: 0a1c0a8b  add	x10, x0, x10, lsl #7
0xfffffff008796718: 4809088b  add	x8, x10, x8, lsl #2
0xfffffff00879671c: 015101b9  str	w1, [x8, #0x150]
0xfffffff008796720: 280140b9  ldr	w8, [x9]
0xfffffff008796724: 08050011  add	w8, w8, #1
0xfffffff008796728: 280100b9  str	w8, [x9]
0xfffffff00879672c: 0c000014  b	#0xfffffff00879675c
0xfffffff008796730: 284effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008796734: 084d0791  add	x8, x8, #0x1d3
0xfffffff008796738: e80300f9  str	x8, [sp]
0xfffffff00879673c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796740: 00403691  add	x0, x0, #0xd90
0xfffffff008796744: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796748: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879674c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796750: 63101d91  add	x3, x3, #0x744
0xfffffff008796754: 02008052  mov	w2, #0
0xfffffff008796758: 7672ee97  bl	#0xfffffff008333130
0xfffffff00879675c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008796760: ff830091  add	sp, sp, #0x20
0xfffffff008796764: ff0f5fd6  retab	
0xfffffff008796768: 7f2303d5  pacibsp	
0xfffffff00879676c: ff8300d1  sub	sp, sp, #0x20
0xfffffff008796770: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008796774: fd430091  add	x29, sp, #0x10
0xfffffff008796778: 2944238b  add	x9, x1, w3, uxtw #1
0xfffffff00879677c: 282d4078  ldrh	w8, [x9, #2]!
0xfffffff008796780: 1f7d0071  cmp	w8, #0x1f
0xfffffff008796784: 08010054  b.hi	#0xfffffff0087967a4
0xfffffff008796788: ea03032a  mov	w10, w3
0xfffffff00879678c: 2a180a8b  add	x10, x1, x10, lsl #6
0xfffffff008796790: 4a05088b  add	x10, x10, x8, lsl #1
0xfffffff008796794: 420d0079  strh	w2, [x10, #6]
0xfffffff008796798: 08050011  add	w8, w8, #1
0xfffffff00879679c: 28010079  strh	w8, [x9]
0xfffffff0087967a0: 0c000014  b	#0xfffffff0087967d0
0xfffffff0087967a4: 294effb0  adrp	x9, #0xfffffff00715b000
0xfffffff0087967a8: 29c10791  add	x9, x9, #0x1f0
0xfffffff0087967ac: e92300a9  stp	x9, x8, [sp]
0xfffffff0087967b0: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087967b4: 00403691  add	x0, x0, #0xd90
0xfffffff0087967b8: 2193fff0  adrp	x1, #0xfffffff0079fd000
