; Candidate 12958
; ADRP+ADD at VM 0xfffffff009197000 (fileoff 0x2193000): page=0x1fe2ff000 add_imm=0xdf1

0xfffffff009196f80: 31093fd7  blraa	x9, x17
0xfffffff009196f84: 20008052  mov	w0, #1
0xfffffff009196f88: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009196f8c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009196f90: ffc30091  add	sp, sp, #0x30
0xfffffff009196f94: ff0f5fd6  retab	
0xfffffff009196f98: 7f2303d5  pacibsp	
0xfffffff009196f9c: ff8300d1  sub	sp, sp, #0x20
0xfffffff009196fa0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009196fa4: fd430091  add	x29, sp, #0x10
0xfffffff009196fa8: 3f940371  cmp	w1, #0xe5
0xfffffff009196fac: 81020054  b.ne	#0xfffffff009196ffc
0xfffffff009196fb0: 100040f9  ldr	x16, [x0]
0xfffffff009196fb4: f10300aa  mov	x17, x0
0xfffffff009196fb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009196fbc: 301ac1da  autda	x16, x17
0xfffffff009196fc0: 11a880d2  mov	x17, #0x540
0xfffffff009196fc4: 1002118b  add	x16, x16, x17
0xfffffff009196fc8: 080240f9  ldr	x8, [x16]
0xfffffff009196fcc: e20310aa  mov	x2, x16
0xfffffff009196fd0: f00308aa  mov	x16, x8
0xfffffff009196fd4: e10303aa  mov	x1, x3
0xfffffff009196fd8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009196fdc: ff830091  add	sp, sp, #0x20
0xfffffff009196fe0: ff2303d5  autibsp	
0xfffffff009196fe4: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009196fe8: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009196ff0
0xfffffff009196fec: 208e38d4  brk	#0xc471
0xfffffff009196ff0: f10302aa  mov	x17, x2
0xfffffff009196ff4: b120edf2  movk	x17, #0x6905, lsl #48
0xfffffff009196ff8: 110a1fd7  braa	x16, x17
0xfffffff009196ffc: e10300f9  str	x1, [sp]
0xfffffff009197000: e017fff0  adrp	x0, #0xfffffff007496000
0xfffffff009197004: 00c43791  add	x0, x0, #0xdf1
0xfffffff009197008: 0600c797  bl	#0xfffffff008357020
0xfffffff00919700c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009197010: ff830091  add	sp, sp, #0x20
0xfffffff009197014: ff0f5fd6  retab	
0xfffffff009197018: 7f2303d5  pacibsp	
0xfffffff00919701c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009197020: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009197024: fd430091  add	x29, sp, #0x10
0xfffffff009197028: f30301aa  mov	x19, x1
0xfffffff00919702c: f40300aa  mov	x20, x0
0xfffffff009197030: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff009197034: 010080d2  mov	x1, #0
0xfffffff009197038: 020080d2  mov	x2, #0
0xfffffff00919703c: 64ae0094  bl	#0xfffffff0091c29cc
0xfffffff009197040: a84eff90  adrp	x8, #0xfffffff007b6b000
0xfffffff009197044: 08d940f9  ldr	x8, [x8, #0x1b0]
0xfffffff009197048: 02210b91  add	x2, x8, #0x2c8
0xfffffff00919704c: 106541f9  ldr	x16, [x8, #0x2c8]
0xfffffff009197050: e00314aa  mov	x0, x20
0xfffffff009197054: e10313aa  mov	x1, x19
0xfffffff009197058: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00919705c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009197060: ff2303d5  autibsp	
0xfffffff009197064: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009197068: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009197070
0xfffffff00919706c: 208e38d4  brk	#0xc471
0xfffffff009197070: f10302aa  mov	x17, x2
0xfffffff009197074: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff009197078: 110a1fd7  braa	x16, x17
0xfffffff00919707c: 7f2303d5  pacibsp	
