; Candidate 8724
; ADRP+ADD at VM 0xfffffff0088c0084 (fileoff 0x18bc084): page=0x1fe975000 add_imm=0xd12

0xfffffff0088c0004: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0088c0008: fd030391  add	x29, sp, #0xc0
0xfffffff0088c000c: f50304aa  mov	x21, x4
0xfffffff0088c0010: f70303aa  mov	x23, x3
0xfffffff0088c0014: f60302aa  mov	x22, x2
0xfffffff0088c0018: f40301aa  mov	x20, x1
0xfffffff0088c001c: f30300aa  mov	x19, x0
0xfffffff0088c0020: 7a7c0011  add	w26, w3, #0x1f
0xfffffff0088c0024: 487f0553  lsr	w8, w26, #5
0xfffffff0088c0028: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff0088c002c: e0088052  mov	w0, #0x47
0xfffffff0088c0030: e1008052  mov	w1, #7
0xfffffff0088c0034: e7edfe97  bl	#0xfffffff00887b7d0
0xfffffff0088c0038: a0050034  cbz	w0, #0xfffffff0088c00ec
0xfffffff0088c003c: c87e0011  add	w8, w22, #0x1f
0xfffffff0088c0040: 1b7d0553  lsr	w27, w8, #5
0xfffffff0088c0044: e0088052  mov	w0, #0x47
0xfffffff0088c0048: f4edfe97  bl	#0xfffffff00887b818
0xfffffff0088c004c: f90300aa  mov	x25, x0
0xfffffff0088c0050: 57d0ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c0054: f80300aa  mov	x24, x0
0xfffffff0088c0058: e0008052  mov	w0, #7
0xfffffff0088c005c: fdedfe97  bl	#0xfffffff00887b850
0xfffffff0088c0060: d9010034  cbz	w25, #0xfffffff0088c0098
0xfffffff0088c0064: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088c0068: fba304a9  stp	x27, x8, [sp, #0x48]
0xfffffff0088c006c: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff0088c0070: f6df02a9  stp	x22, x23, [sp, #0x28]
0xfffffff0088c0074: e80314aa  mov	x8, x20
0xfffffff0088c0078: f5a301a9  stp	x21, x8, [sp, #0x18]
0xfffffff0088c007c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088c0080: e8088052  mov	w8, #0x47
0xfffffff0088c0084: a04bffb0  adrp	x0, #0xfffffff007235000
0xfffffff0088c0088: 00483491  add	x0, x0, #0xd12
0xfffffff0088c008c: f82300a9  stp	x24, x8, [sp]
0xfffffff0088c0090: f4dcd397  bl	#0xfffffff007db7460
0xfffffff0088c0094: 16000014  b	#0xfffffff0088c00ec
0xfffffff0088c0098: 45d0ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c009c: f80300aa  mov	x24, x0
0xfffffff0088c00a0: e0008052  mov	w0, #7
0xfffffff0088c00a4: ebedfe97  bl	#0xfffffff00887b850
0xfffffff0088c00a8: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088c00ac: fba304a9  stp	x27, x8, [sp, #0x48]
0xfffffff0088c00b0: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff0088c00b4: f6df02a9  stp	x22, x23, [sp, #0x28]
0xfffffff0088c00b8: e80314aa  mov	x8, x20
0xfffffff0088c00bc: f5a301a9  stp	x21, x8, [sp, #0x18]
0xfffffff0088c00c0: e8088052  mov	w8, #0x47
0xfffffff0088c00c4: 234dffd0  adrp	x3, #0xfffffff007266000
0xfffffff0088c00c8: 63802691  add	x3, x3, #0x9a0
0xfffffff0088c00cc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088c00d0: f80300f9  str	x24, [sp]
0xfffffff0088c00d4: 4049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c00d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c00dc: 418aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088c00e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c00e4: 02008052  mov	w2, #0
0xfffffff0088c00e8: 12cce997  bl	#0xfffffff008333130
0xfffffff0088c00ec: 60520f91  add	x0, x19, #0x3d4
0xfffffff0088c00f0: 01008052  mov	w1, #0
0xfffffff0088c00f4: 02208052  mov	w2, #0x100
0xfffffff0088c00f8: b232d297  bl	#0xfffffff007d4cbc0
0xfffffff0088c00fc: f33300f9  str	x19, [sp, #0x60]
0xfffffff0088c0100: 7fde04b9  str	wzr, [x19, #0x4dc]
