; Candidate 13840
; ADRP+ADD at VM 0xfffffff0095ae09c (fileoff 0x25aa09c): page=0x1fe63f000 add_imm=0xda8

0xfffffff0095ae01c: 610100b4  cbz	x1, #0xfffffff0095ae048
0xfffffff0095ae020: 280040f9  ldr	x8, [x1]
0xfffffff0095ae024: 290840f9  ldr	x9, [x1, #0x10]
0xfffffff0095ae028: 3f0100eb  cmp	x9, x0
0xfffffff0095ae02c: 60010054  b.eq	#0xfffffff0095ae058
0xfffffff0095ae030: 291c40b9  ldr	w9, [x1, #0x1c]
0xfffffff0095ae034: 3f01146b  cmp	w9, w20
0xfffffff0095ae038: 41000054  b.ne	#0xfffffff0095ae040
0xfffffff0095ae03c: 3f0c00f9  str	xzr, [x1, #0x18]
0xfffffff0095ae040: e10308aa  mov	x1, x8
0xfffffff0095ae044: e8feffb5  cbnz	x8, #0xfffffff0095ae020
0xfffffff0095ae048: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0095ae04c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0095ae050: ff030191  add	sp, sp, #0x40
0xfffffff0095ae054: ff0f5fd6  retab	
0xfffffff0095ae058: 680100b4  cbz	x8, #0xfffffff0095ae084
0xfffffff0095ae05c: 090540f9  ldr	x9, [x8, #8]
0xfffffff0095ae060: 3f0101eb  cmp	x9, x1
0xfffffff0095ae064: 81040054  b.ne	#0xfffffff0095ae0f4
0xfffffff0095ae068: 290440f9  ldr	x9, [x1, #8]
0xfffffff0095ae06c: 2a0140f9  ldr	x10, [x9]
0xfffffff0095ae070: 5f0101eb  cmp	x10, x1
0xfffffff0095ae074: 01030054  b.ne	#0xfffffff0095ae0d4
0xfffffff0095ae078: 090500f9  str	x9, [x8, #8]
0xfffffff0095ae07c: 290440f9  ldr	x9, [x1, #8]
0xfffffff0095ae080: 06000014  b	#0xfffffff0095ae098
0xfffffff0095ae084: 290440f9  ldr	x9, [x1, #8]
0xfffffff0095ae088: 2a0140f9  ldr	x10, [x9]
0xfffffff0095ae08c: 5f0101eb  cmp	x10, x1
0xfffffff0095ae090: 21020054  b.ne	#0xfffffff0095ae0d4
0xfffffff0095ae094: 698600f9  str	x9, [x19, #0x108]
0xfffffff0095ae098: 280100f9  str	x8, [x9]
0xfffffff0095ae09c: e031fff0  adrp	x0, #0xfffffff007bed000
0xfffffff0095ae0a0: 00a03691  add	x0, x0, #0xda8
0xfffffff0095ae0a4: 9aa1b697  bl	#0xfffffff00835670c
0xfffffff0095ae0a8: c16e00f0  adrp	x1, #0xfffffff00a389000
0xfffffff0095ae0ac: 21c00391  add	x1, x1, #0xf0
0xfffffff0095ae0b0: e0038092  mov	x0, #-0x20
0xfffffff0095ae0b4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0095ae0b8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0095ae0bc: ff030191  add	sp, sp, #0x40
0xfffffff0095ae0c0: ff2303d5  autibsp	
0xfffffff0095ae0c4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0095ae0c8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0095ae0d0
0xfffffff0095ae0cc: 208e38d4  brk	#0xc471
0xfffffff0095ae0d0: 80d4b417  b	#0xfffffff0082e32d0
0xfffffff0095ae0d4: 68958052  mov	w8, #0x4ab
0xfffffff0095ae0d8: a9fdfeb0  adrp	x9, #0xfffffff007563000
0xfffffff0095ae0dc: 29f52691  add	x9, x9, #0x9bd
0xfffffff0095ae0e0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0095ae0e4: e12300a9  stp	x1, x8, [sp]
0xfffffff0095ae0e8: a0fdfeb0  adrp	x0, #0xfffffff007563000
0xfffffff0095ae0ec: 00342891  add	x0, x0, #0xa0d
0xfffffff0095ae0f0: 0799bb97  bl	#0xfffffff00849450c
0xfffffff0095ae0f4: 68958052  mov	w8, #0x4ab
0xfffffff0095ae0f8: a9fdfeb0  adrp	x9, #0xfffffff007563000
0xfffffff0095ae0fc: 29f52691  add	x9, x9, #0x9bd
0xfffffff0095ae100: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0095ae104: e12300a9  stp	x1, x8, [sp]
0xfffffff0095ae108: a0fdfeb0  adrp	x0, #0xfffffff007563000
0xfffffff0095ae10c: 00742791  add	x0, x0, #0x9dd
0xfffffff0095ae110: ff98bb97  bl	#0xfffffff00849450c
0xfffffff0095ae114: 7f2303d5  pacibsp	
0xfffffff0095ae118: ff0302d1  sub	sp, sp, #0x80
