; Candidate 2839
; ADRP+ADD at VM 0xfffffff0086ecca4 (fileoff 0x16e8ca4): page=0x1fea45000 add_imm=0xd90

0xfffffff0086ecc24: f70300aa  mov	x23, x0
0xfffffff0086ecc28: d00240f9  ldr	x16, [x22]
0xfffffff0086ecc2c: f10316aa  mov	x17, x22
0xfffffff0086ecc30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ecc34: 301ac1da  autda	x16, x17
0xfffffff0086ecc38: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0086ecc3c: e90310aa  mov	x9, x16
0xfffffff0086ecc40: e00316aa  mov	x0, x22
0xfffffff0086ecc44: f10309aa  mov	x17, x9
0xfffffff0086ecc48: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0086ecc4c: 11093fd7  blraa	x8, x17
0xfffffff0086ecc50: 97040034  cbz	w23, #0xfffffff0086ecce0
0xfffffff0086ecc54: 94578052  mov	w20, #0x2bc
0xfffffff0086ecc58: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086ecc5c: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecc60: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086ecc64: e85700a9  stp	x8, x21, [sp]
0xfffffff0086ecc68: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecc6c: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecc70: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecc74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecc78: 2352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086ecc7c: 63dc3d91  add	x3, x3, #0xf77
0xfffffff0086ecc80: 02008052  mov	w2, #0
0xfffffff0086ecc84: 2b19f197  bl	#0xfffffff008333130
0xfffffff0086ecc88: 0f000014  b	#0xfffffff0086eccc4
0xfffffff0086ecc8c: 94578052  mov	w20, #0x2bc
0xfffffff0086ecc90: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086ecc94: ffd700a9  stp	xzr, x21, [sp, #8]
0xfffffff0086ecc98: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecc9c: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086ecca0: e80300f9  str	x8, [sp]
0xfffffff0086ecca4: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecca8: 00403691  add	x0, x0, #0xd90
0xfffffff0086eccac: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eccb0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eccb4: 2352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086eccb8: 63ec3c91  add	x3, x3, #0xf3b
0xfffffff0086eccbc: 02008052  mov	w2, #0
0xfffffff0086eccc0: 1c19f197  bl	#0xfffffff008333130
0xfffffff0086eccc4: e00314aa  mov	x0, x20
0xfffffff0086eccc8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0086ecccc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0086eccd0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0086eccd4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0086eccd8: ff830191  add	sp, sp, #0x60
0xfffffff0086eccdc: ff0f5fd6  retab	
0xfffffff0086ecce0: 800240f9  ldr	x0, [x20]
0xfffffff0086ecce4: 800400b4  cbz	x0, #0xfffffff0086ecd74
0xfffffff0086ecce8: 28008052  mov	w8, #1
0xfffffff0086eccec: 68320139  strb	w8, [x19, #0x4c]
0xfffffff0086eccf0: 4527ff97  bl	#0xfffffff0086b6a04
0xfffffff0086eccf4: f50300aa  mov	x21, x0
0xfffffff0086eccf8: 1f040071  cmp	w0, #1
0xfffffff0086eccfc: 80010054  b.eq	#0xfffffff0086ecd2c
0xfffffff0086ecd00: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecd04: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086ecd08: e85700a9  stp	x8, x21, [sp]
0xfffffff0086ecd0c: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecd10: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecd14: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecd18: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecd1c: 2352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086ecd20: 63803f91  add	x3, x3, #0xfe0
