; Candidate 8313
; ADRP+ADD at VM 0xfffffff0088a2cfc (fileoff 0x189ecfc): page=0x1fe947000 add_imm=0xe80

0xfffffff0088a2c7c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a2c80: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a2c84: 680f8052  mov	w8, #0x7b
0xfffffff0088a2c88: 604cfff0  adrp	x0, #0xfffffff007231000
0xfffffff0088a2c8c: 00143291  add	x0, x0, #0xc85
0xfffffff0088a2c90: fb2300a9  stp	x27, x8, [sp]
0xfffffff0088a2c94: f351d497  bl	#0xfffffff007db7460
0xfffffff0088a2c98: 1f000014  b	#0xfffffff0088a2d14
0xfffffff0088a2c9c: 44450094  bl	#0xfffffff0088b41ac
0xfffffff0088a2ca0: f40300aa  mov	x20, x0
0xfffffff0088a2ca4: c0008052  mov	w0, #6
0xfffffff0088a2ca8: ea62ff97  bl	#0xfffffff00887b850
0xfffffff0088a2cac: e8031caa  mov	x8, x28
0xfffffff0088a2cb0: f8a305a9  stp	x24, x8, [sp, #0x58]
0xfffffff0088a2cb4: e80317aa  mov	x8, x23
0xfffffff0088a2cb8: e82b00f9  str	x8, [sp, #0x50]
0xfffffff0088a2cbc: e80316aa  mov	x8, x22
0xfffffff0088a2cc0: e9031aaa  mov	x9, x26
0xfffffff0088a2cc4: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a2cc8: e80319aa  mov	x8, x25
0xfffffff0088a2ccc: e90315aa  mov	x9, x21
0xfffffff0088a2cd0: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088a2cd4: 684bfff0  adrp	x8, #0xfffffff007211000
0xfffffff0088a2cd8: 08892c91  add	x8, x8, #0xb22
0xfffffff0088a2cdc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a2ce0: 884cff90  adrp	x8, #0xfffffff007232000
0xfffffff0088a2ce4: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a2ce8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a2cec: 680f8052  mov	w8, #0x7b
0xfffffff0088a2cf0: e34dfff0  adrp	x3, #0xfffffff007261000
0xfffffff0088a2cf4: 63203491  add	x3, x3, #0xd08
0xfffffff0088a2cf8: f42300a9  stp	x20, x8, [sp]
0xfffffff0088a2cfc: 204afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a2d00: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a2d04: 218bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a2d08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a2d0c: 02008052  mov	w2, #0
0xfffffff0088a2d10: 0841ea97  bl	#0xfffffff008333130
0xfffffff0088a2d14: 28070051  sub	w8, w25, #1
0xfffffff0088a2d18: 1f0d0071  cmp	w8, #3
0xfffffff0088a2d1c: b5031af8  stur	x21, [x29, #-0x60]
0xfffffff0088a2d20: 080b0054  b.hi	#0xfffffff0088a2e80
0xfffffff0088a2d24: 48070051  sub	w8, w26, #1
0xfffffff0088a2d28: 1f190071  cmp	w8, #6
0xfffffff0088a2d2c: a80a0054  b.hi	#0xfffffff0088a2e80
0xfffffff0088a2d30: 980a00b4  cbz	x24, #0xfffffff0088a2e80
0xfffffff0088a2d34: 9f130071  cmp	w28, #4
0xfffffff0088a2d38: 480a0054  b.hi	#0xfffffff0088a2e80
0xfffffff0088a2d3c: b65f39a9  stp	x22, x23, [x29, #-0x70]
0xfffffff0088a2d40: b88318f8  stur	x24, [x29, #-0x78]
0xfffffff0088a2d44: e9031caa  mov	x9, x28
0xfffffff0088a2d48: 1c0080d2  mov	x28, #0
0xfffffff0088a2d4c: 08e99c52  mov	w8, #0xe748
0xfffffff0088a2d50: 7702088b  add	x23, x19, x8
0xfffffff0088a2d54: e93f00f9  str	x9, [sp, #0x78]
0xfffffff0088a2d58: e80309aa  mov	x8, x9
0xfffffff0088a2d5c: 087d4093  sxtw	x8, w8
0xfffffff0088a2d60: e86b08a9  stp	x8, x26, [sp, #0x80]
0xfffffff0088a2d64: 74620091  add	x20, x19, #0x18
0xfffffff0088a2d68: 1ae19c52  mov	w26, #0xe708
0xfffffff0088a2d6c: 18388752  mov	w24, #0x39c0
0xfffffff0088a2d70: b90318f8  stur	x25, [x29, #-0x80]
0xfffffff0088a2d74: f603192a  mov	w22, w25
0xfffffff0088a2d78: 68121c8b  add	x8, x19, x28, lsl #4
