; Candidate 307
; ADRP+ADD at VM 0xfffffff007e91f58 (fileoff 0xe8df58): page=0x2366000 add_imm=0xe90

0xfffffff007e91ed8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e91ee0
0xfffffff007e91edc: 208e38d4  brk	#0xc471
0xfffffff007e91ee0: 4bdffd17  b	#0xfffffff007e09c0c
0xfffffff007e91ee4: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007e91ee8: 281844b9  ldr	w8, [x1, #0x418]
0xfffffff007e91eec: 291b01d0  adrp	x9, #0xfffffff00a1f7000
0xfffffff007e91ef0: 29613a91  add	x9, x9, #0xe98
0xfffffff007e91ef4: e20308aa  mov	x2, x8
0xfffffff007e91ef8: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e91efc: 5f00086b  cmp	w2, w8
0xfffffff007e91f00: c1020054  b.ne	#0xfffffff007e91f58
0xfffffff007e91f04: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff007e91f08: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff007e91f0c: ff0f5fd6  retab	
0xfffffff007e91f10: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91f14: 00403a91  add	x0, x0, #0xe90
0xfffffff007e91f18: 02008052  mov	w2, #0
0xfffffff007e91f1c: f766fc97  bl	#0xfffffff007dabaf8
0xfffffff007e91f20: 680640b9  ldr	w8, [x19, #4]
0xfffffff007e91f24: 08f5ff35  cbnz	w8, #0xfffffff007e91dc4
0xfffffff007e91f28: 60120091  add	x0, x19, #4
0xfffffff007e91f2c: ac381894  bl	#0xfffffff0084a01dc
0xfffffff007e91f30: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91f34: 00403a91  add	x0, x0, #0xe90
0xfffffff007e91f38: 0b6afc97  bl	#0xfffffff007dac764
0xfffffff007e91f3c: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff007e91f40: 20f8ffb5  cbnz	x0, #0xfffffff007e91e44
0xfffffff007e91f44: c2ffff17  b	#0xfffffff007e91e4c
0xfffffff007e91f48: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91f4c: 00403a91  add	x0, x0, #0xe90
0xfffffff007e91f50: 056afc97  bl	#0xfffffff007dac764
0xfffffff007e91f54: d0ffff17  b	#0xfffffff007e91e94
0xfffffff007e91f58: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91f5c: 00403a91  add	x0, x0, #0xe90
0xfffffff007e91f60: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff007e91f64: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff007e91f68: ff2303d5  autibsp	
0xfffffff007e91f6c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e91f70: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e91f78
0xfffffff007e91f74: 208e38d4  brk	#0xc471
0xfffffff007e91f78: fb69fc17  b	#0xfffffff007dac764
0xfffffff007e91f7c: 7f2303d5  pacibsp	
0xfffffff007e91f80: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007e91f84: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007e91f88: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007e91f8c: fd830091  add	x29, sp, #0x20
0xfffffff007e91f90: f40300aa  mov	x20, x0
0xfffffff007e91f94: 080080d2  mov	x8, #0
0xfffffff007e91f98: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e91f9c: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e91fa0: 351b01d0  adrp	x21, #0xfffffff00a1f7000
0xfffffff007e91fa4: b5623a91  add	x21, x21, #0xe98
0xfffffff007e91fa8: a97ee8c8  casa	x8, x9, [x21]
0xfffffff007e91fac: 1f0100f1  cmp	x8, #0
0xfffffff007e91fb0: c1020054  b.ne	#0xfffffff007e92008
0xfffffff007e91fb4: 88a24039  ldrb	w8, [x20, #0x28]
0xfffffff007e91fb8: 48010035  cbnz	w8, #0xfffffff007e91fe0
0xfffffff007e91fbc: 28008052  mov	w8, #1
0xfffffff007e91fc0: 88a20039  strb	w8, [x20, #0x28]
0xfffffff007e91fc4: 880640b9  ldr	w8, [x20, #4]
0xfffffff007e91fc8: e9130432  mov	w9, #-0xfffffff
0xfffffff007e91fcc: 0a01090b  add	w10, w8, w9
0xfffffff007e91fd0: 5f01096b  cmp	w10, w9
0xfffffff007e91fd4: 49030054  b.ls	#0xfffffff007e9203c
