; Candidate 5464
; ADRP+ADD at VM 0xfffffff0087f23dc (fileoff 0x17ee3dc): page=0x1fe9f7000 add_imm=0xe80

0xfffffff0087f235c: 4114d797  bl	#0xfffffff007db7460
0xfffffff0087f2360: 130500b4  cbz	x19, #0xfffffff0087f2400
0xfffffff0087f2364: f40400b4  cbz	x20, #0xfffffff0087f2400
0xfffffff0087f2368: e00313aa  mov	x0, x19
0xfffffff0087f236c: 01008052  mov	w1, #0
0xfffffff0087f2370: 02499752  mov	w2, #0xba48
0xfffffff0087f2374: 6200a072  movk	w2, #3, lsl #16
0xfffffff0087f2378: 126ad597  bl	#0xfffffff007d4cbc0
0xfffffff0087f237c: e00313aa  mov	x0, x19
0xfffffff0087f2380: 14f40094  bl	#0xfffffff00882f3d0
0xfffffff0087f2384: 150080d2  mov	x21, #0
0xfffffff0087f2388: 740a00f9  str	x20, [x19, #0x10]
0xfffffff0087f238c: 76a20091  add	x22, x19, #0x28
0xfffffff0087f2390: c002158b  add	x0, x22, x21
0xfffffff0087f2394: 0ff40094  bl	#0xfffffff00882f3d0
0xfffffff0087f2398: b5420091  add	x21, x21, #0x10
0xfffffff0087f239c: bf0201f1  cmp	x21, #0x40
0xfffffff0087f23a0: 81ffff54  b.ne	#0xfffffff0087f2390
0xfffffff0087f23a4: 15008052  mov	w21, #0
0xfffffff0087f23a8: 28008052  mov	w8, #1
0xfffffff0087f23ac: 687e00b9  str	w8, [x19, #0x7c]
0xfffffff0087f23b0: 45000014  b	#0xfffffff0087f24c4
0xfffffff0087f23b4: 7e070394  bl	#0xfffffff0088b41ac
0xfffffff0087f23b8: f50300aa  mov	x21, x0
0xfffffff0087f23bc: c0008052  mov	w0, #6
0xfffffff0087f23c0: 24250294  bl	#0xfffffff00887b850
0xfffffff0087f23c4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f23c8: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f23cc: 08d51291  add	x8, x8, #0x4b5
0xfffffff0087f23d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f23d4: e80e8052  mov	w8, #0x77
0xfffffff0087f23d8: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f23dc: a04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f23e0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f23e4: a190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f23e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f23ec: 6352ffb0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f23f0: 63303f91  add	x3, x3, #0xfcc
0xfffffff0087f23f4: 02008052  mov	w2, #0
0xfffffff0087f23f8: 4e03ed97  bl	#0xfffffff008333130
0xfffffff0087f23fc: 53fbffb5  cbnz	x19, #0xfffffff0087f2364
0xfffffff0087f2400: e00e8052  mov	w0, #0x77
0xfffffff0087f2404: 81008052  mov	w1, #4
0xfffffff0087f2408: f2240294  bl	#0xfffffff00887b7d0
0xfffffff0087f240c: a0050034  cbz	w0, #0xfffffff0087f24c0
0xfffffff0087f2410: e00e8052  mov	w0, #0x77
0xfffffff0087f2414: 01250294  bl	#0xfffffff00887b818
0xfffffff0087f2418: f60300aa  mov	x22, x0
0xfffffff0087f241c: 64070394  bl	#0xfffffff0088b41ac
0xfffffff0087f2420: f50300aa  mov	x21, x0
0xfffffff0087f2424: 80008052  mov	w0, #4
0xfffffff0087f2428: 0a250294  bl	#0xfffffff00887b850
0xfffffff0087f242c: f6010034  cbz	w22, #0xfffffff0087f2468
0xfffffff0087f2430: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff0087f2434: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f2438: 08d51391  add	x8, x8, #0x4f5
0xfffffff0087f243c: 69038052  mov	w9, #0x1b
0xfffffff0087f2440: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f2444: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f2448: 08d51291  add	x8, x8, #0x4b5
0xfffffff0087f244c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f2450: e80e8052  mov	w8, #0x77
0xfffffff0087f2454: 0051fff0  adrp	x0, #0xfffffff007215000
0xfffffff0087f2458: 00081391  add	x0, x0, #0x4c2
