; Candidate 14790
; ADRP+ADD at VM 0xfffffff009937350 (fileoff 0x2933350): page=0x1fdcab000 add_imm=0xebb

0xfffffff0099372d0: f10318aa  mov	x17, x24
0xfffffff0099372d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099372d8: 301ac1da  autda	x16, x17
0xfffffff0099372dc: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0099372e0: e90310aa  mov	x9, x16
0xfffffff0099372e4: e00318aa  mov	x0, x24
0xfffffff0099372e8: 21008052  mov	w1, #1
0xfffffff0099372ec: 22008052  mov	w2, #1
0xfffffff0099372f0: f10309aa  mov	x17, x9
0xfffffff0099372f4: f1f2f5f2  movk	x17, #0xaf97, lsl #48
0xfffffff0099372f8: 11093fd7  blraa	x8, x17
0xfffffff0099372fc: 15004039  ldrb	w21, [x0]
0xfffffff009937300: f5b70039  strb	w21, [sp, #0x2d]
0xfffffff009937304: 88064039  ldrb	w8, [x20, #1]
0xfffffff009937308: 1f310071  cmp	w8, #0xc
0xfffffff00993730c: 210e0054  b.ne	#0xfffffff0099374d0
0xfffffff009937310: 9f0700f1  cmp	x28, #1
0xfffffff009937314: 28040054  b.hi	#0xfffffff009937398
0xfffffff009937318: 700240f9  ldr	x16, [x19]
0xfffffff00993731c: f10313aa  mov	x17, x19
0xfffffff009937320: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009937324: 301ac1da  autda	x16, x17
0xfffffff009937328: 113d80d2  mov	x17, #0x1e8
0xfffffff00993732c: 1002118b  add	x16, x16, x17
0xfffffff009937330: 080240f9  ldr	x8, [x16]
0xfffffff009937334: e90310aa  mov	x9, x16
0xfffffff009937338: e00313aa  mov	x0, x19
0xfffffff00993733c: 010080d2  mov	x1, #0
0xfffffff009937340: f10309aa  mov	x17, x9
0xfffffff009937344: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009937348: 11093fd7  blraa	x8, x17
0xfffffff00993734c: e07300a9  stp	x0, x28, [sp]
0xfffffff009937350: 40e5fef0  adrp	x0, #0xfffffff0075e2000
0xfffffff009937354: 00ec3a91  add	x0, x0, #0xebb
0xfffffff009937358: 327fa897  bl	#0xfffffff008357020
0xfffffff00993735c: df9600b9  str	wzr, [x22, #0x94]
0xfffffff009937360: d00240f9  ldr	x16, [x22]
0xfffffff009937364: f10316aa  mov	x17, x22
0xfffffff009937368: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00993736c: 301ac1da  autda	x16, x17
0xfffffff009937370: 115480d2  mov	x17, #0x2a0
0xfffffff009937374: 1002118b  add	x16, x16, x17
0xfffffff009937378: 080240f9  ldr	x8, [x16]
0xfffffff00993737c: e90310aa  mov	x9, x16
0xfffffff009937380: e00316aa  mov	x0, x22
0xfffffff009937384: 01008052  mov	w1, #0
0xfffffff009937388: f10309aa  mov	x17, x9
0xfffffff00993738c: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff009937390: 11093fd7  blraa	x8, x17
0xfffffff009937394: 4e000014  b	#0xfffffff0099374cc
0xfffffff009937398: 990b00d1  sub	x25, x28, #2
0xfffffff00993739c: 28ff60d3  lsr	x8, x25, #0x20
0xfffffff0099373a0: a80200b4  cbz	x8, #0xfffffff0099373f4
0xfffffff0099373a4: 700240f9  ldr	x16, [x19]
0xfffffff0099373a8: f10313aa  mov	x17, x19
0xfffffff0099373ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099373b0: 301ac1da  autda	x16, x17
0xfffffff0099373b4: 113d80d2  mov	x17, #0x1e8
0xfffffff0099373b8: 1002118b  add	x16, x16, x17
0xfffffff0099373bc: 080240f9  ldr	x8, [x16]
0xfffffff0099373c0: e90310aa  mov	x9, x16
0xfffffff0099373c4: e00313aa  mov	x0, x19
0xfffffff0099373c8: 010080d2  mov	x1, #0
0xfffffff0099373cc: f10309aa  mov	x17, x9
